,SQUID_Volt(V),timestamp,MOD_CURR(A)
91,-2.65276000E-05,1558940826.6443334,+3.90517720E-01
92,-2.64276000E-05,1558940826.8526669,+3.90516670E-01
93,-2.68481000E-05,1558940827.061,+3.90512700E-01
94,-2.65611000E-05,1558940827.2693334,+3.90512700E-01
95,-2.71282000E-05,1558940827.4776669,+3.90518650E-01
96,-2.64873000E-05,1558940827.686,+3.90517190E-01
97,-2.60868000E-05,1558940827.8943334,+3.90518250E-01
98,-2.59068000E-05,1558940828.1026669,+3.90518780E-01
99,-2.63406000E-05,1558940828.311,+3.90519970E-01
100,-2.57732000E-05,1558940831.766,+4.03460060E-01
101,-2.62672000E-05,1558940831.9743333,+4.10437680E-01
102,-2.60536000E-05,1558940832.1826668,+4.10437950E-01
103,-2.67075000E-05,1558940832.391,+4.24736150E-01
104,-2.56264000E-05,1558940832.5993333,+4.29767670E-01
105,-2.54797000E-05,1558940832.8076668,+4.29770710E-01
106,-2.53928000E-05,1558940833.016,+4.44359340E-01
107,-2.57265000E-05,1558940833.2243333,+4.48817280E-01
108,-2.61203000E-05,1558940833.4326668,+4.48819920E-01
109,-2.58066000E-05,1558940833.641,+4.64830730E-01
110,-2.54663000E-05,1558940833.8493333,+4.69040100E-01
111,-2.47388000E-05,1558940834.0576668,+4.69041690E-01
112,-2.57799000E-05,1558940834.266,+4.85805150E-01
113,-2.56531000E-05,1558940834.4743333,+4.88080600E-01
114,-2.57867000E-05,1558940834.6826668,+4.88081390E-01
115,-2.55264000E-05,1558940834.891,+4.88082980E-01
116,-2.57400000E-05,1558940835.0993333,+4.88085490E-01
117,-2.52795000E-05,1558940835.3076668,+4.88087070E-01
118,-2.55931000E-05,1558940835.516,+4.88087730E-01
119,-2.59801000E-05,1558940835.7243333,+4.88091300E-01
120,-2.70813000E-05,1558940835.9326668,+4.88089450E-01
121,-2.61404000E-05,1558940836.141,+4.88091960E-01
122,-2.63272000E-05,1558940836.3493333,+4.88089980E-01
123,-2.52861000E-05,1558940836.5576668,+4.88090640E-01
124,-2.55398000E-05,1558940836.766,+4.88087200E-01
125,-2.61403000E-05,1558940840.366,+4.21660080E-01
126,-2.58534000E-05,1558940840.5743332,+4.93981570E-01
127,-2.56332000E-05,1558940840.7826667,+4.93862050E-01
128,-2.53995000E-05,1558940840.991,+5.07725730E-01
129,-2.58134000E-05,1558940841.1993332,+5.13505960E-01
130,-2.55597000E-05,1558940841.4076667,+5.13752670E-01
131,-2.67142000E-05,1558940841.616,+5.27930050E-01
132,-2.60802000E-05,1558940841.8243332,+5.33222140E-01
133,-2.70879000E-05,1558940842.0326667,+5.33500940E-01
134,-2.54063000E-05,1558940842.241,+5.49368590E-01
135,-2.58466000E-05,1558940842.4493332,+5.52683450E-01
136,-2.58600000E-05,1558940842.6576667,+5.52778540E-01
137,-2.54196000E-05,1558940842.866,+5.69502790E-01
138,-2.50793000E-05,1558940843.0743332,+5.72358830E-01
139,-2.54262000E-05,1558940843.2826667,+5.72446920E-01
140,-2.61470000E-05,1558940843.491,+5.72473070E-01
141,-2.57133000E-05,1558940843.6993332,+5.72508990E-01
142,-2.49924000E-05,1558940843.9076667,+5.72543990E-01
143,-2.56864000E-05,1558940844.116,+5.72564070E-01
144,-2.63873000E-05,1558940844.3243332,+5.72605140E-01
145,-2.54128000E-05,1558940844.5326667,+5.72637370E-01
146,-2.55864000E-05,1558940844.741,+5.72669070E-01
147,-2.57131000E-05,1558940844.9493332,+5.72689670E-01
148,-2.62204000E-05,1558940845.1576667,+5.72700760E-01
149,-2.59935000E-05,1558940845.366,+5.72724140E-01
150,-2.53929000E-05,1558940848.966,+5.85336050E-01
151,-2.55331000E-05,1558940849.1743333,+5.91653050E-01
152,-2.56798000E-05,1558940849.3826668,+5.91702850E-01
153,-2.58533000E-05,1558940849.591,+6.04748480E-01
154,-2.50391000E-05,1558940849.7993333,+6.10635990E-01
155,-2.55530000E-05,1558940850.0076668,+6.10696480E-01
156,-2.46053000E-05,1558940850.216,+6.25927340E-01
157,-2.68077000E-05,1558940850.4243333,+6.30262090E-01
158,-2.54529000E-05,1558940850.6326668,+6.30308050E-01
159,-2.56065000E-05,1558940850.841,+6.45571690E-01
160,-2.49191000E-05,1558940851.0493333,+6.49320400E-01
161,-2.57932000E-05,1558940851.2576668,+6.49399120E-01
162,-2.66742000E-05,1558940851.466,+6.64669140E-01
163,-2.63138000E-05,1558940851.6743333,+6.67839120E-01
164,-2.59802000E-05,1558940851.8826668,+6.67849150E-01
165,-2.61203000E-05,1558940852.091,+6.67847830E-01
166,-2.54662000E-05,1558940852.2993333,+6.67865270E-01
167,-2.64406000E-05,1558940852.5076668,+6.67973960E-01
168,-2.57332000E-05,1558940852.716,+6.68096520E-01
169,-2.59601000E-05,1558940852.9243333,+6.68213270E-01
170,-2.64539000E-05,1558940853.1326668,+6.68290540E-01
171,-2.63938000E-05,1558940853.341,+6.68362250E-01
172,-2.63739000E-05,1558940853.5493333,+6.68443870E-01
173,-2.65674000E-05,1558940853.7576668,+6.68492340E-01
174,-2.60603000E-05,1558940853.966,+6.68589680E-01
175,-2.63005000E-05,1558940857.566,+6.81232100E-01
176,-2.61403000E-05,1558940857.7743332,+6.88284880E-01
177,-2.64739000E-05,1558940857.9826667,+6.88383930E-01
178,-2.61803000E-05,1558940858.191,+7.02330020E-01
179,-2.58400000E-05,1558940858.3993332,+7.07519660E-01
180,-2.60736000E-05,1558940858.6076667,+7.07578440E-01
181,-2.66943000E-05,1558940858.816,+7.21937000E-01
182,-2.63004000E-05,1558940859.0243332,+7.26594110E-01
183,-2.62138000E-05,1558940859.2326667,+7.26684450E-01
184,-2.60002000E-05,1558940859.441,+7.41986930E-01
185,-2.60268000E-05,1558940859.6493332,+7.46271100E-01
186,-2.71346000E-05,1558940859.8576667,+7.46297380E-01
187,-2.74082000E-05,1558940860.066,+7.62822420E-01
188,-2.65206000E-05,1558940860.2743332,+7.65312750E-01
189,-2.63873000E-05,1558940860.4826667,+7.65407050E-01
190,-2.70213000E-05,1558940860.691,+7.65479880E-01
191,-2.66742000E-05,1558940860.8993332,+7.65517380E-01
192,-2.68744000E-05,1558940861.1076667,+7.65572460E-01
193,-2.68144000E-05,1558940861.316,+7.65660810E-01
194,-2.63606000E-05,1558940861.5243332,+7.65691720E-01
195,-2.65073000E-05,1558940861.7326667,+7.65726320E-01
196,-2.75485000E-05,1558940861.941,+7.65760390E-01
197,-2.70012000E-05,1558940862.1493332,+7.65857070E-01
198,-2.65874000E-05,1558940862.3576667,+7.66150000E-01
199,-2.70012000E-05,1558940862.566,+7.66332260E-01
200,-2.64940000E-05,1558940866.166,+7.79464280E-01
201,-2.80022000E-05,1558940866.3743331,+7.85638480E-01
202,-2.73883000E-05,1558940866.5826666,+7.85712300E-01
203,-2.69811000E-05,1558940866.791,+7.98425960E-01
204,-2.68944000E-05,1558940866.9993331,+8.03744730E-01
205,-2.72014000E-05,1558940867.2076666,+8.03805880E-01
206,-2.78087000E-05,1558940867.416,+8.21132770E-01
207,-2.72348000E-05,1558940867.6243331,+8.27561070E-01
208,-2.69212000E-05,1558940867.8326666,+8.27660520E-01
209,-2.81157000E-05,1558940868.041,+8.40563020E-01
210,-2.75219000E-05,1558940868.2493331,+8.43373360E-01
211,-2.64740000E-05,1558940868.4576666,+8.43459340E-01
212,-2.73683000E-05,1558940868.666,+8.57208270E-01
213,-2.73351000E-05,1558940868.8743331,+8.59623190E-01
214,-2.63204000E-05,1558940869.0826666,+8.59564560E-01
215,-2.83027000E-05,1558940869.291,+8.59489410E-01
216,-2.80156000E-05,1558940869.4993331,+8.59427860E-01
217,-2.80890000E-05,1558940869.7076666,+8.59323390E-01
218,-2.83226000E-05,1558940869.916,+8.59213250E-01
219,-2.79222000E-05,1558940870.1243331,+8.59375170E-01
220,-2.76619000E-05,1558940870.3326666,+8.59700720E-01
221,-2.84161000E-05,1558940870.541,+8.59957890E-01
222,-2.80356000E-05,1558940870.7493331,+8.60150320E-01
223,-2.78421000E-05,1558940870.9576666,+8.60366790E-01
224,-2.77287000E-05,1558940871.166,+8.60478780E-01
225,-2.63939000E-05,1558940874.766,+8.76121980E-01
226,-2.90635000E-05,1558940874.9743333,+8.84287330E-01
227,-2.75819000E-05,1558940875.1826668,+8.84319160E-01
228,-2.75018000E-05,1558940875.391,+8.96015430E-01
229,-2.82093000E-05,1558940875.5993333,+8.99952740E-01
230,-2.83092000E-05,1558940875.8076668,+9.00016660E-01
231,-2.82425000E-05,1558940876.016,+9.18478040E-01
232,-2.88633000E-05,1558940876.2243333,+9.24132050E-01
233,-2.87831000E-05,1558940876.4326668,+9.24363170E-01
234,-2.81290000E-05,1558940876.641,+9.37065550E-01
235,-2.96708000E-05,1558940876.8493333,+9.40313580E-01
236,-2.86563000E-05,1558940877.0576668,+9.40456870E-01
237,-2.82159000E-05,1558940877.266,+9.61698380E-01
238,-2.90367000E-05,1558940877.4743333,+9.64335840E-01
239,-2.91236000E-05,1558940877.6826668,+9.64218690E-01
240,-2.98642000E-05,1558940877.891,+9.63614860E-01
241,-2.88566000E-05,1558940878.0993333,+9.64174980E-01
242,-2.87965000E-05,1558940878.3076668,+9.64831540E-01
243,-2.87832000E-05,1558940878.516,+9.65024370E-01
244,-2.85629000E-05,1558940878.7243333,+9.65182720E-01
245,-2.92637000E-05,1558940878.9326668,+9.65280320E-01
246,-2.87698000E-05,1558940879.141,+9.65314130E-01
247,-2.87431000E-05,1558940879.3493333,+9.65345430E-01
248,-2.90435000E-05,1558940879.5576668,+9.65397070E-01
249,-2.89967000E-05,1558940879.766,+9.65440260E-01
250,-2.90302000E-05,1558940883.366,+9.75762190E-01
251,-3.03314000E-05,1558940883.5743332,+9.81756640E-01
252,-2.91434000E-05,1558940883.7826667,+9.81853850E-01
253,-2.93370000E-05,1558940883.991,+1.01943930E+00
254,-2.94105000E-05,1558940884.1993332,+1.01912100E+00
255,-3.01912000E-05,1558940884.4076667,+1.01907030E+00
256,-2.92101000E-05,1558940884.616,+1.04266490E+00
257,-3.05648000E-05,1558940884.8243332,+1.04265120E+00
258,-2.88964000E-05,1558940885.0326667,+1.04263370E+00
259,-3.01979000E-05,1558940885.241,+1.05912100E+00
260,-3.06583000E-05,1558940885.4493332,+1.05910600E+00
261,-2.96906000E-05,1558940885.6576667,+1.05911420E+00
262,-2.92034000E-05,1558940885.866,+1.08274150E+00
263,-2.97240000E-05,1558940886.0743332,+1.08275180E+00
264,-3.03447000E-05,1558940886.2826667,+1.08274810E+00
