"Run 1: Time (s)","Run 1: Force 1 (N)","Run 1: Force 2 (N)","Run 1: Force 3 (N)","Run 1: Force 4 (N)","Run 1: Total Force (N)"
2220,283.27,700.85,312.58,369.96,1666.66
2222,284.49,702.08,313.8,369.96,1670.33
2224,283.27,702.08,312.58,369.96,1667.89
2226,284.49,700.85,313.8,369.96,1669.1
2228,283.27,702.08,312.58,371.18,1669.11
2230,283.27,702.08,312.58,371.18,1669.11
2232,283.27,700.85,312.58,369.96,1666.66
2234,284.49,700.85,312.58,369.96,1667.88
2236,283.27,700.85,313.8,369.96,1667.88
2238,283.27,702.08,312.58,371.18,1669.11
2240,284.49,702.08,312.58,369.96,1669.11
2242,284.49,702.08,312.58,371.18,1670.33
2244,284.49,702.08,312.58,371.18,1670.33
2246,283.27,702.08,312.58,371.18,1669.11
2248,283.27,702.08,312.58,369.96,1667.89
2250,283.27,700.85,313.8,369.96,1667.88
2252,284.49,702.08,313.8,371.18,1671.55
