,SQUID_Volt(V),timestamp,Temp(V)
91,-2.90300000E-05,1558949466.4873333,+6.72370000E-05
92,-2.90499000E-05,1558949466.6956668,+6.73730000E-05
93,-2.90233000E-05,1558949466.904,+6.75590000E-05
94,-2.90967000E-05,1558949467.1123333,+6.73480000E-05
95,-2.90100000E-05,1558949467.3206668,+6.73980000E-05
96,-2.90701000E-05,1558949467.529,+6.71500000E-05
97,-2.89498000E-05,1558949467.7373333,+6.75340000E-05
98,-2.91568000E-05,1558949467.9456668,+6.75960000E-05
99,-2.90299000E-05,1558949468.154,+6.79180000E-05
100,-2.92101000E-05,1558949471.753,+6.80670000E-05
101,-2.90366000E-05,1558949471.9613333,+6.85250000E-05
102,-2.91168000E-05,1558949472.1696668,+6.85500000E-05
103,-2.90832000E-05,1558949472.378,+6.84880000E-05
104,-2.89631000E-05,1558949472.5863333,+6.79180000E-05
105,-2.90634000E-05,1558949472.7946668,+6.87360000E-05
106,-2.89498000E-05,1558949473.003,+6.91570000E-05
107,-2.90833000E-05,1558949473.2113333,+6.88720000E-05
108,-2.90432000E-05,1558949473.4196668,+6.87110000E-05
109,-2.89833000E-05,1558949473.628,+6.86370000E-05
110,-2.88765000E-05,1558949473.8363333,+6.85250000E-05
111,-2.90634000E-05,1558949474.0446668,+6.85620000E-05
112,-2.91701000E-05,1558949474.253,+6.84260000E-05
113,-2.90434000E-05,1558949474.4613333,+6.85130000E-05
114,-2.90099000E-05,1558949474.6696668,+6.89460000E-05
115,-2.92168000E-05,1558949474.878,+6.81780000E-05
116,-2.91301000E-05,1558949475.0863333,+6.89710000E-05
117,-2.89965000E-05,1558949475.2946668,+6.89340000E-05
118,-2.90766000E-05,1558949475.503,+6.85750000E-05
119,-2.87897000E-05,1558949475.7113333,+6.89830000E-05
120,-2.88898000E-05,1558949475.9196668,+6.84880000E-05
121,-2.90701000E-05,1558949476.128,+6.90330000E-05
122,-2.89364000E-05,1558949476.3363333,+6.88100000E-05
123,-2.88698000E-05,1558949476.5446668,+6.90830000E-05
124,-2.90767000E-05,1558949476.753,+6.96900000E-05
125,-2.88698000E-05,1558949480.354,+6.92440000E-05
126,-2.88231000E-05,1558949480.5623333,+6.90580000E-05
127,-2.87631000E-05,1558949480.7706668,+6.94050000E-05
128,-2.86696000E-05,1558949480.979,+6.92680000E-05
129,-2.87829000E-05,1558949481.1873333,+6.93550000E-05
130,-2.86895000E-05,1558949481.3956668,+6.97140000E-05
131,-2.88964000E-05,1558949481.604,+6.92440000E-05
132,-2.86563000E-05,1558949481.8123333,+6.92810000E-05
133,-2.87563000E-05,1558949482.0206668,+6.91440000E-05
134,-2.86830000E-05,1558949482.229,+6.91440000E-05
135,-2.85828000E-05,1558949482.4373333,+6.95660000E-05
136,-2.88031000E-05,1558949482.6456668,+6.92930000E-05
137,-2.87764000E-05,1558949482.854,+6.94290000E-05
138,-2.88432000E-05,1558949483.0623333,+6.89710000E-05
139,-2.88565000E-05,1558949483.2706668,+6.93300000E-05
140,-2.86296000E-05,1558949483.479,+6.92930000E-05
141,-2.85962000E-05,1558949483.6873333,+6.91570000E-05
142,-2.87231000E-05,1558949483.8956668,+6.91690000E-05
143,-2.86162000E-05,1558949484.104,+6.92560000E-05
144,-2.87163000E-05,1558949484.3123333,+6.90330000E-05
145,-2.86495000E-05,1558949484.5206668,+6.92930000E-05
146,-2.87030000E-05,1558949484.729,+6.89460000E-05
