,SQUID_Volt(V),timestamp,MOD_CURR(A)
91,-2.57799000E-05,1558941734.9643333,+3.71098960E-01
92,-2.60669000E-05,1558941735.1726668,+3.71100810E-01
93,-2.61737000E-05,1558941735.381,+3.71096060E-01
94,-2.59200000E-05,1558941735.5893333,+3.71100020E-01
95,-2.58199000E-05,1558941735.7976668,+3.71101340E-01
96,-2.58066000E-05,1558941736.006,+3.71098960E-01
97,-2.58199000E-05,1558941736.2143333,+3.71100020E-01
98,-2.59068000E-05,1558941736.4226668,+3.71111120E-01
99,-2.60335000E-05,1558941736.631,+3.71110320E-01
100,-2.55997000E-05,1558941740.231,+3.83665170E-01
101,-2.55664000E-05,1558941740.4393332,+3.90456050E-01
102,-2.54863000E-05,1558941740.6476667,+3.90462120E-01
103,-2.55131000E-05,1558941740.856,+4.03903030E-01
104,-2.44386000E-05,1558941741.0643332,+4.10375210E-01
105,-2.55864000E-05,1558941741.2726667,+4.10380490E-01
106,-2.54929000E-05,1558941741.481,+4.25120740E-01
107,-2.51393000E-05,1558941741.6893332,+4.29699780E-01
108,-2.49592000E-05,1558941741.8976667,+4.29705590E-01
109,-2.52461000E-05,1558941742.106,+4.44681470E-01
110,-2.55264000E-05,1558941742.3143332,+4.48744900E-01
111,-2.49790000E-05,1558941742.5226667,+4.48750050E-01
112,-2.52327000E-05,1558941742.731,+4.66448470E-01
113,-2.55397000E-05,1558941742.9393332,+4.68962580E-01
114,-2.55798000E-05,1558941743.1476667,+4.68964160E-01
115,-2.49723000E-05,1558941743.356,+4.68967330E-01
116,-2.27968000E-05,1558941743.5643332,+4.68967070E-01
117,-2.43385000E-05,1558941743.7726667,+4.68966280E-01
118,-2.57332000E-05,1558941743.981,+4.68969980E-01
119,-2.49257000E-05,1558941744.1893332,+4.68972090E-01
120,-2.53595000E-05,1558941744.3976667,+4.68968650E-01
121,-2.49191000E-05,1558941744.606,+4.68969710E-01
122,-2.47254000E-05,1558941744.8143332,+4.68967600E-01
123,-2.51793000E-05,1558941745.0226667,+4.68968130E-01
124,-2.45253000E-05,1558941745.231,+4.68972620E-01
125,-2.50458000E-05,1558941748.831,+4.81871900E-01
126,-2.50592000E-05,1558941749.0393333,+4.88005320E-01
127,-2.50393000E-05,1558941749.2476668,+4.88011130E-01
128,-2.50725000E-05,1558941749.456,+5.08780850E-01
129,-2.51192000E-05,1558941749.6643333,+5.08627640E-01
130,-2.50259000E-05,1558941749.8726668,+5.08619460E-01
131,-2.49390000E-05,1558941750.081,+5.28487520E-01
132,-2.53261000E-05,1558941750.2893333,+5.28495050E-01
133,-2.50726000E-05,1558941750.4976668,+5.28495440E-01
134,-2.50524000E-05,1558941750.706,+5.47812400E-01
135,-2.48523000E-05,1558941750.9143333,+5.47815040E-01
136,-2.50993000E-05,1558941751.1226668,+5.47818740E-01
137,-2.50257000E-05,1558941751.331,+5.67129600E-01
138,-2.47121000E-05,1558941751.5393333,+5.67141750E-01
139,-2.48591000E-05,1558941751.7476668,+5.67136340E-01
140,-2.52327000E-05,1558941751.956,+5.67138710E-01
141,-2.51125000E-05,1558941752.1643333,+5.67135810E-01
142,-2.47121000E-05,1558941752.3726668,+5.67143470E-01
143,-2.44786000E-05,1558941752.581,+5.67146110E-01
144,-2.47388000E-05,1558941752.7893333,+5.67147170E-01
145,-2.49723000E-05,1558941752.9976668,+5.67154560E-01
146,-2.45720000E-05,1558941753.206,+5.67159050E-01
147,-2.49257000E-05,1558941753.4143333,+5.67160110E-01
