,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
68,-4.13760000E-05,1558914628.348,+2.93265070E-01,+6.03855800E-03
69,-4.10423000E-05,1558914628.5563333,+2.93268110E-01,+6.03822000E-03
70,-4.10691000E-05,1558914628.7646668,+2.93271540E-01,+6.03825900E-03
71,-4.12626000E-05,1558914628.973,+2.93276030E-01,+6.03835000E-03
72,-4.10758000E-05,1558914629.1813333,+2.93276300E-01,+6.03818100E-03
73,-4.10824000E-05,1558914629.3896668,+2.93280260E-01,+6.03789500E-03
74,-4.10423000E-05,1558914629.598,+2.93283300E-01,+6.03814200E-03
75,-4.10157000E-05,1558914633.32,+3.07196930E-01,+6.03825900E-03
76,-4.09222000E-05,1558914633.5283332,+3.12335290E-01,+6.03858400E-03
77,-4.08287000E-05,1558914633.7366667,+3.12339650E-01,+6.03827200E-03
78,-4.10224000E-05,1558914633.945,+3.27353030E-01,+6.03818100E-03
79,-4.09090000E-05,1558914634.1533332,+3.32224740E-01,+6.03829800E-03
80,-4.07555000E-05,1558914634.3616667,+3.32230290E-01,+6.03854500E-03
81,-4.06486000E-05,1558914634.57,+3.48470470E-01,+6.03871400E-03
82,-4.08022000E-05,1558914634.7783332,+3.51537030E-01,+6.03896100E-03
83,-4.08421000E-05,1558914634.9866667,+3.51540200E-01,+6.03832400E-03
84,-4.07488000E-05,1558914635.195,+3.68027120E-01,+6.03864900E-03
85,-4.06954000E-05,1558914635.4033332,+3.70569490E-01,+6.03867500E-03
86,-4.03482000E-05,1558914635.6116667,+3.70571600E-01,+6.03818100E-03
87,-4.06086000E-05,1558914635.82,+3.89044070E-01,+6.03818100E-03
88,-4.04952000E-05,1558914636.0283332,+3.89903860E-01,+6.03812900E-03
89,-4.07154000E-05,1558914636.2366667,+3.89910860E-01,+6.03792100E-03
90,-4.05619000E-05,1558914636.445,+3.89899890E-01,+6.03786900E-03
91,-4.06219000E-05,1558914636.6533332,+3.89908480E-01,+6.03796000E-03
92,-4.04617000E-05,1558914636.8616667,+3.89897250E-01,+6.03798600E-03
93,-4.03483000E-05,1558914637.07,+3.89915740E-01,+6.03825900E-03
94,-4.05085000E-05,1558914637.2783332,+3.89933840E-01,+6.03816800E-03
95,-4.03617000E-05,1558914637.4866667,+3.89940310E-01,+6.03831100E-03
96,-4.01882000E-05,1558914637.695,+3.89930010E-01,+6.03820700E-03
97,-4.02282000E-05,1558914637.9033332,+3.89932520E-01,+6.03832400E-03
98,-4.01148000E-05,1558914638.1116667,+3.89934500E-01,+6.03820700E-03
99,-4.03817000E-05,1558914638.32,+3.89940040E-01,+6.03818100E-03
100,-3.96743000E-05,1558914641.958,+3.99982230E-01,+6.03819400E-03
101,-4.00279000E-05,1558914642.1663332,+4.09829490E-01,+6.03833700E-03
102,-3.99078000E-05,1558914642.3746667,+4.09832000E-01,+6.03829800E-03
103,-3.98745000E-05,1558914642.583,+4.20059380E-01,+6.03814200E-03
104,-3.97210000E-05,1558914642.7913332,+4.29142840E-01,+6.03832400E-03
105,-3.98612000E-05,1558914642.9996667,+4.29142570E-01,+6.03825900E-03
106,-3.96208000E-05,1558914643.208,+4.39678320E-01,+6.03814200E-03
107,-3.99279000E-05,1558914643.4163332,+4.48160620E-01,+6.03849300E-03
108,-3.98479000E-05,1558914643.6246667,+4.48165640E-01,+6.03823300E-03
109,-3.98212000E-05,1558914643.833,+4.61123700E-01,+6.03814200E-03
110,-3.95809000E-05,1558914644.0413332,+4.68353730E-01,+6.03823300E-03
111,-3.95808000E-05,1558914644.2496667,+4.68360470E-01,+6.03863600E-03
112,-3.99947000E-05,1558914644.458,+4.81059660E-01,+6.03864900E-03
113,-3.94741000E-05,1558914644.6663332,+4.87367150E-01,+6.03851900E-03
114,-3.96676000E-05,1558914644.8746667,+4.87373360E-01,+6.03811600E-03
115,-3.94875000E-05,1558914645.083,+4.87378770E-01,+6.03815500E-03
116,-3.93673000E-05,1558914645.2913332,+4.87377850E-01,+6.03836300E-03
117,-3.95341000E-05,1558914645.4996667,+4.87377720E-01,+6.03840200E-03
118,-3.94073000E-05,1558914645.708,+4.87385110E-01,+6.03840200E-03
119,-3.93806000E-05,1558914645.9163332,+4.87374940E-01,+6.03822000E-03
120,-3.93539000E-05,1558914646.1246667,+4.87388810E-01,+6.03838900E-03
121,-3.94207000E-05,1558914646.333,+4.87408090E-01,+6.03831100E-03
122,-3.93474000E-05,1558914646.5413332,+4.87389870E-01,+6.03845400E-03
123,-3.95608000E-05,1558914646.7496667,+4.87406110E-01,+6.03827200E-03
124,-3.94541000E-05,1558914646.958,+4.87392250E-01,+6.03850600E-03
125,-3.86599000E-05,1558914650.557,+5.08454230E-01,+6.03846700E-03
126,-3.94008000E-05,1558914650.7653332,+5.08277520E-01,+6.03896100E-03
127,-3.93005000E-05,1558914650.9736667,+5.08269860E-01,+6.03815500E-03
128,-3.93140000E-05,1558914651.182,+5.28133440E-01,+6.03862300E-03
129,-3.92939000E-05,1558914651.3903332,+5.28144800E-01,+6.03866200E-03
130,-3.91605000E-05,1558914651.5986667,+5.28153380E-01,+6.03861000E-03
131,-3.92071000E-05,1558914651.807,+5.47451710E-01,+6.03832400E-03
132,-3.91537000E-05,1558914652.0153332,+5.47459110E-01,+6.03832400E-03
133,-3.91471000E-05,1558914652.2236667,+5.47476010E-01,+6.03851900E-03
134,-3.93540000E-05,1558914652.432,+5.66766140E-01,+6.03838900E-03
135,-3.92071000E-05,1558914652.6403332,+5.66789520E-01,+6.03831100E-03
136,-3.92138000E-05,1558914652.8486667,+5.66795990E-01,+6.03838900E-03
137,-3.92471000E-05,1558914653.057,+5.86690440E-01,+6.03811600E-03
138,-3.90403000E-05,1558914653.2653332,+5.86706820E-01,+6.03811600E-03
139,-3.91137000E-05,1558914653.4736667,+5.86706150E-01,+6.03832400E-03
140,-3.91872000E-05,1558914653.682,+5.86708930E-01,+6.03864900E-03
141,-3.89936000E-05,1558914653.8903332,+5.86716320E-01,+6.03807700E-03
142,-3.92673000E-05,1558914654.0986667,+5.86719760E-01,+6.03803800E-03
143,-3.91204000E-05,1558914654.307,+5.86726890E-01,+6.03828500E-03
144,-3.91270000E-05,1558914654.5153332,+5.86739440E-01,+6.03868800E-03
145,-3.88467000E-05,1558914654.7236667,+5.86735080E-01,+6.03832400E-03
146,-3.90669000E-05,1558914654.932,+5.86746300E-01,+6.03851900E-03
147,-3.89869000E-05,1558914655.1403332,+5.86751720E-01,+6.03863600E-03
148,-3.89403000E-05,1558914655.3486667,+5.86761760E-01,+6.03842800E-03
149,-3.89136000E-05,1558914655.557,+5.86767830E-01,+6.03831100E-03
150,-3.88867000E-05,1558914659.302,+6.02474470E-01,+6.03810300E-03
151,-3.91137000E-05,1558914659.5103333,+6.06137600E-01,+6.03864900E-03
152,-3.87933000E-05,1558914659.7186668,+6.06134700E-01,+6.03871400E-03
153,-3.90135000E-05,1558914659.927,+6.23563400E-01,+6.03836300E-03
154,-3.90136000E-05,1558914660.1353333,+6.25471030E-01,+6.03810300E-03
155,-3.90469000E-05,1558914660.3436668,+6.25472350E-01,+6.03831100E-03
156,-3.88467000E-05,1558914660.552,+6.43868770E-01,+6.03807700E-03
157,-3.89335000E-05,1558914660.7603333,+6.45359060E-01,+6.03849300E-03
158,-3.87666000E-05,1558914660.9686668,+6.45370420E-01,+6.03816800E-03
159,-3.89001000E-05,1558914661.177,+6.63709780E-01,+6.03825900E-03
160,-3.89402000E-05,1558914661.3853333,+6.64682880E-01,+6.03859700E-03
161,-3.88335000E-05,1558914661.5936668,+6.64693710E-01,+6.03841500E-03
162,-3.88134000E-05,1558914661.802,+6.83328910E-01,+6.03850600E-03
163,-3.88802000E-05,1558914662.0103333,+6.83411720E-01,+6.03823300E-03
164,-3.89602000E-05,1558914662.2186668,+6.83420430E-01,+6.03827200E-03
165,-3.87867000E-05,1558914662.427,+6.83421620E-01,+6.03819400E-03
166,-3.89603000E-05,1558914662.6353333,+6.83427830E-01,+6.03786900E-03
167,-3.88334000E-05,1558914662.8436668,+6.83424790E-01,+6.03854500E-03
168,-3.89668000E-05,1558914663.052,+6.83432190E-01,+6.03867500E-03
169,-3.90136000E-05,1558914663.2603333,+6.83439190E-01,+6.03835000E-03
170,-3.89535000E-05,1558914663.4686668,+6.83448560E-01,+6.03828500E-03
171,-3.89868000E-05,1558914663.677,+6.83455830E-01,+6.03844100E-03
172,-3.89202000E-05,1558914663.8853333,+6.83461900E-01,+6.03818100E-03
173,-3.87734000E-05,1558914664.0936668,+6.83474580E-01,+6.03816800E-03
174,-3.89802000E-05,1558914664.302,+6.83477490E-01,+6.03857100E-03
175,-3.95275000E-05,1558914667.957,+6.92667420E-01,+6.03844100E-03
176,-3.90670000E-05,1558914668.1653333,+7.03402610E-01,+6.03841500E-03
177,-3.86666000E-05,1558914668.3736668,+7.03406830E-01,+6.03809000E-03
178,-3.90069000E-05,1558914668.582,+7.14014840E-01,+6.03837600E-03
179,-3.87332000E-05,1558914668.7903333,+7.22736560E-01,+6.03835000E-03
180,-3.89869000E-05,1558914668.9986668,+7.22746060E-01,+6.03819400E-03
181,-3.89336000E-05,1558914669.207,+7.33826470E-01,+6.03848000E-03
182,-3.91136000E-05,1558914669.4153333,+7.42060230E-01,+6.03796000E-03
183,-3.90336000E-05,1558914669.6236668,+7.42067360E-01,+6.03835000E-03
184,-3.87799000E-05,1558914669.832,+7.55245230E-01,+6.03820700E-03
185,-3.91739000E-05,1558914670.0403333,+7.62001200E-01,+6.03846700E-03
