,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
68,-2.91901000E-05,1558914125.046,+2.92955230E-01,+4.99392600E-03
69,-2.90901000E-05,1558914125.2543333,+2.92960510E-01,+4.99455000E-03
70,-2.89098000E-05,1558914125.4626667,+2.92962360E-01,+4.99400400E-03
71,-2.88966000E-05,1558914125.671,+2.92970680E-01,+4.99379600E-03
72,-2.90100000E-05,1558914125.8793333,+2.92976760E-01,+4.99408200E-03
73,-2.88497000E-05,1558914126.0876667,+2.92987320E-01,+4.99431600E-03
74,-2.89298000E-05,1558914126.296,+2.92987980E-01,+4.99452400E-03
75,-2.87764000E-05,1558914130.018,+3.06156210E-01,+4.99429000E-03
76,-2.87163000E-05,1558914130.2263331,+3.12021490E-01,+4.99449800E-03
77,-2.89165000E-05,1558914130.4346666,+3.12027040E-01,+4.99455000E-03
78,-2.87430000E-05,1558914130.643,+3.27558270E-01,+4.99409500E-03
79,-2.87096000E-05,1558914130.8513331,+3.31897470E-01,+4.99404300E-03
80,-2.87097000E-05,1558914131.0596666,+3.31903940E-01,+4.99416000E-03
81,-2.86094000E-05,1558914131.268,+3.47492220E-01,+4.99460200E-03
82,-2.84493000E-05,1558914131.4763331,+3.51194310E-01,+4.99410800E-03
83,-2.86495000E-05,1558914131.6846666,+3.51203160E-01,+4.99427700E-03
84,-2.85161000E-05,1558914131.893,+3.68261150E-01,+4.99430300E-03
85,-2.84761000E-05,1558914132.1013331,+3.70212770E-01,+4.99470600E-03
86,-2.83826000E-05,1558914132.3096666,+3.70220160E-01,+4.99444600E-03
87,-2.85094000E-05,1558914132.518,+3.88065820E-01,+4.99410800E-03
88,-2.86361000E-05,1558914132.7263331,+3.89533920E-01,+4.99451100E-03
89,-2.82291000E-05,1558914132.9346666,+3.89538810E-01,+4.99416000E-03
90,-2.82357000E-05,1558914133.143,+3.89547660E-01,+4.99439400E-03
91,-2.80757000E-05,1558914133.3513331,+3.89552410E-01,+4.99440700E-03
92,-2.81557000E-05,1558914133.5596666,+3.89559810E-01,+4.99417300E-03
93,-2.81823000E-05,1558914133.768,+3.89560600E-01,+4.99429000E-03
