,SQUID_Volt(V),timestamp,MOD_CURR(A)
91,-2.93604000E-05,1558943770.9323332,+3.71160510E-01
92,-2.94165000E-05,1558943771.1406667,+3.71160640E-01
93,-2.93517100E-05,1558943771.349,+3.71163550E-01
94,-2.92535400E-05,1558943771.5573332,+3.71165920E-01
95,-2.93116600E-05,1558943771.7656667,+3.71168430E-01
96,-2.93069700E-05,1558943771.974,+3.71165000E-01
97,-2.93096500E-05,1558943772.1823332,+3.71169090E-01
98,-2.92074700E-05,1558943772.3906667,+3.71170940E-01
99,-2.92261700E-05,1558943772.599,+3.71172000E-01
100,-2.91794200E-05,1558943776.136,+3.83439060E-01
101,-2.91787600E-05,1558943776.3443332,+3.90525120E-01
102,-2.93503800E-05,1558943776.5526667,+3.90529080E-01
103,-2.92448600E-05,1558943776.761,+4.04855130E-01
104,-2.94018000E-05,1558943776.9693332,+4.10455910E-01
105,-2.93770900E-05,1558943777.1776667,+4.10459870E-01
106,-2.93911100E-05,1558943777.386,+4.24774980E-01
107,-2.93250100E-05,1558943777.5943332,+4.29795530E-01
108,-2.94986400E-05,1558943777.8026667,+4.29799230E-01
109,-2.95714400E-05,1558943778.011,+4.45549700E-01
110,-2.95714400E-05,1558943778.2193332,+4.48856370E-01
111,-2.95153300E-05,1558943778.4276667,+4.48859140E-01
112,-2.96696100E-05,1558943778.636,+4.66039450E-01
113,-2.95193400E-05,1558943778.8443332,+4.69081310E-01
114,-2.97136800E-05,1558943779.0526667,+4.69085410E-01
115,-2.98332300E-05,1558943779.261,+4.69089760E-01
116,-2.97784700E-05,1558943779.4693332,+4.69093590E-01
117,-2.99273800E-05,1558943779.6776667,+4.69095440E-01
118,-2.98626100E-05,1558943779.886,+4.69094520E-01
119,-2.98519200E-05,1558943780.0943332,+4.69095050E-01
120,-2.96382200E-05,1558943780.3026667,+4.69091880E-01
121,-2.98979900E-05,1558943780.511,+4.69091080E-01
122,-2.98792900E-05,1558943780.7193332,+4.69090820E-01
123,-2.99627800E-05,1558943780.9276667,+4.69089500E-01
124,-2.98272200E-05,1558943781.136,+4.69092140E-01
125,-2.96288700E-05,1558943784.737,+4.81272030E-01
126,-2.96856200E-05,1558943784.9453332,+4.88129860E-01
127,-2.98552700E-05,1558943785.1536667,+4.88130920E-01
128,-2.97838100E-05,1558943785.362,+5.08360460E-01
129,-2.97891400E-05,1558943785.5703332,+5.08242520E-01
130,-2.97217000E-05,1558943785.7786667,+5.08241070E-01
131,-2.96529100E-05,1558943785.987,+5.28119170E-01
132,-2.98552600E-05,1558943786.1953332,+5.28124190E-01
133,-2.98465800E-05,1558943786.4036667,+5.28135810E-01
134,-2.96969900E-05,1558943786.612,+5.47448280E-01
135,-2.98071800E-05,1558943786.8203332,+5.47457520E-01
136,-2.97497500E-05,1558943787.0286667,+5.47466630E-01
137,-2.97477400E-05,1558943787.237,+5.66776840E-01
138,-2.97777900E-05,1558943787.4453332,+5.66789520E-01
139,-2.97410700E-05,1558943787.6536667,+5.66790310E-01
140,-2.96515700E-05,1558943787.862,+5.66799290E-01
141,-2.97156800E-05,1558943788.0703332,+5.66802200E-01
142,-2.95694400E-05,1558943788.2786667,+5.66805100E-01
143,-2.96909800E-05,1558943788.487,+5.66814480E-01
144,-2.97918200E-05,1558943788.6953332,+5.66814740E-01
145,-2.97216800E-05,1558943788.9036667,+5.66818710E-01
146,-2.96756200E-05,1558943789.112,+5.66830860E-01
147,-2.96488900E-05,1558943789.3203332,+5.66829270E-01
148,-2.98045000E-05,1558943789.5286667,+5.66831120E-01
149,-2.98278700E-05,1558943789.737,+5.66832180E-01
150,-2.96068300E-05,1558943793.448,+5.66840890E-01
151,-2.95968000E-05,1558943793.6563332,+5.86736930E-01
152,-2.95440400E-05,1558943793.8646667,+5.86744060E-01
153,-2.96575700E-05,1558943794.073,+5.87466930E-01
