,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
54,-3.79191000E-05,1558917069.1982105,+1.57009670E+00,+2.74309130E-01,+5.51782200E-03
55,-3.30874000E-05,1558917069.4613683,+1.57010040E+00,+2.74314150E-01,+5.51779600E-03
56,-3.24067000E-05,1558917069.7245262,+1.57010160E+00,+2.74319430E-01,+5.51748400E-03
57,-3.39617000E-05,1558917069.9876842,+1.57010160E+00,+2.74322340E-01,+5.51761400E-03
58,-3.82262000E-05,1558917070.250842,+1.57010040E+00,+2.74326560E-01,+5.51769200E-03
59,-3.47825000E-05,1558917070.514,+1.57010040E+00,+2.74327090E-01,+5.51800400E-03
60,-3.63575000E-05,1558917072.536,+1.57009670E+00,+2.76990310E-01,+5.51761400E-03
61,-3.57035000E-05,1558917072.7991579,+1.57009910E+00,+2.93654590E-01,+5.51774400E-03
62,-3.43755000E-05,1558917073.0623157,+1.57010160E+00,+2.93659470E-01,+5.51795200E-03
63,-3.30475000E-05,1558917073.3254738,+1.57009790E+00,+2.97937530E-01,+5.51769200E-03
64,-2.79555000E-05,1558917073.5886316,+1.57010410E+00,+3.12730320E-01,+5.51782200E-03
65,-2.90901000E-05,1558917073.8517895,+1.57009910E+00,+3.12734680E-01,+5.51738000E-03
66,-3.59638000E-05,1558917074.1149473,+1.57010040E+00,+3.17651170E-01,+5.51783500E-03
67,-3.41219000E-05,1558917074.3781052,+1.57010040E+00,+3.32653710E-01,+5.51732800E-03
68,-3.45090000E-05,1558917074.6412632,+1.57010290E+00,+3.32655690E-01,+5.51787400E-03
69,-3.46825000E-05,1558917074.904421,+1.57010160E+00,+3.39086520E-01,+5.51795200E-03
70,-3.36614000E-05,1558917075.167579,+1.57010160E+00,+3.51985410E-01,+5.51800400E-03
71,-3.61639000E-05,1558917075.4307368,+1.57009790E+00,+3.51991490E-01,+5.51758800E-03
72,-3.44689000E-05,1558917075.6938949,+1.57009790E+00,+3.58761240E-01,+5.51751000E-03
73,-3.41018000E-05,1558917075.9570527,+1.57009910E+00,+3.71042040E-01,+5.51790000E-03
74,-3.31541000E-05,1558917076.2202106,+1.57009910E+00,+3.71043760E-01,+5.51813400E-03
75,-3.57502000E-05,1558917076.4833684,+1.57009910E+00,+3.71045740E-01,+5.51779600E-03
76,-2.93036000E-05,1558917076.7465262,+1.57010530E+00,+3.71046800E-01,+5.51767900E-03
77,-2.91435000E-05,1558917077.0096843,+1.57009790E+00,+3.71047590E-01,+5.51782200E-03
78,-3.45623000E-05,1558917077.2728422,+1.57010040E+00,+3.71044680E-01,+5.51818600E-03
79,-3.52430000E-05,1558917077.536,+1.57010290E+00,+3.71048780E-01,+5.51817300E-03
80,-3.13724000E-05,1558917079.438,+1.57009670E+00,+3.85787550E-01,+5.51799100E-03
81,-3.47359000E-05,1558917079.7011578,+1.57010040E+00,+3.90402950E-01,+5.51799100E-03
82,-3.62974000E-05,1558917079.9643157,+1.57010160E+00,+3.90401240E-01,+5.51809500E-03
83,-3.47958000E-05,1558917080.2274737,+1.57010160E+00,+4.06014190E-01,+5.51812100E-03
84,-3.87667000E-05,1558917080.4906316,+1.57010040E+00,+4.10313140E-01,+5.51748400E-03
85,-3.58837000E-05,1558917080.7537894,+1.57009910E+00,+4.10316310E-01,+5.51773100E-03
86,-3.30206000E-05,1558917081.0169473,+1.57010160E+00,+4.27156090E-01,+5.51779600E-03
87,-3.49360000E-05,1558917081.280105,+1.57010040E+00,+4.29641800E-01,+5.51835500E-03
88,-3.02713000E-05,1558917081.5432632,+1.57010160E+00,+4.29647750E-01,+5.51818600E-03
89,-3.37482000E-05,1558917081.806421,+1.57009910E+00,+4.46669140E-01,+5.51778300E-03
90,-3.07650000E-05,1558917082.069579,+1.57010290E+00,+4.48690220E-01,+5.51806900E-03
