,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
62,-3.22467000E-05,1558930723.927,+1.57061350E+00,+2.93687610E-01,+5.08891100E-03
63,-3.27940000E-05,1558930724.1353333,+1.57061850E+00,+2.93700680E-01,+5.08869000E-03
64,-3.23469000E-05,1558930724.3436668,+1.57061350E+00,+2.93703320E-01,+5.08897600E-03
65,-3.22801000E-05,1558930724.552,+1.57061600E+00,+2.93707150E-01,+5.08898900E-03
66,-3.22267000E-05,1558930724.7603333,+1.57061480E+00,+2.93710720E-01,+5.08919700E-03
67,-3.22734000E-05,1558930724.9686668,+1.57061600E+00,+2.93712570E-01,+5.08915800E-03
68,-3.22200000E-05,1558930725.177,+1.57061600E+00,+2.93714940E-01,+5.08837800E-03
69,-3.24270000E-05,1558930725.3853333,+1.57061350E+00,+2.93718110E-01,+5.08856000E-03
70,-3.22668000E-05,1558930725.5936668,+1.57061230E+00,+2.93718510E-01,+5.08895000E-03
71,-3.18664000E-05,1558930725.802,+1.57061850E+00,+2.93719170E-01,+5.08884600E-03
72,-3.23000000E-05,1558930726.0103333,+1.57061850E+00,+2.93721150E-01,+5.08896300E-03
73,-3.18264000E-05,1558930726.2186668,+1.57062220E+00,+2.93724720E-01,+5.08878100E-03
74,-3.24069000E-05,1558930726.427,+1.57062590E+00,+2.93722470E-01,+5.08892400E-03
75,-3.20731000E-05,1558930730.147,+1.57062220E+00,+3.05751940E-01,+5.08891100E-03
76,-3.21867000E-05,1558930730.3553333,+1.57062590E+00,+3.12799520E-01,+5.08926200E-03
77,-3.22534000E-05,1558930730.5636668,+1.57062470E+00,+3.12803220E-01,+5.08902800E-03
78,-3.24603000E-05,1558930730.772,+1.57061970E+00,+3.25868420E-01,+5.08884600E-03
79,-3.21666000E-05,1558930730.9803333,+1.57062100E+00,+3.32718160E-01,+5.08906700E-03
80,-3.19263000E-05,1558930731.1886668,+1.57062100E+00,+3.32718950E-01,+5.08876800E-03
81,-3.20731000E-05,1558930731.397,+1.57061730E+00,+3.45877360E-01,+5.08882000E-03
82,-3.17127000E-05,1558930731.6053333,+1.57061730E+00,+3.52051980E-01,+5.08892400E-03
83,-3.23202000E-05,1558930731.8136668,+1.57061600E+00,+3.52062540E-01,+5.08918400E-03
84,-3.19263000E-05,1558930732.022,+1.57061600E+00,+3.66679300E-01,+5.08861200E-03
85,-3.16594000E-05,1558930732.2303333,+1.57061970E+00,+3.71112170E-01,+5.08888500E-03
86,-3.18197000E-05,1558930732.4386668,+1.57061600E+00,+3.71115610E-01,+5.08861200E-03
87,-3.17863000E-05,1558930732.647,+1.57061730E+00,+3.86451870E-01,+5.08879400E-03
88,-3.17529000E-05,1558930732.8553333,+1.57061730E+00,+3.90477570E-01,+5.08921000E-03
89,-3.19664000E-05,1558930733.0636668,+1.57061480E+00,+3.90467270E-01,+5.08892400E-03
90,-3.22067000E-05,1558930733.272,+1.57061480E+00,+3.90471890E-01,+5.08879400E-03
91,-3.17862000E-05,1558930733.4803333,+1.57061350E+00,+3.90474800E-01,+5.08914500E-03
92,-3.15661000E-05,1558930733.6886668,+1.57061110E+00,+3.90474670E-01,+5.08918400E-03
93,-3.20666000E-05,1558930733.897,+1.57061600E+00,+3.90479820E-01,+5.08862500E-03
94,-3.17663000E-05,1558930734.1053333,+1.57061730E+00,+3.90479160E-01,+5.08874200E-03
95,-3.15994000E-05,1558930734.3136668,+1.57061850E+00,+3.90478370E-01,+5.08872900E-03
96,-3.16795000E-05,1558930734.522,+1.57061230E+00,+3.90474670E-01,+5.08900200E-03
97,-3.14926000E-05,1558930734.7303333,+1.57061730E+00,+3.90475060E-01,+5.08913200E-03
98,-3.19931000E-05,1558930734.9386668,+1.57061850E+00,+3.90480610E-01,+5.08901500E-03
99,-3.14125000E-05,1558930735.147,+1.57061480E+00,+3.90479290E-01,+5.08918400E-03
100,-3.15993000E-05,1558930738.826,+1.57061600E+00,+3.93478500E-01,+5.08858600E-03
101,-3.14192000E-05,1558930739.0343332,+1.57061480E+00,+4.10399250E-01,+5.08866400E-03
102,-3.17730000E-05,1558930739.2426667,+1.57061110E+00,+4.10404270E-01,+5.08889800E-03
103,-3.14658000E-05,1558930739.451,+1.57060860E+00,+4.13802060E-01,+5.08861200E-03
104,-3.16862000E-05,1558930739.6593332,+1.57061230E+00,+4.29729900E-01,+5.08885900E-03
105,-3.19331000E-05,1558930739.8676667,+1.57061480E+00,+4.29734250E-01,+5.08889800E-03
106,-3.10722000E-05,1558930740.076,+1.57061600E+00,+4.34744930E-01,+5.08900200E-03
107,-3.14992000E-05,1558930740.2843332,+1.57061970E+00,+4.48781880E-01,+5.08888500E-03
108,-3.14460000E-05,1558930740.4926667,+1.57062100E+00,+4.48787830E-01,+5.08863800E-03
109,-3.13591000E-05,1558930740.701,+1.57062100E+00,+4.54577860E-01,+5.08889800E-03
110,-3.12390000E-05,1558930740.9093332,+1.57062100E+00,+4.68999960E-01,+5.08908000E-03
111,-3.14459000E-05,1558930741.1176667,+1.57061730E+00,+4.69004710E-01,+5.08840400E-03
112,-3.14326000E-05,1558930741.326,+1.57061850E+00,+4.76127460E-01,+5.08871600E-03
113,-3.13324000E-05,1558930741.5343332,+1.57061480E+00,+4.88037810E-01,+5.08857300E-03
114,-3.13057000E-05,1558930741.7426667,+1.57061600E+00,+4.88044940E-01,+5.08876800E-03
115,-3.12256000E-05,1558930741.951,+1.57061600E+00,+4.88049170E-01,+5.08879400E-03
116,-3.12724000E-05,1558930742.1593332,+1.57061970E+00,+4.88051550E-01,+5.08896300E-03
117,-3.14459000E-05,1558930742.3676667,+1.57062220E+00,+4.88052340E-01,+5.08918400E-03
118,-3.12657000E-05,1558930742.576,+1.57062470E+00,+4.88052600E-01,+5.08910600E-03
119,-3.11722000E-05,1558930742.7843332,+1.57062470E+00,+4.88054580E-01,+5.08935300E-03
120,-3.12390000E-05,1558930742.9926667,+1.57062590E+00,+4.88053260E-01,+5.08908000E-03
121,-3.09319000E-05,1558930743.201,+1.57062840E+00,+4.88053920E-01,+5.08979600E-03
122,-3.07585000E-05,1558930743.4093332,+1.57062220E+00,+4.88052870E-01,+5.08962700E-03
123,-3.06184000E-05,1558930743.6176667,+1.57062350E+00,+4.88050490E-01,+5.09005600E-03
124,-3.10921000E-05,1558930743.826,+1.57062590E+00,+4.88055240E-01,+5.08944500E-03
125,-3.16394000E-05,1558930747.426,+1.57062470E+00,+4.11772920E-01,+5.08960100E-03
126,-3.06316000E-05,1558930747.6343334,+1.57062840E+00,+5.07662600E-01,+5.08956200E-03
127,-3.03448000E-05,1558930747.8426669,+1.57062350E+00,+5.07653090E-01,+5.08945800E-03
128,-3.09721000E-05,1558930748.051,+1.57062590E+00,+5.11669910E-01,+5.08947100E-03
129,-3.05717000E-05,1558930748.2593334,+1.57061850E+00,+5.27523800E-01,+5.08962700E-03
130,-3.06517000E-05,1558930748.4676669,+1.57061970E+00,+5.27534490E-01,+5.08935300E-03
131,-3.07719000E-05,1558930748.676,+1.57061970E+00,+5.31916620E-01,+5.08954900E-03
132,-3.04581000E-05,1558930748.8843334,+1.57061730E+00,+5.46837180E-01,+5.08931400E-03
133,-3.06250000E-05,1558930749.0926669,+1.57061110E+00,+5.46849330E-01,+5.08902800E-03
134,-3.05450000E-05,1558930749.301,+1.57061730E+00,+5.52916550E-01,+5.08897600E-03
135,-3.01712000E-05,1558930749.5093334,+1.57061730E+00,+5.66149470E-01,+5.08898900E-03
136,-3.04314000E-05,1558930749.7176669,+1.57061730E+00,+5.66159380E-01,+5.08926200E-03
137,-3.01312000E-05,1558930749.926,+1.57061730E+00,+5.72881700E-01,+5.08905400E-03
138,-3.05516000E-05,1558930750.1343334,+1.57061850E+00,+5.86048310E-01,+5.08915800E-03
139,-3.03513000E-05,1558930750.3426669,+1.57061730E+00,+5.86049890E-01,+5.08874200E-03
140,-3.04583000E-05,1558930750.551,+1.57061730E+00,+5.86062040E-01,+5.08891100E-03
141,-2.99977000E-05,1558930750.7593334,+1.57061850E+00,+5.86064550E-01,+5.09022500E-03
142,-3.02314000E-05,1558930750.9676669,+1.57061600E+00,+5.86066010E-01,+5.08936600E-03
143,-3.05583000E-05,1558930751.176,+1.57062100E+00,+5.86071820E-01,+5.08957500E-03
144,-2.98443000E-05,1558930751.3843334,+1.57061600E+00,+5.86077360E-01,+5.08934000E-03
145,-3.02913000E-05,1558930751.5926669,+1.57061850E+00,+5.86086870E-01,+5.08967900E-03
146,-2.98577000E-05,1558930751.801,+1.57061730E+00,+5.86095060E-01,+5.08935300E-03
147,-2.97442000E-05,1558930752.0093334,+1.57061730E+00,+5.86094530E-01,+5.08926200E-03
148,-3.01847000E-05,1558930752.2176669,+1.57061350E+00,+5.86097970E-01,+5.08918400E-03
149,-3.01578000E-05,1558930752.426,+1.57061350E+00,+5.86099420E-01,+5.08921000E-03
150,-2.97908000E-05,1558930756.026,+1.57061480E+00,+5.88839150E-01,+5.08923600E-03
151,-2.97709000E-05,1558930756.2343333,+1.57061600E+00,+6.05449110E-01,+5.08889800E-03
152,-2.96441000E-05,1558930756.4426668,+1.57061230E+00,+6.05459680E-01,+5.08943200E-03
153,-3.00110000E-05,1558930756.651,+1.57061350E+00,+6.08684500E-01,+5.08936600E-03
154,-3.01646000E-05,1558930756.8593333,+1.57061480E+00,+6.24779770E-01,+5.08921000E-03
155,-3.01379000E-05,1558930757.0676668,+1.57062220E+00,+6.24789280E-01,+5.08863800E-03
156,-2.95573000E-05,1558930757.276,+1.57062220E+00,+6.29851740E-01,+5.08875500E-03
157,-2.98510000E-05,1558930757.4843333,+1.57062350E+00,+6.44655250E-01,+5.08931400E-03
158,-2.95774000E-05,1558930757.6926668,+1.57062220E+00,+6.44660140E-01,+5.08895000E-03
159,-2.97842000E-05,1558930757.901,+1.57062100E+00,+6.50073340E-01,+5.08863800E-03
160,-2.97041000E-05,1558930758.1093333,+1.57061730E+00,+6.63954770E-01,+5.08915800E-03
161,-2.95773000E-05,1558930758.3176668,+1.57061600E+00,+6.63964540E-01,+5.08921000E-03
162,-2.96706000E-05,1558930758.526,+1.57061850E+00,+6.70848760E-01,+5.08879400E-03
163,-2.93503000E-05,1558930758.7343333,+1.57061850E+00,+6.82667230E-01,+5.08887200E-03
164,-2.95706000E-05,1558930758.9426668,+1.57061730E+00,+6.82675420E-01,+5.08889800E-03
165,-2.92170000E-05,1558930759.151,+1.57061970E+00,+6.82687170E-01,+5.08897600E-03
166,-2.92103000E-05,1558930759.3593333,+1.57061350E+00,+6.82691000E-01,+5.08892400E-03
167,-2.93236000E-05,1558930759.5676668,+1.57061480E+00,+6.82691400E-01,+5.08913200E-03
168,-2.92769000E-05,1558930759.776,+1.57061730E+00,+6.82698400E-01,+5.08865100E-03
169,-2.93970000E-05,1558930759.9843333,+1.57061350E+00,+6.82709490E-01,+5.08914500E-03
170,-2.93571000E-05,1558930760.1926668,+1.57061480E+00,+6.82721640E-01,+5.08862500E-03
171,-2.96240000E-05,1558930760.401,+1.57061350E+00,+6.82731680E-01,+5.08869000E-03
172,-2.92370000E-05,1558930760.6093333,+1.57061110E+00,+6.82739340E-01,+5.08892400E-03
173,-2.90768000E-05,1558930760.8176668,+1.57061230E+00,+6.82742780E-01,+5.08876800E-03
174,-2.95239000E-05,1558930761.026,+1.57061480E+00,+6.82756510E-01,+5.08904100E-03
175,-2.91100000E-05,1558930764.626,+1.57062100E+00,+6.86143080E-01,+5.08874200E-03
176,-2.87499000E-05,1558930764.8343332,+1.57061850E+00,+7.02671860E-01,+5.08954900E-03
177,-2.88231000E-05,1558930765.0426667,+1.57061480E+00,+7.02686910E-01,+5.08914500E-03
178,-2.92103000E-05,1558930765.251,+1.57061600E+00,+7.06468240E-01,+5.08884600E-03
179,-2.91768000E-05,1558930765.4593332,+1.57061730E+00,+7.22018480E-01,+5.08913200E-03
180,-2.87499000E-05,1558930765.6676667,+1.57061850E+00,+7.22037110E-01,+5.08911900E-03
181,-2.88631000E-05,1558930765.876,+1.57061600E+00,+7.26284270E-01,+5.08952300E-03
182,-2.92302000E-05,1558930766.0843332,+1.57061600E+00,+7.41362240E-01,+5.08943200E-03
183,-2.91569000E-05,1558930766.2926667,+1.57061850E+00,+7.41383630E-01,+5.08931400E-03
184,-2.92569000E-05,1558930766.501,+1.57061850E+00,+7.47543740E-01,+5.08866400E-03
185,-2.90969000E-05,1558930766.7093332,+1.57061850E+00,+7.61337670E-01,+5.08931400E-03
186,-2.86030000E-05,1558930766.9176667,+1.57061970E+00,+7.61361180E-01,+5.08936600E-03
187,-2.82559000E-05,1558930767.126,+1.57061970E+00,+7.67817400E-01,+5.08915800E-03
188,-2.86229000E-05,1558930767.3343332,+1.57061730E+00,+7.80722920E-01,+5.08913200E-03
189,-2.90568000E-05,1558930767.5426667,+1.57061850E+00,+7.80751440E-01,+5.08909300E-03
190,-2.88765000E-05,1558930767.751,+1.57062350E+00,+7.80771780E-01,+5.08935300E-03
191,-2.83627000E-05,1558930767.9593332,+1.57062470E+00,+7.80785520E-01,+5.08961400E-03
192,-2.83894000E-05,1558930768.1676667,+1.57061970E+00,+7.80797540E-01,+5.08975700E-03
193,-2.86162000E-05,1558930768.376,+1.57062350E+00,+7.80816690E-01,+5.08927500E-03
194,-2.84561000E-05,1558930768.5843332,+1.57062470E+00,+7.80830030E-01,+5.08967900E-03
195,-2.84562000E-05,1558930768.7926667,+1.57062590E+00,+7.80834780E-01,+5.08962700E-03
196,-2.84161000E-05,1558930769.001,+1.57061850E+00,+7.80851290E-01,+5.08932700E-03
197,-2.87232000E-05,1558930769.2093332,+1.57061730E+00,+7.80855120E-01,+5.08928800E-03
198,-2.82960000E-05,1558930769.4176667,+1.57061850E+00,+7.80850890E-01,+5.08949700E-03
199,-2.80891000E-05,1558930769.626,+1.57061350E+00,+7.80861200E-01,+5.08947100E-03
200,-2.82360000E-05,1558930773.226,+1.57061110E+00,+7.83475810E-01,+5.08915800E-03
201,-2.86564000E-05,1558930773.4343333,+1.57061350E+00,+8.00175770E-01,+5.08919700E-03
202,-2.83694000E-05,1558930773.6426668,+1.57060860E+00,+8.00186340E-01,+5.08897600E-03
203,-2.84762000E-05,1558930773.851,+1.57060980E+00,+8.04233130E-01,+5.08902800E-03
204,-2.84561000E-05,1558930774.0593333,+1.57060860E+00,+8.18346730E-01,+5.08884600E-03
205,-2.86830000E-05,1558930774.2676668,+1.57061110E+00,+8.18354920E-01,+5.08892400E-03
206,-2.83294000E-05,1558930774.476,+1.57060980E+00,+8.24274220E-01,+5.08861200E-03
207,-2.85362000E-05,1558930774.6843333,+1.57060610E+00,+8.42330270E-01,+5.08882000E-03
208,-2.83160000E-05,1558930774.8926668,+1.57060610E+00,+8.42338320E-01,+5.08887200E-03
209,-2.88565000E-05,1558930775.101,+1.57061230E+00,+8.47610740E-01,+5.08870300E-03
210,-2.81825000E-05,1558930775.3093333,+1.57061850E+00,+8.58153240E-01,+5.08884600E-03
211,-2.83427000E-05,1558930775.5176668,+1.57061850E+00,+8.58155220E-01,+5.08905400E-03
212,-2.83027000E-05,1558930775.726,+1.57062220E+00,+8.64036780E-01,+5.08910600E-03
213,-2.81425000E-05,1558930775.9343333,+1.57062220E+00,+8.74543330E-01,+5.08878100E-03
214,-2.80157000E-05,1558930776.1426668,+1.57061970E+00,+8.74539500E-01,+5.08826100E-03
