,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
54,-2.17778700E-05,1558921704.8253334,+1.56976450E+00,+2.34338080E-01,+4.51583900E-03
55,-2.18293000E-05,1558921705.0336668,+1.56976320E+00,+2.34339660E-01,+4.51583900E-03
56,-2.17651800E-05,1558921705.242,+1.56976450E+00,+2.54190270E-01,+4.51590400E-03
57,-2.18753700E-05,1558921705.4503334,+1.56976700E+00,+2.54120540E-01,+4.51577400E-03
58,-2.18673600E-05,1558921705.6586668,+1.56976700E+00,+2.54128200E-01,+4.51573500E-03
59,-2.20096000E-05,1558921705.867,+1.56976700E+00,+2.74016590E-01,+4.51596900E-03
60,-2.19455000E-05,1558921706.0753334,+1.56976570E+00,+2.74028740E-01,+4.51596900E-03
61,-2.18907300E-05,1558921706.2836668,+1.56976570E+00,+2.74036140E-01,+4.51596900E-03
62,-2.20977600E-05,1558921706.492,+1.56976570E+00,+2.93344050E-01,+4.51596900E-03
63,-2.21358300E-05,1558921706.7003334,+1.56976820E+00,+2.93349600E-01,+4.51596900E-03
64,-2.20984300E-05,1558921706.9086668,+1.56976570E+00,+2.93354610E-01,+4.51560500E-03
65,-2.20376600E-05,1558921707.117,+1.56976700E+00,+2.93356990E-01,+4.51542300E-03
66,-2.24136400E-05,1558921707.3253334,+1.56976570E+00,+2.93366500E-01,+4.51583900E-03
67,-2.23809100E-05,1558921707.5336668,+1.56976570E+00,+2.93367290E-01,+4.51563100E-03
68,-2.23188000E-05,1558921707.742,+1.56976570E+00,+2.93372580E-01,+4.51570900E-03
69,-2.24991100E-05,1558921707.9503334,+1.56976450E+00,+2.93372050E-01,+4.51560500E-03
70,-2.22854100E-05,1558921708.1586668,+1.56976700E+00,+2.93374950E-01,+4.51580000E-03
71,-2.23635600E-05,1558921708.367,+1.56976320E+00,+2.93378390E-01,+4.51581300E-03
72,-2.23368400E-05,1558921708.5753334,+1.56976450E+00,+2.93379050E-01,+4.51555300E-03
73,-2.23141400E-05,1558921708.7836668,+1.56976700E+00,+2.93383140E-01,+4.51550100E-03
74,-2.22860900E-05,1558921708.992,+1.56976570E+00,+2.93386840E-01,+4.51542300E-03
75,-2.25859300E-05,1558921712.712,+1.56976320E+00,+3.05296160E-01,+4.51591700E-03
76,-2.26587400E-05,1558921712.9203331,+1.56976450E+00,+3.12444650E-01,+4.51577400E-03
77,-2.26326900E-05,1558921713.1286666,+1.56976700E+00,+3.12448350E-01,+4.51539700E-03
78,-2.26794400E-05,1558921713.337,+1.56976700E+00,+3.25314250E-01,+4.51583900E-03
79,-2.29405500E-05,1558921713.5453331,+1.56976570E+00,+3.32349290E-01,+4.51607300E-03
80,-2.27782800E-05,1558921713.7536666,+1.56976450E+00,+3.32351660E-01,+4.51581300E-03
81,-2.28897900E-05,1558921713.962,+1.56976450E+00,+3.46501950E-01,+4.51598200E-03
82,-2.28437200E-05,1558921714.1703331,+1.56976320E+00,+3.51666990E-01,+4.51547500E-03
83,-2.29505800E-05,1558921714.3786666,+1.56976700E+00,+3.51669500E-01,+4.51572200E-03
84,-2.30427300E-05,1558921714.587,+1.56976700E+00,+3.66032810E-01,+4.51568300E-03
85,-2.30373900E-05,1558921714.7953331,+1.56976200E+00,+3.70704070E-01,+4.51576100E-03
86,-2.30654300E-05,1558921715.0036666,+1.56976450E+00,+3.70703020E-01,+4.51583900E-03
87,-2.31215300E-05,1558921715.212,+1.56976700E+00,+3.86969990E-01,+4.51581300E-03
88,-2.32076800E-05,1558921715.4203331,+1.56976820E+00,+3.90035270E-01,+4.51620300E-03
89,-2.32591000E-05,1558921715.6286666,+1.56976700E+00,+3.90037510E-01,+4.51611200E-03
90,-2.34053700E-05,1558921715.837,+1.56976570E+00,+3.90040290E-01,+4.51591700E-03
91,-2.35903400E-05,1558921716.0453331,+1.56976570E+00,+3.90042000E-01,+4.51587800E-03
92,-2.33379100E-05,1558921716.2536666,+1.56976450E+00,+3.90044120E-01,+4.51594300E-03
93,-2.35148700E-05,1558921716.462,+1.56976570E+00,+3.90045960E-01,+4.51635900E-03
94,-2.34534300E-05,1558921716.6703331,+1.56976940E+00,+3.90048740E-01,+4.51607300E-03
95,-2.33072000E-05,1558921716.8786666,+1.56976570E+00,+3.90052300E-01,+4.51602100E-03
96,-2.33940100E-05,1558921717.087,+1.56976700E+00,+3.90042130E-01,+4.51604700E-03
97,-2.34253900E-05,1558921717.2953331,+1.56976570E+00,+3.90064980E-01,+4.51620300E-03
98,-2.32671200E-05,1558921717.5036666,+1.56976450E+00,+3.90055080E-01,+4.51620300E-03
99,-2.33546100E-05,1558921717.712,+1.56976450E+00,+3.90056000E-01,+4.51630700E-03
