,SQUID_Volt(V),timestamp,MOD_CURR(A)
91,-2.78424000E-05,1558932775.7063332,+3.90317500E-01
92,-2.75421000E-05,1558932775.9146667,+3.90319350E-01
93,-2.76155000E-05,1558932776.123,+3.90319620E-01
94,-2.76288000E-05,1558932776.3313332,+3.90322260E-01
95,-2.77689000E-05,1558932776.5396667,+3.90326480E-01
96,-2.77556000E-05,1558932776.748,+3.90326750E-01
97,-2.77624000E-05,1558932776.9563332,+3.90330710E-01
98,-2.76020000E-05,1558932777.1646667,+3.90335460E-01
99,-2.77022000E-05,1558932777.373,+3.90336790E-01
100,-2.80625000E-05,1558932780.894,+4.03234350E-01
101,-2.78623000E-05,1558932781.1023333,+4.10248560E-01
102,-2.78089000E-05,1558932781.3106668,+4.10253840E-01
103,-2.84096000E-05,1558932781.519,+4.23259860E-01
104,-2.83829000E-05,1558932781.7273333,+4.29576960E-01
105,-2.84229000E-05,1558932781.9356668,+4.29581050E-01
106,-2.77356000E-05,1558932782.144,+4.44073150E-01
107,-2.79425000E-05,1558932782.3523333,+4.48618380E-01
108,-2.81427000E-05,1558932782.5606668,+4.48621550E-01
109,-2.78623000E-05,1558932782.769,+4.64493820E-01
110,-2.77089000E-05,1558932782.9773333,+4.68832090E-01
111,-2.80892000E-05,1558932783.1856668,+4.68834870E-01
112,-2.84630000E-05,1558932783.394,+4.85421880E-01
113,-2.82694000E-05,1558932783.6023333,+4.87865060E-01
114,-2.88566000E-05,1558932783.8106668,+4.87872990E-01
115,-2.89901000E-05,1558932784.019,+4.87876020E-01
116,-2.81494000E-05,1558932784.2273333,+4.87875760E-01
117,-2.80359000E-05,1558932784.4356668,+4.87880910E-01
118,-2.78290000E-05,1558932784.644,+4.87882630E-01
119,-2.84429000E-05,1558932784.8523333,+4.87882630E-01
120,-2.82560000E-05,1558932785.0606668,+4.87886320E-01
121,-2.96041000E-05,1558932785.269,+4.87888440E-01
122,-2.86633000E-05,1558932785.4773333,+4.87890020E-01
123,-2.79893000E-05,1558932785.6856668,+4.87890550E-01
124,-2.78558000E-05,1558932785.894,+4.87892930E-01
125,-2.75555000E-05,1558932789.494,+5.07092980E-01
126,-2.81161000E-05,1558932789.7023332,+5.07064710E-01
127,-2.76556000E-05,1558932789.9106667,+5.07096150E-01
128,-2.80960000E-05,1558932790.119,+5.26965800E-01
129,-2.83896000E-05,1558932790.3273332,+5.27005020E-01
130,-2.85364000E-05,1558932790.5356667,+5.27035930E-01
131,-2.87700000E-05,1558932790.744,+5.46321050E-01
132,-2.81159000E-05,1558932790.9523332,+5.46344030E-01
133,-2.79359000E-05,1558932791.1606667,+5.46365950E-01
134,-2.80159000E-05,1558932791.369,+5.65649180E-01
135,-2.79225000E-05,1558932791.5773332,+5.65664770E-01
136,-2.75354000E-05,1558932791.7856667,+5.65676920E-01
137,-2.79958000E-05,1558932791.994,+5.85542340E-01
138,-2.68880000E-05,1558932792.2023332,+5.85565850E-01
139,-2.77622000E-05,1558932792.4106667,+5.85576420E-01
140,-2.77823000E-05,1558932792.619,+5.85582360E-01
141,-2.73285000E-05,1558932792.8273332,+5.85582890E-01
142,-2.75288000E-05,1558932793.0356667,+5.85597940E-01
143,-2.78691000E-05,1558932793.244,+5.85604280E-01
144,-2.75154000E-05,1558932793.4523332,+5.85613790E-01
145,-2.77090000E-05,1558932793.6606667,+5.85621720E-01
146,-2.77022000E-05,1558932793.869,+5.85640470E-01
147,-2.76222000E-05,1558932794.0773332,+5.85642590E-01
148,-2.77156000E-05,1558932794.2856667,+5.85646810E-01
149,-2.72285000E-05,1558932794.494,+5.85658430E-01
150,-2.71017000E-05,1558932798.223,+5.85661600E-01
151,-2.75955000E-05,1558932798.4313333,+6.04992020E-01
152,-2.78157000E-05,1558932798.6396668,+6.05001130E-01
153,-2.72818000E-05,1558932798.848,+6.05009050E-01
154,-2.75887000E-05,1558932799.0563333,+6.24314220E-01
155,-2.75019000E-05,1558932799.2646668,+6.24325180E-01
156,-2.78758000E-05,1558932799.473,+6.24335750E-01
157,-2.80759000E-05,1558932799.6813333,+6.44183890E-01
158,-2.72751000E-05,1558932799.8896668,+6.44190360E-01
159,-2.77223000E-05,1558932800.098,+6.45694120E-01
160,-2.75621000E-05,1558932800.3063333,+6.63472180E-01
161,-2.80225000E-05,1558932800.5146668,+6.63487900E-01
162,-2.82829000E-05,1558932800.723,+6.65389860E-01
163,-2.84029000E-05,1558932800.9313333,+6.82184380E-01
164,-2.91503000E-05,1558932801.1396668,+6.82192300E-01
165,-2.88300000E-05,1558932801.348,+6.82201680E-01
166,-2.95307000E-05,1558932801.5563333,+6.82208020E-01
167,-2.87766000E-05,1558932801.7646668,+6.82218060E-01
168,-2.94640000E-05,1558932801.973,+6.82230470E-01
169,-3.02516000E-05,1558932802.1813333,+6.82239060E-01
170,-2.90169000E-05,1558932802.3896668,+6.82246060E-01
171,-2.85096000E-05,1558932802.598,+6.82259530E-01
