,SQUID_Volt(V),timestamp,Temp(V)
91,+2.11433000E-06,1558936089.7803333,+1.54711210E+00
92,+2.09630000E-06,1558936089.9886668,+1.54692990E+00
93,+2.10232000E-06,1558936090.197,+1.54679230E+00
94,+2.17311000E-06,1558936090.4053333,+1.54662500E+00
95,+2.16308000E-06,1558936090.6136668,+1.54648620E+00
96,+2.20784000E-06,1558936090.822,+1.54632880E+00
97,+2.22853000E-06,1558936091.0303333,+1.54617010E+00
98,+2.25659000E-06,1558936091.2386668,+1.54596930E+00
99,+2.22119000E-06,1558936091.447,+1.54559120E+00
100,+1.68626000E-06,1558936095.046,+1.54474460E+00
101,+1.75772000E-06,1558936095.2543333,+1.54418560E+00
102,+1.70162000E-06,1558936095.4626667,+1.54378530E+00
103,+1.76974000E-06,1558936095.671,+1.54350020E+00
104,+1.69561000E-06,1558936095.8793333,+1.54330310E+00
105,+2.25525000E-06,1558936096.0876667,+1.54310850E+00
106,+2.29732000E-06,1558936096.296,+1.54292130E+00
107,+2.31535000E-06,1558936096.5043333,+1.54281590E+00
108,+2.38080000E-06,1558936096.7126667,+1.54277010E+00
109,+2.25859000E-06,1558936096.921,+1.54281720E+00
110,+2.30801000E-06,1558936097.1293333,+1.54295350E+00
111,+2.20716000E-06,1558936097.3376667,+1.54303910E+00
112,+2.25925000E-06,1558936097.546,+1.54304900E+00
113,+2.30533000E-06,1558936097.7543333,+1.54301920E+00
114,+2.30867000E-06,1558936097.9626667,+1.54295730E+00
115,+2.35809000E-06,1558936098.171,+1.54293250E+00
116,+2.29866000E-06,1558936098.3793333,+1.54301670E+00
117,+2.35943000E-06,1558936098.5876667,+1.54304770E+00
118,+2.37612000E-06,1558936098.796,+1.54311340E+00
119,+2.29732000E-06,1558936099.0043333,+1.54316920E+00
120,+2.37078000E-06,1558936099.2126667,+1.54327460E+00
121,+2.42822000E-06,1558936099.421,+1.54323860E+00
122,+2.42754000E-06,1558936099.6293333,+1.54321760E+00
123,+2.40618000E-06,1558936099.8376667,+1.54320760E+00
124,+2.40952000E-06,1558936100.046,+1.54324850E+00
125,+2.45893000E-06,1558936103.647,+1.54333030E+00
126,+2.43289000E-06,1558936103.8553333,+1.54334400E+00
127,+2.47362000E-06,1558936104.0636668,+1.54334770E+00
128,+2.41686000E-06,1558936104.272,+1.54331300E+00
129,+2.52972000E-06,1558936104.4803333,+1.54329190E+00
130,+2.43556000E-06,1558936104.6886668,+1.54326470E+00
131,+2.49567000E-06,1558936104.897,+1.54322000E+00
132,+2.70135000E-06,1558936105.1053333,+1.54318160E+00
133,+2.41219000E-06,1558936105.3136668,+1.54313080E+00
134,+2.40083000E-06,1558936105.522,+1.54308000E+00
135,+2.37145000E-06,1558936105.7303333,+1.54307250E+00
136,+2.74209000E-06,1558936105.9386668,+1.54306390E+00
137,+2.68132000E-06,1558936106.147,+1.54305020E+00
138,+2.31936000E-06,1558936106.3553333,+1.54300810E+00
139,+2.65193000E-06,1558936106.5636668,+1.54294240E+00
140,+2.72540000E-06,1558936106.772,+1.54290640E+00
141,+2.65260000E-06,1558936106.9803333,+1.54291010E+00
142,+2.65661000E-06,1558936107.1886668,+1.54294360E+00
143,+2.75011000E-06,1558936107.397,+1.54299440E+00
144,+2.63056000E-06,1558936107.6053333,+1.54304650E+00
