Counter,Time(s),Magnet Current(A)
0,0.074000120163,0.002
1,0.194999933243,0.003
2,0.316999912262,0.001
3,0.424000024796,0.002
4,0.542999982834,0.002
5,0.664999961853,0.002
6,0.786999940872,0.003
7,0.894000053406,0.005
8,1.01300001144,0.008
9,1.13400006294,0.009
10,1.28399991989,0.01
11,1.40600013733,0.012
12,1.51300001144,0.015
13,1.63199996948,0.018
14,1.75300002098,0.021
15,1.87400007248,0.026
16,1.98099994659,0.029
17,2.10199999809,0.033
18,2.22399997711,0.038
19,2.34599995613,0.042
20,2.45300006866,0.047
21,2.5720000267,0.05
22,2.6930000782,0.057
23,2.81500005722,0.061
24,2.92199993134,0.068
25,3.09200000763,0.072
26,3.21399998665,0.078
27,3.33599996567,0.083
28,3.4430000782,0.089
29,3.56299996376,0.093
30,3.68499994278,0.097
31,3.8069999218,0.104
