Counter,Time(s),
0,0.0169999599457,IOUT   0.00
1,0.108999967575,IOUT   0.00
2,0.18799996376,IOUT   0.00
3,0.266999959946,IOUT   0.00
4,0.355000019073,IOUT   0.00
5,0.433000087738,IOUT   0.00
6,0.512000083923,IOUT   0.00
7,0.591000080109,IOUT   0.00
8,0.668999910355,IOUT   0.00
9,0.759999990463,IOUT   0.00
10,0.838999986649,IOUT   0.00
11,0.917000055313,IOUT   0.00
12,0.996000051498,IOUT   0.00
13,1.07500004768,IOUT   0.00
14,1.16100001335,IOUT   0.00
15,1.24099993706,IOUT   0.00
16,1.31900000572,IOUT   0.00
17,1.39899992943,IOUT   0.00
18,1.47799992561,IOUT   0.00
19,1.56599998474,IOUT   0.00
20,1.64499998093,IOUT   0.00
21,1.72399997711,IOUT   0.00
22,1.80200004578,IOUT   0.00
23,1.88199996948,IOUT   0.00
24,1.96900010109,IOUT   0.00
25,2.04699993134,IOUT   0.00
26,2.12599992752,IOUT   0.00
27,2.20499992371,IOUT   0.00
28,2.28299999237,IOUT   0.00
29,2.37000012398,IOUT   0.00
30,2.44900012016,IOUT   0.00
31,2.52800011635,IOUT   0.00
32,2.60800004005,IOUT   0.00
33,2.68700003624,IOUT   0.00
34,2.77200007439,IOUT   0.00
35,2.85100007057,IOUT   0.00
36,2.93000006676,IOUT   0.00
37,3.00999999046,IOUT   0.00
38,3.08800005913,IOUT   0.00
39,3.17600011826,IOUT   0.00
40,3.2539999485,IOUT   0.00
41,3.33400011063,IOUT   0.00
42,3.41199994087,IOUT   0.00
43,3.49099993706,IOUT   0.00
44,3.57800006866,IOUT   0.00
45,3.65700006485,IOUT   0.00
46,3.73500013351,IOUT   0.00
47,3.81500005722,IOUT   0.00
48,3.89499998093,IOUT   0.00
49,3.98099994659,IOUT   0.00
50,4.05900001526,IOUT   0.00
51,4.13800001144,IOUT   0.00
52,4.21700000763,IOUT   0.00
53,4.29600000381,IOUT   0.00
54,4.382999897,IOUT   0.00
55,4.46200013161,IOUT   0.00
56,4.54200005531,IOUT   0.00
57,4.62000012398,IOUT   0.00
58,4.69900012016,IOUT   0.00
59,4.78600001335,IOUT   0.00
60,4.86599993706,IOUT   0.00
61,4.94600009918,IOUT   0.00
62,5.02399992943,IOUT   0.00
