Counter,Time(s),
0,0.0139999389648,0.0
1,0.101999998093,0.0
2,0.179000139236,0.0
3,0.256000041962,0.0
4,0.332999944687,0.0
5,0.410000085831,0.0
6,0.486999988556,0.0
7,0.575000047684,0.0
8,0.653000116348,0.0
9,0.730000019073,0.0
10,0.808000087738,0.0
11,0.884999990463,0.0
12,0.976999998093,0.0
13,1.0529999733,0.0
14,1.13199996948,0.0
15,1.20799994469,0.0
16,1.28600001335,0.0
17,1.37800002098,0.0
18,1.45500016212,0.0
19,1.53200006485,0.0
20,1.60899996758,0.0
21,1.68600010872,0.0
22,1.77800011635,0.0
23,1.85599994659,0.0
24,1.93400001526,0.0
25,2.00999999046,0.0
26,2.08700013161,0.0
27,2.16400003433,0.0
28,2.25600004196,0.0
29,2.33299994469,0.0
30,2.41000008583,0.0
31,2.48699998856,0.0
32,2.5640001297,0.0
33,2.64100003242,0.0
34,2.71800017357,0.0
35,2.79999995232,0.0
36,2.87800002098,0.0
37,2.95600008965,0.0
38,3.03299999237,0.0
39,3.11000013351,0.0
40,3.20200014114,0.0
41,3.28100013733,0.0
42,3.35700011253,0.0
43,3.43499994278,0.0
44,3.51200008392,0.0
45,3.60400009155,0.0
46,3.68099999428,0.0
47,3.75699996948,0.0
48,3.83599996567,0.0
49,3.91199994087,0.0
50,4.0039999485,0.0
51,4.08200001717,0.0
52,4.15799999237,0.0
53,4.23600006104,0.0
54,4.31200003624,0.0
55,4.38899993896,0.0
56,4.48099994659,0.0
57,4.55800008774,0.0
58,4.6360001564,0.0
59,4.71399998665,0.0
60,4.79100012779,0.0
61,4.86800003052,0.0
62,4.94500017166,0.0
63,5.02699995041,0.0
