Counter,Time(s),SQUID Voltage(uV),
0,0.0
1,3.17700004578
2,4.62600016594
3,6.12600016594
4,7.62600016594
5,9.12600016594
6,10.625
7,12.1260001659
8,13.625
9,15.1260001659
10,16.6260001659
11,19.7580001354
12,22.7610001564
13,24.1980001926
14,25.620000124
15,27.8000001907
16,29.8059999943
17,32.0280001163
18,34.3470001221
19,36.9260001183
20,38.3550000191
21,39.7820000648
22,41.2110002041
23,42.6400001049
24,44.0680000782
25,45.4960000515
26,47.1470000744
27,48.8140001297
28,50.4560000896
29,52.5690000057
30,54.5690000057
