Counter,Time(s),Magnet Current(A)
0,0.135999917984,3.255
1,0.266999959946,3.249
2,0.388999938965,3.244
3,0.509999990463,3.241
4,0.616999864578,3.237
5,0.736000061035,3.235
6,0.856999874115,3.236
7,0.977999925613,3.234
8,1.12999987602,3.232
9,1.25199985504,3.231
10,1.35899996758,3.229
11,1.47899985313,3.228
12,1.60099983215,3.224
13,1.72300004959,3.223
14,1.82999992371,3.219
15,1.94899988174,3.216
16,2.06999993324,3.21
17,2.19099998474,3.198
18,2.29799985886,3.187
19,2.44799995422,3.185
20,2.56699991226,3.184
21,2.68899989128,3.182
22,2.8109998703,3.177
23,2.91799998283,3.172
24,3.03799986839,3.169
25,3.15999984741,3.165
26,3.28200006485,3.158
27,3.40400004387,3.155
28,3.51099991798,3.151
29,3.63100004196,3.145
30,3.75300002098,3.138
31,3.87399983406,3.136
32,3.98099994659,3.126
33,4.10099983215,3.121
34,4.27199983597,3.119
35,4.3789999485,3.116
36,4.49699997902,3.112
37,4.61800003052,3.106
