Counter,Time(s),
0,0.0179998874664,   0.00
1,0.105999946594,   0.00
2,0.194999933243,   0.00
3,0.273000001907,   0.00
4,0.349999904633,   0.00
5,0.427000045776,   0.00
6,0.503999948502,   0.00
7,0.593999862671,   0.00
8,0.671999931335,   0.00
9,0.749000072479,   0.00
10,0.825999975204,   0.00
11,0.90299987793,   0.00
12,0.980000019073,   0.00
13,1.0569999218,   0.00
14,1.13400006294,   0.00
15,1.21300005913,   0.00
16,1.28999996185,   0.00
17,1.36699986458,   0.00
18,1.44499993324,   0.00
19,1.52200007439,   0.00
20,1.61199998856,   0.00
21,1.68899989128,   0.00
22,1.76600003242,   0.00
23,1.84200000763,   0.00
24,1.91899991035,   0.00
25,1.99499988556,   0.00
26,2.07299995422,   0.00
27,2.14999985695,   0.00
28,2.22899985313,   0.00
29,2.30599999428,   0.00
30,2.382999897,   0.00
31,2.46099996567,   0.00
32,2.53900003433,   0.00
33,2.6289999485,   0.00
34,2.70700001717,   0.00
35,2.78399991989,   0.00
36,2.86100006104,   0.00
37,2.93799996376,   0.00
38,3.02699995041,   0.00
39,3.10399985313,   0.00
40,3.18099999428,   0.00
41,3.257999897,   0.00
42,3.33500003815,   0.00
43,3.41100001335,   0.00
44,3.48900008202,   0.00
45,3.56599998474,   0.00
46,3.64499998093,   0.00
47,3.72099995613,   0.00
48,3.7990000248,   0.00
49,3.87599992752,   0.00
50,3.95499992371,   0.00
51,4.04399991035,   0.00
52,4.1210000515,   0.00
53,4.1970000267,   0.00
54,4.27499985695,   0.00
55,4.35100007057,   0.00
56,4.44099998474,   0.00
57,4.51900005341,   0.00
58,4.59599995613,   0.00
59,4.67299985886,   0.00
60,4.75,   0.00
61,4.82699990273,   0.00
62,4.91599988937,   0.00
63,4.99300003052,   0.00
64,5.07099986076,   0.00
