Counter,Time(s),Magnet Current(A)
0,0.0610001087189,0.002
1,0.169000148773,0.001
2,0.289000034332,0.001
3,0.410000085831,0.001
4,0.531000137329,0.002
5,0.638000011444,0.003
6,0.759000062943,0.004
7,0.905000209808,0.004
8,1.02600002289,0.008
9,1.13300013542,0.008
10,1.25400018692,0.01
11,1.37600016594,0.012
12,1.49800014496,0.015
13,1.60500001907,0.017
14,1.72400021553,0.019
15,1.84600019455,0.025
16,1.96700000763,0.029
17,2.07400012016,0.033
18,2.19400000572,0.037
19,2.31600022316,0.042
20,2.43700003624,0.046
21,2.54300022125,0.051
22,2.66500020027,0.055
23,2.78700017929,0.06
24,2.90799999237,0.066
25,3.0150001049,0.072
26,3.13400006294,0.076
27,3.25600004196,0.079
28,3.37800002098,0.086
29,3.48500013351,0.09
30,3.60500001907,0.093
31,3.72600007057,0.1
32,3.84800004959,0.104
33,3.95500016212,0.111
34,4.10400009155,0.115
35,4.22400021553,0.119
36,4.34600019455,0.125
37,4.46800017357,0.131
38,4.57500004768,0.136
39,4.69400000572,0.14
40,4.81600022316,0.146
41,4.93700003624,0.15
42,5.04500007629,0.156
43,5.16500020027,0.161
44,5.28700017929,0.165
45,5.40900015831,0.17
46,5.53100013733,0.175
47,5.63800001144,0.18
48,5.75800013542,0.184
49,5.88000011444,0.19
50,6.00200009346,0.194
51,6.10900020599,0.2
52,6.22900009155,0.204
53,6.35100007057,0.209
54,6.47200012207,0.213
55,6.57899999619,0.219
56,6.69900012016,0.225
57,6.84800004959,0.231
58,6.97000002861,0.234
59,7.09200000763,0.239
60,7.21400022507,0.244
61,7.32100009918,0.249
62,7.44100022316,0.253
63,7.56300020218,0.259
64,7.6850001812,0.264
65,7.79200005531,0.269
66,7.91100001335,0.273
67,8.03299999237,0.278
68,8.15500020981,0.283
69,8.26200008392,0.289
70,8.38300013542,0.293
71,8.50500011444,0.299
72,8.65500020981,0.303
73,8.77600002289,0.31
74,8.89700007439,0.315
75,9.00400018692,0.319
76,9.12400007248,0.323
77,9.2460000515,0.33
78,9.36800003052,0.334
79,9.47600007057,0.339
80,9.59400010109,0.343
81,9.71600008011,0.348
82,9.83800005913,0.353
83,9.94600009918,0.36
84,10.0650000572,0.364
85,10.1870000362,0.367
86,10.3090000153,0.373
87,10.4309999943,0.378
88,10.5380001068,0.383
89,10.6590001583,0.387
90,10.7810001373,0.392
91,10.9020001888,0.396
92,11.0090000629,0.404
93,11.1290001869,0.408
94,11.2510001659,0.412
95,11.373000145,0.417
96,11.4800000191,0.423
97,11.6000001431,0.427
98,11.7220001221,0.434
99,11.8740000725,0.44
100,11.995000124,0.444
101,12.117000103,0.449
102,12.2380001545,0.454
103,12.3450000286,0.459
104,12.4660000801,0.463
105,12.5880000591,0.467
106,12.7100000381,0.473
107,12.8170001507,0.477
108,12.9360001087,0.481
109,13.0580000877,0.487
110,13.1809999943,0.491
111,13.2880001068,0.496
112,13.4070000648,0.501
113,13.5280001163,0.507
