Counter,Time(s),Magnet Current(A)
0,0.0839998722076,0.002
1,0.207000017166,0.002
2,0.328999996185,0.002
3,0.4359998703,0.002
4,0.556999921799,0.003
5,0.677999973297,0.002
6,0.799999952316,0.005
7,0.906999826431,0.005
8,1.02699995041,0.007
9,1.14899992943,0.009
10,1.27099990845,0.011
11,1.37800002098,0.012
12,1.49699997902,0.015
13,1.61800003052,0.018
14,1.7389998436,0.021
15,1.84599995613,0.025
16,1.96700000763,0.027
17,2.08899998665,0.031
18,2.21099996567,0.035
19,2.31900000572,0.042
20,2.43799996376,0.046
21,2.55999994278,0.05
22,2.68099999428,0.055
23,2.78900003433,0.061
24,2.90799999237,0.065
25,3.02899980545,0.069
26,3.15100002289,0.078
27,3.30599999428,0.082
28,3.4279999733,0.085
29,3.5490000248,0.091
30,3.67100000381,0.096
31,3.77899980545,0.101
32,3.89800000191,0.105
33,4.01999998093,0.111
34,4.14100003242,0.115
35,4.24799990654,0.121
36,4.36800003052,0.125
37,4.49000000954,0.131
38,4.61199998856,0.134
39,4.71899986267,0.14
40,4.83799982071,0.144
41,4.96000003815,0.151
42,5.13099980354,0.157
43,5.23799991608,0.162
44,5.35899996758,0.166
45,5.48099994659,0.171
46,5.60299992561,0.177
47,5.72499990463,0.181
48,5.83200001717,0.188
49,5.95299983025,0.191
50,6.07399988174,0.196
51,6.19599986076,0.2
52,6.30199980736,0.206
53,6.4240000248,0.21
54,6.54600000381,0.214
55,6.66699981689,0.221
56,6.77399992943,0.226
57,6.89299988747,0.231
58,7.01399993896,0.234
59,7.11999988556,0.24
60,7.24000000954,0.245
61,7.36199998856,0.249
62,7.48399996758,0.255
63,7.59099984169,0.259
64,7.71000003815,0.264
65,7.83099985123,0.268
66,7.95299983025,0.275
67,8.05999994278,0.279
68,8.17999982834,0.285
69,8.34899997711,0.291
70,8.45599985123,0.296
71,8.57699990273,0.301
72,8.69899988174,0.304
73,8.82099986076,0.31
74,8.94299983978,0.314
75,9.04999995232,0.32
76,9.16999983788,0.324
77,9.29199981689,0.329
78,9.41299986839,0.334
79,9.51999998093,0.341
80,9.64100003242,0.344
81,9.76300001144,0.348
82,9.88499999046,0.354
83,10.0069999695,0.359
84,10.1139998436,0.364
85,10.2339999676,0.367
86,10.3559999466,0.374
87,10.4779999256,0.38
88,10.6069998741,0.384
89,10.7279999256,0.388
90,10.8499999046,0.394
91,10.9719998837,0.399
92,11.0789999962,0.403
93,11.1989998817,0.407
94,11.3209998608,0.414
95,11.4429998398,0.418
96,11.5499999523,0.424
97,11.6699998379,0.428
98,11.7919998169,0.433
99,11.9129998684,0.437
100,12.0199999809,0.444
101,12.1410000324,0.449
102,12.2630000114,0.452
103,12.3839998245,0.458
104,12.4909999371,0.462
105,12.6099998951,0.467
106,12.7319998741,0.471
107,12.8539998531,0.478
108,12.9609999657,0.482
109,13.0799999237,0.486
110,13.2019999027,0.493
111,13.3239998817,0.498
112,13.4309999943,0.501
113,13.5509998798,0.504
114,13.6729998589,0.511
115,13.7949998379,0.516
116,13.9169998169,0.522
117,14.0239999294,0.526
118,14.1449999809,0.532
119,14.2919998169,0.536
120,14.4129998684,0.541
121,14.5199999809,0.547
122,14.6399998665,0.551
123,14.7619998455,0.555
124,14.882999897,0.561
125,14.9900000095,0.567
126,15.1099998951,0.57
127,15.2319998741,0.575
128,15.3539998531,0.58
129,15.4609999657,0.584
130,15.5809998512,0.59
131,15.7019999027,0.595
132,15.8239998817,0.599
133,15.9309999943,0.604
134,16.0509998798,0.607
135,16.1729998589,0.615
136,16.2949998379,0.619
137,16.4169998169,0.625
138,16.5249998569,0.63
139,16.6449999809,0.634
140,16.7660000324,0.638
141,16.8880000114,0.647
142,17.0409998894,0.651
143,17.1619999409,0.655
144,17.2839999199,0.661
145,17.3910000324,0.666
146,17.5099999905,0.67
147,17.6309998035,0.674
148,17.753000021,0.68
149,17.8599998951,0.684
150,17.9819998741,0.69
151,18.1039998531,0.693
152,18.2259998322,0.699
153,18.3479998112,0.703
154,18.4549999237,0.709
155,18.5749998093,0.713
156,18.6970000267,0.718
157,18.8190000057,0.723
158,18.9409999847,0.729
159,19.0479998589,0.734
160,19.1689999104,0.739
161,19.3389999866,0.745
162,19.4459998608,0.749
163,19.5649998188,0.753
164,19.6870000362,0.76
165,19.8090000153,0.764
166,19.9309999943,0.769
167,20.0379998684,0.775
168,20.1589999199,0.781
169,20.2809998989,0.784
170,20.4029998779,0.789
171,20.5099999905,0.794
172,20.6289999485,0.799
173,20.7509999275,0.803
174,20.8729999065,0.809
175,20.9800000191,0.813
176,21.0989999771,0.817
177,21.2209999561,0.823
178,21.3429999352,0.828
179,21.4499998093,0.835
180,21.5959999561,0.839
181,21.7170000076,0.843
182,21.8389999866,0.849
183,21.9600000381,0.853
184,22.0669999123,0.86
185,22.1889998913,0.863
186,22.3109998703,0.868
187,22.4319999218,0.873
188,22.5399999619,0.879
189,22.6599998474,0.884
190,22.7819998264,0.887
191,22.9039998055,0.893
192,23.0260000229,0.897
193,23.132999897,0.903
194,23.2539999485,0.907
195,23.3759999275,0.912
196,23.4979999065,0.916
197,23.6199998856,0.923
198,23.7269999981,0.927
199,23.8479998112,0.931
200,23.9689998627,0.937
201,24.0909998417,0.941
202,24.1979999542,0.946
203,24.3179998398,0.95
204,24.4399998188,0.956
205,24.5620000362,0.96
206,24.6689999104,0.968
207,24.8359999657,0.973
208,24.9579999447,0.978
209,25.0649998188,0.982
210,25.1840000153,0.986
211,25.3059999943,0.992
212,25.4279999733,0.996
213,25.5349998474,1.003
214,25.7009999752,1.008
215,25.8229999542,1.013
216,25.9299998283,1.018
217,26.0499999523,1.022
218,26.1719999313,1.029
219,26.2929999828,1.033
220,26.3999998569,1.038
221,26.5199999809,1.042
222,26.6419999599,1.048
223,26.7630000114,1.053
224,26.8699998856,1.058
225,27.0160000324,1.062
226,27.1369998455,1.068
227,27.2589998245,1.072
228,27.3659999371,1.078
229,27.4859998226,1.082
230,27.6080000401,1.087
231,27.7289998531,1.091
232,27.8359999657,1.098
233,27.9559998512,1.101
234,28.0769999027,1.106
235,28.1989998817,1.113
236,28.3059999943,1.118
237,28.4259998798,1.121
238,28.5469999313,1.126
239,28.6689999104,1.132
240,28.7760000229,1.135
241,28.8959999084,1.14
242,29.0169999599,1.145
243,29.1239998341,1.151
244,29.2430000305,1.156
245,29.3650000095,1.16
246,29.4869999886,1.167
247,29.5939998627,1.17
248,29.7129998207,1.174
249,29.8339998722,1.18
