,MAG_CURR(A),timestamp
0,0.0,1559714274.071
1,0.0,1559714274.19
2,0.001,1559714274.31
3,0.01,1559714274.417
4,0.025,1559714274.537
5,0.042,1559714274.658
6,0.067,1559714274.779
7,0.107,1559714274.933
8,0.131,1559714275.054
9,0.157,1559714275.175
10,0.186,1559714275.282
11,0.213,1559714275.403
12,0.235,1559714275.523
13,0.259,1559714275.63
14,0.284,1559714275.749
15,0.305,1559714275.87
16,0.328,1559714275.977
17,0.353,1559714276.096
18,0.374,1559714276.217
19,0.398,1559714276.338
20,0.422,1559714276.445
21,0.447,1559714276.566
22,0.466,1559714276.687
23,0.491,1559714276.808
24,0.516,1559714276.915
25,0.54,1559714277.036
26,0.571,1559714277.184
27,0.592,1559714277.305
28,0.615,1559714277.412
29,0.64,1559714277.531
30,0.66,1559714277.652
31,0.684,1559714277.759
32,0.709,1559714277.877
33,0.729,1559714277.999
34,0.754,1559714278.119
35,0.778,1559714278.226
36,0.799,1559714278.345
37,0.799,1559714280.992
38,0.8,1559714281.099
39,0.799,1559714281.199
40,0.795,1559714281.319
41,0.788,1559714281.414
42,0.771,1559714281.515
43,0.754,1559714281.615
44,0.734,1559714281.714
45,0.712,1559714281.813
46,0.687,1559714281.912
47,0.663,1559714282.011
48,0.641,1559714282.11
49,0.615,1559714282.234
50,0.597,1559714282.308
51,0.576,1559714282.407
52,0.555,1559714282.507
53,0.535,1559714282.607
54,0.515,1559714282.708
55,0.496,1559714282.822
56,0.475,1559714282.923
57,0.45,1559714283.025
58,0.427,1559714283.149
59,0.412,1559714283.223
60,0.392,1559714283.322
61,0.371,1559714283.422
62,0.353,1559714283.52
63,0.334,1559714283.62
64,0.313,1559714283.718
65,0.294,1559714283.817
66,0.275,1559714283.917
67,0.246,1559714284.066
68,0.236,1559714284.116
69,0.215,1559714284.216
70,0.194,1559714284.317
71,0.174,1559714284.432
72,0.156,1559714284.532
73,0.136,1559714284.633
74,0.111,1559714284.733
75,0.091,1559714284.832
76,0.065,1559714284.958
77,0.05,1559714285.028
78,0.031,1559714285.127
79,0.014,1559714285.227
80,-0.002,1559714285.347
