,MAG_CURR(A),timestamp
0,0.0,1559713900.306
1,0.0,1559713900.427
2,0.002,1559713900.555
3,0.007,1559713900.676
4,0.02,1559713900.797
5,0.042,1559713900.904
6,0.067,1559713901.025
7,0.089,1559713901.147
8,0.117,1559713901.253
9,0.147,1559713901.371
10,0.17,1559713901.492
11,0.196,1559713901.598
12,0.225,1559713901.718
13,0.255,1559713901.867
14,0.275,1559713901.988
15,0.3,1559713902.109
16,0.324,1559713902.215
17,0.349,1559713902.336
18,0.369,1559713902.457
19,0.393,1559713902.564
20,0.417,1559713902.683
21,0.436,1559713902.804
22,0.461,1559713902.911
23,0.486,1559713903.031
24,0.507,1559713903.152
25,0.532,1559713903.273
26,0.555,1559713903.38
27,0.58,1559713903.499
28,0.599,1559713903.644
29,0.6,1559713906.301
30,0.601,1559713906.422
31,0.6,1559713906.52
32,0.596,1559713906.619
33,0.588,1559713906.718
34,0.576,1559713906.818
35,0.548,1559713906.967
36,0.538,1559713907.015
37,0.516,1559713907.115
38,0.493,1559713907.214
39,0.47,1559713907.313
40,0.446,1559713907.433
41,0.424,1559713907.514
42,0.402,1559713907.614
43,0.381,1559713907.729
44,0.36,1559713907.83
45,0.34,1559713907.93
46,0.315,1559713908.03
47,0.296,1559713908.129
48,0.275,1559713908.229
49,0.256,1559713908.33
50,0.236,1559713908.426
51,0.216,1559713908.525
52,0.196,1559713908.624
53,0.178,1559713908.723
54,0.159,1559713908.822
55,0.139,1559713908.922
56,0.119,1559713909.022
57,0.1,1559713909.123
58,0.073,1559713909.244
59,0.059,1559713909.336
60,0.039,1559713909.437
61,0.016,1559713909.537
62,-0.004,1559713909.665
