,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
104,+3.08556300E-05,1559381083.8003333,+1.57100150E+00,,3.0277506024096386e-05,4.865730049261084e-05
105,+3.10212500E-05,1559381084.0086668,+1.57100030E+00,,3.0277491785323112e-05,4.865832512315271e-05
106,+3.09618200E-05,1559381084.217,+1.57100150E+00,,3.0277564074479737e-05,4.865653201970444e-05
107,+3.09892100E-05,1559381084.4253333,+1.57100030E+00,,3.0277476451259585e-05,4.865999014778325e-05
108,+3.09678300E-05,1559381084.6336668,+1.57099410E+00,,3.0277679079956186e-05,4.865922167487685e-05
109,+3.11675000E-05,1559381084.842,+1.57099410E+00,,3.0277418400876233e-05,4.8658453201970446e-05
110,+3.10693300E-05,1559381085.0503333,+1.57100150E+00,,3.0277881708652793e-05,4.865819704433498e-05
111,+3.10212500E-05,1559381085.2586668,+1.57100150E+00,,3.0277506024096386e-05,4.8660758620689655e-05
112,+3.10259200E-05,1559381085.467,+1.57100400E+00,,3.027779518072289e-05,4.8655635467980294e-05
113,+3.10900400E-05,1559381085.6753333,+1.57100280E+00,,3.0278243154435924e-05,4.865909359605911e-05
114,+3.09878700E-05,1559381085.8836668,+1.57100400E+00,,3.0278112814895948e-05,4.866050246305419e-05
115,+3.10219200E-05,1559381086.092,+1.57100280E+00,,3.02781708652793e-05,4.865768472906404e-05
116,+3.10025600E-05,1559381086.3003333,+1.57100280E+00,,3.0278185104052573e-05,4.8663064039408865e-05
117,+3.11187600E-05,1559381086.5086668,+1.57100650E+00,,3.0278257393209198e-05,4.8657428571428575e-05
118,+3.10760200E-05,1559381086.717,+1.57100770E+00,,3.0278200438116097e-05,4.866011822660098e-05
119,+3.09865200E-05,1559381086.9253333,+1.57100900E+00,,3.027822891566265e-05,4.8658965517241374e-05
120,+3.09324300E-05,1559381087.1336668,+1.57101020E+00,,3.027765060240964e-05,4.866024630541872e-05
121,+3.11721800E-05,1559381087.342,+1.57101390E+00,,3.027786746987952e-05,4.8656403940886704e-05
122,+3.09718400E-05,1559381087.5503333,+1.57102140E+00,,3.0277911281489594e-05,4.8656403940886704e-05
123,+3.09491300E-05,1559381087.7586668,+1.57101520E+00,,3.0277911281489594e-05,4.8663064039408865e-05
124,+3.09598200E-05,1559381087.967,+1.57101890E+00,,3.0278156626506026e-05,4.865883743842365e-05
125,+3.09705000E-05,1559381091.567,+1.57100900E+00,,3.0278359255202627e-05,4.8658453201970446e-05
126,+3.09337600E-05,1559381091.7753332,+1.57100400E+00,,3.027776560788609e-05,4.8658709359605913e-05
127,+3.08556300E-05,1559381091.9836667,+1.57100150E+00,,3.0277679079956186e-05,4.865717241379311e-05
128,+3.08329200E-05,1559381092.192,+1.57100400E+00,,3.027779518072289e-05,4.8660758620689655e-05
129,+3.09932100E-05,1559381092.4003332,+1.57100400E+00,,3.027738992332968e-05,4.8660758620689655e-05
130,+3.08689800E-05,1559381092.6086667,+1.57100770E+00,,3.027770865279299e-05,4.8654354679802955e-05
131,+3.09204100E-05,1559381092.817,+1.57101520E+00,,3.0277679079956186e-05,4.866332019704434e-05
132,+3.08976900E-05,1559381093.0253332,+1.57101020E+00,,3.0277636363636365e-05,4.866332019704434e-05
133,+3.10412900E-05,1559381093.2336667,+1.57100900E+00,,3.027779518072289e-05,4.866485714285714e-05
134,+3.08937000E-05,1559381093.442,+1.57100900E+00,,3.0277881708652793e-05,4.865947783251232e-05
135,+3.08249200E-05,1559381093.6503332,+1.57100770E+00,,3.027776560788609e-05,4.865986206896552e-05
136,+3.08603100E-05,1559381093.8586667,+1.57101270E+00,,3.0277881708652793e-05,4.865768472906404e-05
137,+3.09865200E-05,1559381094.067,+1.57101270E+00,,3.0277911281489594e-05,4.865768472906404e-05
138,+3.08783400E-05,1559381094.2753332,+1.57101390E+00,,3.0278142387732746e-05,4.8657940886699503e-05
139,+3.08022000E-05,1559381094.4836667,+1.57101390E+00,,3.0277911281489594e-05,4.865768472906404e-05
140,+3.07835100E-05,1559381094.692,+1.57101020E+00,,3.027822891566265e-05,4.8658965517241374e-05
141,+3.09431200E-05,1559381094.9003332,+1.57101020E+00,,3.0278257393209198e-05,4.865806896551724e-05
142,+3.08522900E-05,1559381095.1086667,+1.57100650E+00,,3.0278200438116097e-05,4.8658965517241374e-05
143,+3.08108900E-05,1559381095.317,+1.57101140E+00,,3.0278345016429353e-05,4.865717241379311e-05
144,+3.07708100E-05,1559381095.5253332,+1.57100900E+00,,3.0278301204819276e-05,4.865909359605911e-05
145,+3.09558000E-05,1559381095.7336667,+1.57101020E+00,,3.0278257393209198e-05,4.865832512315271e-05
146,+3.09097200E-05,1559381095.942,+1.57100400E+00,,3.0277997809419496e-05,4.8658709359605913e-05
147,+3.08309100E-05,1559381096.1503332,+1.57100770E+00,,3.0277939759036145e-05,4.8656660098522165e-05
148,+3.09337700E-05,1559381096.3586667,+1.57100030E+00,,3.027822891566265e-05,4.8658709359605913e-05
149,+3.10479700E-05,1559381096.567,+1.57100030E+00,,3.02781708652793e-05,4.866575369458128e-05
150,+3.10399600E-05,1559381100.167,+1.57099780E+00,,3.0278112814895948e-05,4.865922167487685e-05
