,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
55,+3.32037100E-05,1559368402.3666668,2.5645209200438117e-05,4.829309359605912e-05
56,+3.34681700E-05,1559368402.575,2.7862361445783133e-05,4.829744827586207e-05
57,+3.32858600E-05,1559368402.7833333,2.785767469879518e-05,4.8293862068965515e-05
58,+3.49627700E-05,1559368402.9916668,2.785860021905805e-05,4.829578325123152e-05
59,+3.38094300E-05,1559368403.2,3.003953121577218e-05,4.829706403940887e-05
60,+3.37292900E-05,1559368403.4083333,3.004100657174151e-05,4.829591133004926e-05
61,+3.37586700E-05,1559368403.6166668,3.0041672508214677e-05,4.829616748768473e-05
62,+3.33987200E-05,1559368403.825,3.2157943044906905e-05,4.8296295566502466e-05
63,+3.31342500E-05,1559368404.0333333,3.215869550930997e-05,4.829411822660099e-05
64,+3.31923400E-05,1559368404.2416668,3.2159129244249724e-05,4.8295270935960595e-05
65,+3.30895100E-05,1559368404.45,3.2160142387732746e-05,4.8295527093596056e-05
66,+3.31456000E-05,1559368404.6583333,3.2159968236582695e-05,4.829475862068965e-05
67,+3.30481000E-05,1559368404.8666668,3.2160214676889374e-05,4.829360591133005e-05
68,+3.30714800E-05,1559368405.075,3.216031544359255e-05,4.8294502463054185e-05
69,+3.30848300E-05,1559368405.2833333,3.2160142387732746e-05,4.8294246305418724e-05
70,+3.30941800E-05,1559368405.4916668,3.21602004381161e-05,4.829808866995074e-05
71,+3.32424500E-05,1559368405.7,3.216072070098576e-05,4.8294502463054185e-05
72,+3.30901900E-05,1559368405.9083333,3.216103943044907e-05,4.8293862068965515e-05
73,+3.30694800E-05,1559368406.1166668,3.2161314348302304e-05,4.8295527093596056e-05
74,+3.30614600E-05,1559368406.325,3.2160894852135815e-05,4.829411822660099e-05
75,+3.32224100E-05,1559368410.045,3.3690203723986856e-05,4.829616748768473e-05
76,+3.30120300E-05,1559368410.2533333,3.425000876232202e-05,4.829270935960591e-05
77,+3.31382500E-05,1559368410.4616668,3.425050054764512e-05,4.829334975369458e-05
78,+3.30794900E-05,1559368410.67,3.59018882803943e-05,4.8294246305418724e-05
79,+3.31168800E-05,1559368410.8783333,3.6431822562979194e-05,4.8297960591133e-05
80,+3.29532700E-05,1559368411.0866668,3.6431924424972616e-05,4.829706403940887e-05
81,+3.30875100E-05,1559368411.295,3.822079189485214e-05,4.82971921182266e-05
82,+3.30567800E-05,1559368411.5033333,3.8549248630887186e-05,4.829475862068965e-05
83,+3.29332400E-05,1559368411.7116668,3.8549552026286966e-05,4.829475862068965e-05
84,+3.29312400E-05,1559368411.92,4.037204162102957e-05,4.8300009852216755e-05
85,+3.29612900E-05,1559368412.1283333,4.063582256297919e-05,4.829565517241379e-05
86,+3.30534500E-05,1559368412.3366668,4.0636054764512595e-05,4.829475862068965e-05
87,+3.29546100E-05,1559368412.545,4.254041840087623e-05,4.829142857142857e-05
88,+3.29112000E-05,1559368412.7533333,4.275501533406353e-05,4.8297832512315265e-05
89,+3.29626300E-05,1559368412.9616668,4.2755261774370206e-05,4.829885714285715e-05
90,+3.29552800E-05,1559368413.17,4.275550711938664e-05,4.829911330049261e-05
91,+3.30647900E-05,1559368413.3783333,4.275562322015334e-05,4.829091625615763e-05
92,+3.30461000E-05,1559368413.5866668,4.275614457831325e-05,4.8297576354679804e-05
93,+3.30681400E-05,1559368413.795,4.275602847754655e-05,4.8293990147783256e-05
94,+3.29706300E-05,1559368414.0033333,4.2756331872946335e-05,4.8295527093596056e-05
95,+3.31603000E-05,1559368414.2116668,4.275662102957284e-05,4.8296039408867e-05
96,+3.30601200E-05,1559368414.42,4.275656407447974e-05,4.829091625615763e-05
97,+3.28798200E-05,1559368414.6283333,4.27563756845564e-05,4.8296039408867e-05
98,+3.29465900E-05,1559368414.8366668,4.2756317634173055e-05,4.8294246305418724e-05
99,+3.30481100E-05,1559368415.045,4.275620153340635e-05,4.8296295566502466e-05
100,+3.34474700E-05,1559368418.684,4.3738825848849945e-05,4.8296295566502466e-05
101,+3.31342600E-05,1559368418.8923333,4.4937726177437024e-05,4.8291172413793104e-05
102,+3.30574600E-05,1559368419.1006668,4.493771193866375e-05,4.829373399014778e-05
103,+3.30921900E-05,1559368419.309,4.607841840087623e-05,4.8295527093596056e-05
104,+3.34280900E-05,1559368419.5173333,4.705432749178532e-05,4.829514285714286e-05
105,+3.31769800E-05,1559368419.7256668,4.705470427163198e-05,4.829578325123152e-05
106,+3.32324300E-05,1559368419.934,4.823063307776561e-05,4.829437438423645e-05
107,+3.31422700E-05,1559368420.1423333,4.91407699890471e-05,4.8293477832512314e-05
108,+3.31289100E-05,1559368420.3506668,4.9141001095290257e-05,4.829270935960591e-05
109,+3.33145700E-05,1559368420.559,5.0588527929901425e-05,4.829501477832513e-05
110,+3.33432700E-05,1559368420.7673333,5.135439649507119e-05,4.829334975369458e-05
111,+3.32237400E-05,1559368420.9756668,5.135509090909091e-05,4.8293990147783256e-05
112,+3.35082400E-05,1559368421.184,5.277075794085433e-05,4.8292965517241385e-05
113,+3.40458400E-05,1559368421.3923333,5.3438957283680174e-05,4.829270935960591e-05
114,+3.36097500E-05,1559368421.6006668,5.343975355969332e-05,4.8292965517241385e-05
115,+3.31749900E-05,1559368421.809,5.344008543263965e-05,4.829142857142857e-05
116,+3.35376200E-05,1559368422.0173333,5.3439940854326395e-05,4.8293990147783256e-05
117,+3.36518200E-05,1559368422.2256668,5.344043263964951e-05,4.8292965517241385e-05
118,+3.36571500E-05,1559368422.434,5.344053450164294e-05,4.8293477832512314e-05
119,+3.35069000E-05,1559368422.6423333,5.344036035049288e-05,4.8297832512315265e-05
120,+3.31249100E-05,1559368422.8506668,5.343984008762322e-05,4.829270935960591e-05
121,+3.31649800E-05,1559368423.059,5.3440288061336256e-05,4.8297576354679804e-05
122,+3.30367500E-05,1559368423.2673333,5.3440476451259586e-05,4.829475862068965e-05
123,+3.31629600E-05,1559368423.4756668,5.3440548740416215e-05,4.828771428571428e-05
124,+3.31409200E-05,1559368423.684,5.3441185104052575e-05,4.8284512315270936e-05
125,+3.42428400E-05,1559368427.284,5.5713583789704275e-05,4.8292197044334975e-05
126,+3.41940900E-05,1559368427.4923332,5.56974830230011e-05,4.8293990147783256e-05
127,+3.43744000E-05,1559368427.7006667,5.5696224534501645e-05,4.829437438423645e-05
128,+3.43777500E-05,1559368427.909,5.787384446878423e-05,4.8292068965517234e-05
129,+3.43964300E-05,1559368428.1173332,5.787487185104053e-05,4.828886699507389e-05
130,+3.40251400E-05,1559368428.3256667,5.787478532311062e-05,4.829142857142857e-05
131,+3.39403300E-05,1559368428.534,5.999008871851041e-05,4.8294246305418724e-05
132,+3.36104200E-05,1559368428.7423332,5.999169441401971e-05,4.8293477832512314e-05
133,+3.36544900E-05,1559368428.9506667,5.999146330777656e-05,4.829270935960591e-05
134,+3.39610300E-05,1559368429.159,6.210775027382257e-05,4.829334975369458e-05
135,+3.40498400E-05,1559368429.3673332,6.210835706462213e-05,4.8296039408867e-05
136,+3.42508600E-05,1559368429.5756667,6.210866155531215e-05,4.829706403940887e-05
137,+3.45634100E-05,1559368429.784,6.42894600219058e-05,4.8291940886699514e-05
138,+3.43723900E-05,1559368429.9923332,6.429009638554216e-05,4.8294246305418724e-05
139,+3.41860800E-05,1559368430.2006667,6.429071851040525e-05,4.829578325123152e-05
140,+3.42007700E-05,1559368430.409,6.429076232201534e-05,4.8289507389162564e-05
141,+3.44505400E-05,1559368430.6173332,6.429138335158817e-05,4.829142857142857e-05
142,+3.45994700E-05,1559368430.8256667,6.42916013143483e-05,4.8289763546798025e-05
143,+3.44491900E-05,1559368431.034,6.4291860898138e-05,4.8291940886699514e-05
144,+3.39236200E-05,1559368431.2423332,6.429184665936473e-05,4.829475862068965e-05
145,+3.36758700E-05,1559368431.4506667,6.429173055859803e-05,4.829373399014778e-05
146,+3.33880300E-05,1559368431.659,6.429204928806133e-05,4.829091625615763e-05
147,+3.34094000E-05,1559368431.8673332,6.429225191675795e-05,4.8293862068965515e-05
148,+3.36064000E-05,1559368432.0756667,6.429269989047098e-05,4.8291044334975363e-05
149,+3.40284600E-05,1559368432.284,6.429311938663746e-05,4.829232512315271e-05
150,+3.43263300E-05,1559368436.029,6.605962760131435e-05,4.829578325123152e-05
