,MAG_CURR(A),timestamp
0,0.001,1559713453.461
1,-0.001,1559713453.613
2,0.002,1559713453.734
3,0.005,1559713453.855
4,0.013,1559713453.976
5,0.023,1559713454.083
6,0.036,1559713454.204
7,0.047,1559713454.325
8,0.061,1559713454.446
9,0.075,1559713454.553
10,0.09,1559713454.674
11,0.101,1559713454.795
12,0.114,1559713454.902
13,0.128,1559713455.021
14,0.138,1559713455.141
15,0.151,1559713455.248
16,0.162,1559713455.367
17,0.171,1559713455.488
18,0.184,1559713455.595
19,0.195,1559713455.714
20,0.21,1559713455.865
21,0.223,1559713455.986
22,0.233,1559713456.107
23,0.246,1559713456.214
24,0.257,1559713456.332
25,0.268,1559713456.453
26,0.281,1559713456.56
27,0.292,1559713456.679
28,0.302,1559713456.799
29,0.315,1559713456.906
30,0.327,1559713457.025
31,0.337,1559713457.146
32,0.35,1559713457.253
33,0.363,1559713457.372
34,0.372,1559713457.491
35,0.389,1559713457.642
36,0.397,1559713457.763
37,0.4,1559713461.134
38,0.4,1559713461.255
39,0.4,1559713461.355
40,0.397,1559713461.456
41,0.393,1559713461.555
42,0.386,1559713461.653
43,0.377,1559713461.757
44,0.366,1559713461.852
45,0.355,1559713461.951
46,0.344,1559713462.049
47,0.332,1559713462.149
48,0.32,1559713462.248
49,0.309,1559713462.347
50,0.298,1559713462.448
51,0.287,1559713462.548
52,0.277,1559713462.649
53,0.267,1559713462.763
54,0.258,1559713462.864
55,0.246,1559713462.965
56,0.233,1559713463.11
57,0.225,1559713463.163
58,0.215,1559713463.262
59,0.206,1559713463.362
60,0.196,1559713463.46
61,0.186,1559713463.559
62,0.177,1559713463.658
63,0.166,1559713463.757
64,0.157,1559713463.856
65,0.142,1559713464.005
66,0.136,1559713464.057
67,0.127,1559713464.157
68,0.117,1559713464.272
69,0.107,1559713464.373
70,0.094,1559713464.476
71,0.085,1559713464.574
72,0.076,1559713464.673
73,0.065,1559713464.772
74,0.056,1559713464.871
75,0.046,1559713464.97
76,0.036,1559713465.069
77,0.025,1559713465.166
78,0.016,1559713465.265
79,0.008,1559713465.387
80,-0.001,1559713465.465
