,MAG_CURR(A),timestamp
0,-0.001,1559712900.804
1,0.0,1559712900.908
2,0.0,1559712901.027
3,0.001,1559712901.147
4,0.004,1559712901.254
5,0.01,1559712901.375
6,0.015,1559712901.496
7,0.021,1559712901.603
8,0.029,1559712901.722
9,0.035,1559712901.843
10,0.04,1559712901.964
11,0.047,1559712902.071
12,0.054,1559712902.192
13,0.06,1559712902.313
14,0.065,1559712902.42
15,0.074,1559712902.587
16,0.08,1559712902.708
17,0.086,1559712902.815
18,0.092,1559712902.934
19,0.097,1559712903.055
20,0.103,1559712903.161
21,0.108,1559712903.281
22,0.113,1559712903.402
23,0.121,1559712903.523
24,0.127,1559712903.63
25,0.133,1559712903.751
26,0.139,1559712903.921
27,0.146,1559712904.028
28,0.152,1559712904.147
29,0.157,1559712904.268
30,0.164,1559712904.389
31,0.17,1559712904.496
32,0.176,1559712904.617
33,0.181,1559712904.738
34,0.188,1559712904.845
35,0.193,1559712904.962
36,0.196,1559712905.082
37,0.2,1559712910.137
38,0.199,1559712910.258
39,0.2,1559712910.358
40,0.199,1559712910.485
41,0.197,1559712910.558
42,0.194,1559712910.658
43,0.19,1559712910.756
44,0.185,1559712910.855
45,0.179,1559712910.954
46,0.173,1559712911.053
47,0.167,1559712911.152
48,0.161,1559712911.251
49,0.156,1559712911.378
50,0.152,1559712911.451
51,0.146,1559712911.551
52,0.14,1559712911.652
53,0.134,1559712911.766
54,0.128,1559712911.867
55,0.125,1559712911.967
56,0.121,1559712912.068
57,0.114,1559712912.167
58,0.108,1559712912.291
59,0.105,1559712912.365
60,0.1,1559712912.464
61,0.093,1559712912.563
62,0.088,1559712912.662
63,0.083,1559712912.761
64,0.078,1559712912.86
65,0.074,1559712912.959
66,0.07,1559712913.06
67,0.063,1559712913.182
68,0.06,1559712913.261
69,0.056,1559712913.376
70,0.05,1559712913.476
71,0.043,1559712913.577
72,0.039,1559712913.677
73,0.033,1559712913.776
74,0.028,1559712913.875
75,0.023,1559712913.973
76,0.019,1559712914.073
77,0.015,1559712914.17
78,0.01,1559712914.269
79,0.004,1559712914.368
