,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
25,+4.69035100E-05,1559291430.347,+1.57650160E+00,,2.216656407447974e-05,5.161540886699507e-05
26,+4.68040000E-05,1559291430.5553331,+1.57647800E+00,,2.2166506024096388e-05,5.161937931034483e-05
27,+4.67272100E-05,1559291430.7636666,+1.57645200E+00,,2.216666484118291e-05,5.161246305418719e-05
28,+4.67178500E-05,1559291430.972,+1.57642970E+00,,2.2166694414019716e-05,5.161246305418719e-05
29,+4.67766300E-05,1559291431.1803331,+1.57640490E+00,,2.216666484118291e-05,5.1618354679802956e-05
30,+4.67205200E-05,1559291431.3886666,+1.57638010E+00,,2.216701204819277e-05,5.161643349753695e-05
31,+4.66938100E-05,1559291431.597,+1.57635660E+00,,2.2167055859802847e-05,5.160887684729064e-05
32,+4.67559200E-05,1559291431.8053331,+1.57633050E+00,,2.2167301204819275e-05,5.1615024630541875e-05
33,+4.67919800E-05,1559291432.0136666,+1.57630200E+00,,2.216756188389923e-05,5.161489655172414e-05
34,+4.66570800E-05,1559291432.222,+1.57628220E+00,,2.2167445783132528e-05,5.1615024630541875e-05
35,+4.66938100E-05,1559291432.4303331,+1.57625740E+00,,2.2167591456736035e-05,5.161387192118227e-05
36,+4.66938100E-05,1559291432.6386666,+1.57623390E+00,,2.2167547645125957e-05,5.161758620689655e-05
37,+4.66824600E-05,1559291432.847,+1.57620910E+00,,2.2167706462212484e-05,5.161220689655172e-05
38,+4.68915000E-05,1559291433.0553331,+1.57618800E+00,,2.2167445783132528e-05,5.1617970443349754e-05
39,+4.66116800E-05,1559291433.2636666,+1.57616070E+00,,2.216775027382256e-05,5.161464039408867e-05
40,+4.67125100E-05,1559291433.472,+1.57613840E+00,,2.216776451259584e-05,5.1611950738916256e-05
41,+4.65996600E-05,1559291433.6803331,+1.57611610E+00,,2.2167736035049288e-05,5.1621684729064036e-05
42,+4.65462300E-05,1559291433.8886666,+1.57609130E+00,,2.2167981380065716e-05,5.161694581280788e-05
43,+4.65175100E-05,1559291434.097,+1.57606650E+00,,2.2167301204819275e-05,5.161464039408867e-05
44,+4.65468900E-05,1559291434.3053331,+1.57604670E+00,,2.21683143483023e-05,5.161169458128079e-05
45,+4.66751100E-05,1559291434.5136666,+1.57601820E+00,,2.2168111719605696e-05,5.161809852216749e-05
46,+4.65856300E-05,1559291434.722,+1.57599830E+00,,2.2168111719605696e-05,5.161528078817734e-05
47,+4.66637700E-05,1559291434.9303331,+1.57596980E+00,,2.2168300109529023e-05,5.1616049261083746e-05
48,+4.65482300E-05,1559291435.1386666,+1.57594630E+00,,2.2168140197152246e-05,5.161643349753695e-05
49,+4.64868000E-05,1559291435.347,+1.57593510E+00,,2.2168169769989047e-05,5.1620019704433496e-05
50,+4.64881200E-05,1559291438.947,+1.57589050E+00,,2.216825629791895e-05,5.1614256157635465e-05
51,+4.64727600E-05,1559291439.1553333,+1.57586700E+00,,2.2168067907995618e-05,5.1613615763546796e-05
52,+4.66737800E-05,1559291439.3636668,+1.57584220E+00,,2.216834282584885e-05,5.161182266009853e-05
53,+4.66009900E-05,1559291439.572,+1.57581740E+00,,2.2168242059145672e-05,5.1615536945812804e-05
54,+4.64874600E-05,1559291439.7803333,+1.57579260E+00,,2.2168083242059145e-05,5.161464039408867e-05
55,+4.65996500E-05,1559291439.9886668,+1.57576780E+00,,2.2168531215772178e-05,5.161271921182266e-05
56,+4.65462200E-05,1559291440.197,+1.57574300E+00,,2.2168487404162104e-05,5.161579310344827e-05
57,+4.66838000E-05,1559291440.4053333,+1.57572440E+00,,2.216871960569551e-05,5.161335960591133e-05
58,+4.65655800E-05,1559291440.6136668,+1.57569960E+00,,2.2168545454545455e-05,5.161451231527093e-05
59,+4.65702700E-05,1559291440.822,+1.57567730E+00,,2.2168545454545455e-05,5.1617970443349754e-05
60,+4.65014900E-05,1559291441.0303333,+1.57565380E+00,,2.216871960569551e-05,5.161668965517241e-05
61,+4.65181700E-05,1559291441.2386668,+1.57563140E+00,,2.2168631982475357e-05,5.16147684729064e-05
62,+4.65208400E-05,1559291441.447,+1.57560790E+00,,2.2168473165388827e-05,5.161374384236453e-05
63,+4.66330500E-05,1559291441.6553333,+1.57558310E+00,,2.21683143483023e-05,5.1615024630541875e-05
64,+4.64801100E-05,1559291441.8636668,+1.57556330E+00,,2.2168458926615553e-05,5.1617330049261085e-05
65,+4.65949800E-05,1559291442.072,+1.57553850E+00,,2.2168487404162104e-05,5.161771428571428e-05
66,+4.66296900E-05,1559291442.2803333,+1.57551620E+00,,2.2168575027382256e-05,5.161310344827586e-05
67,+4.64834400E-05,1559291442.4886668,+1.57550010E+00,,2.216877656078861e-05,5.161617733990148e-05
68,+4.64908000E-05,1559291442.697,+1.57547150E+00,,2.2168690032858708e-05,5.161617733990148e-05
69,+4.64867800E-05,1559291442.9053333,+1.57545300E+00,,2.216870427163198e-05,5.161233497536946e-05
70,+4.64380400E-05,1559291443.1136668,+1.57542940E+00,,2.216870427163198e-05,5.161643349753695e-05
71,+4.64300200E-05,1559291443.322,+1.57540210E+00,,2.2168936473165387e-05,5.161220689655172e-05
72,+4.66176800E-05,1559291443.5303333,+1.57538480E+00,,2.216870427163198e-05,5.161515270935961e-05
73,+4.63799500E-05,1559291443.7386668,+1.57536000E+00,,2.216880613362541e-05,5.1617970443349754e-05
74,+4.65448900E-05,1559291443.947,+1.57533150E+00,,2.2168936473165387e-05,5.161579310344827e-05
75,+4.62450400E-05,1559291447.546,+1.57530420E+00,,2.216883461117196e-05,5.161233497536946e-05
76,+4.61234900E-05,1559291447.7543333,+1.57527690E+00,,2.216874808324206e-05,5.161182266009853e-05
77,+4.60647300E-05,1559291447.9626667,+1.57525340E+00,,2.2168950711938664e-05,5.1616049261083746e-05
78,+4.60720700E-05,1559291448.171,+1.57523360E+00,,2.2168936473165387e-05,5.1613615763546796e-05
79,+4.60153100E-05,1559291448.3793333,+1.57521620E+00,,2.2169095290251917e-05,5.161207881773399e-05
80,+4.58470100E-05,1559291448.5876667,+1.57519640E+00,,2.2169095290251917e-05,5.161348768472906e-05
