,MAG_CURR(A),timestamp
0,0.0,1559714452.86
1,0.0,1559714452.967
2,0.005,1559714453.087
3,0.015,1559714453.208
4,0.037,1559714453.329
5,0.069,1559714453.436
6,0.109,1559714453.557
7,0.143,1559714453.678
8,0.185,1559714453.785
9,0.23,1559714453.903
10,0.263,1559714454.025
11,0.319,1559714454.176
12,0.351,1559714454.297
13,0.389,1559714454.418
14,0.427,1559714454.525
15,0.463,1559714454.646
16,0.493,1559714454.767
17,0.53,1559714454.874
18,0.566,1559714454.992
19,0.596,1559714455.113
20,0.632,1559714455.22
21,0.671,1559714455.339
22,0.701,1559714455.46
23,0.736,1559714455.567
24,0.774,1559714455.685
25,0.804,1559714455.806
26,0.848,1559714455.934
27,0.876,1559714456.054
28,0.904,1559714456.161
29,0.9,1559714463.383
30,0.9,1559714463.503
31,0.897,1559714463.652
32,0.893,1559714463.706
33,0.882,1559714463.804
34,0.863,1559714463.904
35,0.837,1559714464.003
36,0.808,1559714464.101
37,0.774,1559714464.2
38,0.739,1559714464.3
39,0.703,1559714464.398
40,0.654,1559714464.549
41,0.637,1559714464.596
42,0.603,1559714464.696
43,0.572,1559714464.797
44,0.542,1559714464.897
45,0.503,1559714465.018
46,0.48,1559714465.113
47,0.451,1559714465.213
48,0.414,1559714465.314
49,0.384,1559714465.413
50,0.355,1559714465.512
51,0.325,1559714465.611
52,0.296,1559714465.71
53,0.267,1559714465.809
54,0.229,1559714465.933
55,0.207,1559714466.007
56,0.178,1559714466.106
57,0.148,1559714466.205
58,0.119,1559714466.305
59,0.088,1559714466.406
60,0.059,1559714466.519
61,0.03,1559714466.62
62,0.006,1559714466.72
63,-0.013,1559714466.82
