,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
57,+4.53742100E-05,1559292945.4203331,+1.57106100E+00,,2.2112621029572837e-05,5.149434482758621e-05
58,+4.48446200E-05,1559292945.6286666,+1.57106600E+00,,2.2112722891566266e-05,5.149703448275862e-05
59,+4.49688200E-05,1559292945.837,+1.57106470E+00,,2.211276670317634e-05,5.149741871921182e-05
60,+4.48506300E-05,1559292946.0453331,+1.57106970E+00,,2.211283899233297e-05,5.150100492610838e-05
61,+4.55912400E-05,1559292946.2536666,+1.57107590E+00,,2.2113040525739323e-05,5.1497162561576354e-05
62,+4.55224600E-05,1559292946.462,+1.57107960E+00,,2.2113128148959475e-05,5.149780295566503e-05
63,+4.44873300E-05,1559292946.6703331,+1.57108080E+00,,2.2113084337349397e-05,5.1501261083743845e-05
64,+4.45561100E-05,1559292946.8786666,+1.57108580E+00,,2.2113518072289156e-05,5.1499211822660096e-05
65,+4.45287400E-05,1559292947.087,+1.57109080E+00,,2.2113475355969332e-05,5.149805911330049e-05
66,+4.50630000E-05,1559292947.2953331,+1.57109320E+00,,2.2113590361445785e-05,5.1498955665024635e-05
67,+4.54603500E-05,1559292947.5036666,+1.57109820E+00,,2.211387951807229e-05,5.150459113300493e-05
68,+4.52239300E-05,1559292947.712,+1.57109820E+00,,2.2113807228915662e-05,5.1496906403940886e-05
69,+4.52900600E-05,1559292947.9203331,+1.57110440E+00,,2.211387951807229e-05,5.1493192118226604e-05
70,+4.49695000E-05,1559292948.1286666,+1.57111180E+00,,2.2114082146768895e-05,5.149741871921182e-05
71,+4.54102600E-05,1559292948.337,+1.57112050E+00,,2.21143143483023e-05,5.149613793103448e-05
72,+4.56720600E-05,1559292948.5453331,+1.57111800E+00,,2.2114242059145675e-05,5.1502285714285716e-05
73,+4.46663100E-05,1559292948.7536666,+1.57112670E+00,,2.2114429353778752e-05,5.1494857142857144e-05
74,+4.45654600E-05,1559292948.962,+1.57112920E+00,,2.2114631982475357e-05,5.1496522167487685e-05
75,+4.48980400E-05,1559292952.562,+1.57113790E+00,,2.2114733844468786e-05,5.1500492610837435e-05
76,+4.45454300E-05,1559292952.7703333,+1.57114280E+00,,2.2114704271631985e-05,5.14995960591133e-05
77,+4.38068100E-05,1559292952.9786668,+1.57115150E+00,,2.211499342825849e-05,5.149972413793104e-05
78,+4.41687800E-05,1559292953.187,+1.57115520E+00,,2.211523986856517e-05,5.1499980295566506e-05
79,+4.44485900E-05,1559292953.3953333,+1.57115770E+00,,2.2115051478641842e-05,5.14988275862069e-05
80,+4.45293900E-05,1559292953.6036668,+1.57116760E+00,,2.211529791894852e-05,5.149985221674877e-05
81,+4.41767900E-05,1559292953.812,+1.57117750E+00,,2.211532639649507e-05,5.1497546798029556e-05
82,+4.42629500E-05,1559292954.0203333,+1.57118250E+00,,2.2115312157721798e-05,5.1502285714285716e-05
83,+4.45060300E-05,1559292954.2286668,+1.57118620E+00,,2.2115775465498358e-05,5.150305418719212e-05
84,+4.46462600E-05,1559292954.437,+1.57119490E+00,,2.2115630887185105e-05,5.149229556650246e-05
85,+4.48125500E-05,1559292954.6453333,+1.57120110E+00,,2.2115948521358158e-05,5.150010837438424e-05
86,+4.47811700E-05,1559292954.8536668,+1.57120480E+00,,2.211592004381161e-05,5.149575369458128e-05
87,+4.48032100E-05,1559292955.062,+1.57121350E+00,,2.2116179627601313e-05,5.1497546798029556e-05
88,+4.46856800E-05,1559292955.2703333,+1.57121720E+00,,2.2116237677984664e-05,5.1497546798029556e-05
89,+4.33707200E-05,1559292955.4786668,+1.57122220E+00,,2.2116295728368016e-05,5.14988275862069e-05
90,+4.31082700E-05,1559292955.687,+1.57123080E+00,,2.211674370208105e-05,5.1497546798029556e-05
91,+4.48833600E-05,1559292955.8953333,+1.57123830E+00,,2.21167152245345e-05,5.14995960591133e-05
92,+4.48192400E-05,1559292956.1036668,+1.57124200E+00,,2.2116671412924423e-05,5.14988275862069e-05
93,+4.47371000E-05,1559292956.312,+1.57125070E+00,,2.2116614457831323e-05,5.149933990147783e-05
94,+4.28832000E-05,1559292956.5203333,+1.57125810E+00,,2.2116859802847754e-05,5.150202955665025e-05
95,+4.49080700E-05,1559292956.7286668,+1.57126550E+00,,2.2117423877327493e-05,5.149805911330049e-05
96,+4.40545800E-05,1559292956.937,+1.57127050E+00,,2.2117467688937567e-05,5.149985221674877e-05
97,+4.26935400E-05,1559292957.1453333,+1.57127550E+00,,2.211730887185104e-05,5.1496522167487685e-05
98,+4.44152100E-05,1559292957.3536668,+1.57128290E+00,,2.21177426067908e-05,5.149805911330049e-05
99,+4.39290300E-05,1559292957.562,+1.57128910E+00,,2.2117901423877326e-05,5.150164532019704e-05
100,+4.46302400E-05,1559292961.162,+1.57129400E+00,,2.2118118291347208e-05,5.150138916256157e-05
101,+4.43217000E-05,1559292961.3703332,+1.57130020E+00,,2.2118437020810515e-05,5.149805911330049e-05
102,+4.45661300E-05,1559292961.5786667,+1.57131140E+00,,2.2118306681270535e-05,5.149933990147783e-05
103,+4.46589600E-05,1559292961.787,+1.57131760E+00,,2.2118581599123768e-05,5.150010837438424e-05
104,+4.36612300E-05,1559292961.9953332,+1.57132260E+00,,2.211875465498357e-05,5.1496522167487685e-05
105,+4.48913600E-05,1559292962.2036667,+1.57132750E+00,,2.2118870755750274e-05,5.149972413793104e-05
106,+4.34167900E-05,1559292962.412,+1.57133870E+00,,2.2119391018619935e-05,5.15003645320197e-05
107,+4.46522700E-05,1559292962.6203332,+1.57134980E+00,,2.2119738225629792e-05,5.150138916256157e-05
108,+4.47871900E-05,1559292962.8286667,+1.57135350E+00,,2.2120520262869663e-05,5.15003645320197e-05
