,MAG_CURR(A),timestamp
0,0.0,1559715976.134
1,-0.001,1559715976.24
2,0.002,1559715976.359
3,0.009,1559715976.48
4,0.027,1559715976.587
5,0.056,1559715976.706
6,0.084,1559715976.827
7,0.126,1559715976.933
8,0.169,1559715977.053
9,0.202,1559715977.174
10,0.246,1559715977.295
11,0.287,1559715977.401
12,0.327,1559715977.522
13,0.359,1559715977.642
14,0.397,1559715977.749
15,0.433,1559715977.869
16,0.462,1559715977.99
17,0.501,1559715978.097
18,0.537,1559715978.215
19,0.567,1559715978.336
20,0.611,1559715978.466
21,0.648,1559715978.587
22,0.677,1559715978.708
23,0.716,1559715978.829
24,0.751,1559715978.936
25,0.789,1559715979.057
26,0.818,1559715979.178
27,0.855,1559715979.299
28,0.893,1559715979.406
29,0.93,1559715979.527
30,0.96,1559715979.648
31,0.996,1559715979.755
32,1.034,1559715979.873
33,1.064,1559715979.994
34,1.101,1559715980.101
35,1.145,1559715980.245
36,1.176,1559715980.366
37,1.212,1559715980.473
38,1.25,1559715980.591
39,1.279,1559715980.712
40,1.316,1559715980.819
41,1.352,1559715980.936
42,1.381,1559715981.055
43,1.408,1559715981.162
44,1.399,1559715982.374
45,1.399,1559715982.495
46,1.397,1559715982.595
47,1.392,1559715982.695
48,1.381,1559715982.797
49,1.363,1559715982.894
50,1.337,1559715982.992
51,1.307,1559715983.091
52,1.274,1559715983.19
53,1.239,1559715983.289
54,1.205,1559715983.388
55,1.172,1559715983.488
56,1.137,1559715983.587
57,1.104,1559715983.687
58,1.072,1559715983.787
59,1.041,1559715983.889
60,1.01,1559715984.003
61,0.98,1559715984.104
62,0.943,1559715984.205
63,0.913,1559715984.305
64,0.884,1559715984.404
65,0.855,1559715984.503
66,0.819,1559715984.629
67,0.796,1559715984.701
68,0.766,1559715984.8
69,0.737,1559715984.899
70,0.707,1559715984.998
71,0.678,1559715985.097
72,0.648,1559715985.196
73,0.619,1559715985.297
74,0.589,1559715985.397
75,0.545,1559715985.564
76,0.53,1559715985.613
77,0.499,1559715985.713
78,0.461,1559715985.814
79,0.432,1559715985.914
80,0.395,1559715986.038
81,0.373,1559715986.111
82,0.343,1559715986.21
83,0.315,1559715986.309
84,0.284,1559715986.409
85,0.255,1559715986.508
86,0.225,1559715986.607
87,0.196,1559715986.706
88,0.166,1559715986.805
89,0.12,1559715986.954
90,0.105,1559715987.007
91,0.076,1559715987.107
92,0.046,1559715987.22
93,0.019,1559715987.321
94,-0.007,1559715987.422
