,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
59,+4.39911200E-05,1559291115.132,+1.57107960E+00,,2.2172784227820372e-05,5.1634108374384235e-05
60,+4.38488700E-05,1559291115.3403332,+1.57107840E+00,,2.21729430449069e-05,5.163551724137931e-05
61,+4.33660400E-05,1559291115.5486667,+1.57108210E+00,,2.2172957283680175e-05,5.163666995073891e-05
62,+4.36866000E-05,1559291115.757,+1.57109080E+00,,2.2172842278203723e-05,5.163705418719212e-05
63,+4.41908100E-05,1559291115.9653332,+1.57109450E+00,,2.217321796276013e-05,5.163257142857143e-05
64,+4.35403400E-05,1559291116.1736667,+1.57109820E+00,,2.2173117196056956e-05,5.1632443349753695e-05
65,+4.16397000E-05,1559291116.382,+1.57110070E+00,,2.217346440306681e-05,5.163551724137931e-05
66,+4.10386700E-05,1559291116.5903332,+1.57110320E+00,,2.217359364731654e-05,5.163193103448276e-05
67,+4.06045900E-05,1559291116.7986667,+1.57110940E+00,,2.2173449069003286e-05,5.16339802955665e-05
68,+4.18534200E-05,1559291117.007,+1.57111060E+00,,2.217392661555312e-05,5.1637694581280784e-05
69,+4.12496900E-05,1559291117.2153332,+1.57111800E+00,,2.217381161007667e-05,5.1639871921182266e-05
70,+4.47330800E-05,1559291117.4236667,+1.57112050E+00,,2.217402847754655e-05,5.163666995073891e-05
71,+4.47457700E-05,1559291117.632,+1.57112420E+00,,2.2173940854326396e-05,5.1638206896551726e-05
72,+4.57421700E-05,1559291117.8403332,+1.57112670E+00,,2.2173998904709748e-05,5.1629753694581284e-05
73,+4.60961100E-05,1559291118.0486667,+1.57113540E+00,,2.21741730558598e-05,5.1631674876847285e-05
74,+4.60627300E-05,1559291118.257,+1.57113790E+00,,2.2174346111719605e-05,5.163628571428571e-05
75,+4.52459600E-05,1559291121.856,+1.57115030E+00,,2.217454874041621e-05,5.163551724137931e-05
76,+4.52359500E-05,1559291122.0643332,+1.57115270E+00,,2.217473713033954e-05,5.163218719211823e-05
77,+4.48639800E-05,1559291122.2726667,+1.57116020E+00,,2.2174592552026287e-05,5.163449261083744e-05
78,+4.46342400E-05,1559291122.481,+1.57116510E+00,,2.2175026286966046e-05,5.163551724137931e-05
79,+4.41153400E-05,1559291122.6893332,+1.57116890E+00,,2.217457831325301e-05,5.163526108374384e-05
80,+4.42729500E-05,1559291122.8976667,+1.57117630E+00,,2.2174895947426067e-05,5.163859113300492e-05
81,+4.41721100E-05,1559291123.106,+1.57118000E+00,,2.2174953997809418e-05,5.163615763546798e-05
82,+4.35203000E-05,1559291123.3143332,+1.57118620E+00,,2.217512705366922e-05,5.163526108374384e-05
83,+4.40398800E-05,1559291123.5226667,+1.57119120E+00,,2.217544578313253e-05,5.163449261083744e-05
