,MAG_CURR(A),timestamp
0,0.0,1559717900.245
1,0.0,1559717900.363
2,0.001,1559717900.47
3,0.008,1559717900.591
4,0.031,1559717900.74
5,0.056,1559717900.861
6,0.092,1559717900.982
7,0.133,1559717901.089
8,0.177,1559717901.209
9,0.211,1559717901.33
10,0.255,1559717901.437
11,0.295,1559717901.556
12,0.327,1559717901.677
13,0.367,1559717901.784
14,0.404,1559717901.902
15,0.434,1559717902.023
16,0.471,1559717902.13
17,0.509,1559717902.249
18,0.538,1559717902.37
19,0.574,1559717902.491
20,0.61,1559717902.598
21,0.64,1559717902.718
22,0.677,1559717902.839
23,0.714,1559717902.946
24,0.752,1559717903.066
25,0.781,1559717903.187
26,0.818,1559717903.308
27,0.863,1559717903.44
28,0.9,1559717903.561
29,0.93,1559717903.68
30,0.967,1559717903.787
31,0.997,1559717903.906
32,1.0,1559717906.312
33,1.0,1559717906.432
34,0.999,1559717906.531
35,0.993,1559717906.63
36,0.978,1559717906.776
37,0.962,1559717906.829
38,0.937,1559717906.928
39,0.907,1559717907.027
40,0.873,1559717907.126
41,0.84,1559717907.225
42,0.805,1559717907.324
43,0.77,1559717907.425
44,0.737,1559717907.525
45,0.695,1559717907.667
46,0.672,1559717907.74
47,0.641,1559717907.841
48,0.603,1559717907.942
49,0.574,1559717908.041
50,0.544,1559717908.14
51,0.514,1559717908.24
52,0.485,1559717908.339
53,0.455,1559717908.437
54,0.426,1559717908.536
55,0.396,1559717908.636
56,0.366,1559717908.735
57,0.338,1559717908.833
58,0.308,1559717908.932
59,0.271,1559717909.056
60,0.248,1559717909.135
61,0.218,1559717909.249
62,0.188,1559717909.35
63,0.158,1559717909.451
64,0.122,1559717909.551
65,0.093,1559717909.65
66,0.063,1559717909.747
67,0.034,1559717909.846
68,0.008,1559717909.967
69,-0.012,1559717910.045
