,MAG_CURR(A),timestamp
0,0.0,1559715495.233
1,-0.002,1559715495.353
2,0.001,1559715495.459
3,0.011,1559715495.58
4,0.028,1559715495.701
5,0.057,1559715495.808
6,0.093,1559715495.927
7,0.125,1559715496.048
8,0.167,1559715496.17
9,0.211,1559715496.276
10,0.271,1559715496.447
11,0.303,1559715496.567
12,0.344,1559715496.674
13,0.382,1559715496.793
14,0.412,1559715496.914
15,0.449,1559715497.021
16,0.486,1559715497.139
17,0.516,1559715497.26
18,0.551,1559715497.367
19,0.588,1559715497.486
20,0.619,1559715497.607
21,0.655,1559715497.713
22,0.692,1559715497.832
23,0.722,1559715497.953
24,0.76,1559715498.06
25,0.804,1559715498.209
26,0.84,1559715498.328
27,0.87,1559715498.448
28,0.908,1559715498.555
29,0.945,1559715498.674
30,0.975,1559715498.795
31,1.012,1559715498.915
32,1.05,1559715499.022
33,1.077,1559715499.141
34,1.104,1559715499.248
35,1.099,1559715500.506
36,1.098,1559715500.627
37,1.097,1559715500.753
38,1.093,1559715500.828
39,1.081,1559715500.927
40,1.063,1559715501.025
41,1.038,1559715501.124
42,1.007,1559715501.223
43,0.975,1559715501.323
44,0.94,1559715501.422
45,0.905,1559715501.52
46,0.862,1559715501.647
47,0.837,1559715501.719
48,0.804,1559715501.82
49,0.772,1559715501.92
50,0.741,1559715502.035
51,0.71,1559715502.136
52,0.68,1559715502.236
53,0.643,1559715502.337
54,0.614,1559715502.436
55,0.578,1559715502.56
56,0.555,1559715502.634
57,0.526,1559715502.733
58,0.496,1559715502.832
59,0.466,1559715502.931
60,0.437,1559715503.03
61,0.408,1559715503.129
62,0.378,1559715503.228
63,0.349,1559715503.328
64,0.303,1559715503.478
65,0.288,1559715503.529
66,0.259,1559715503.644
67,0.229,1559715503.745
68,0.199,1559715503.845
69,0.161,1559715503.946
70,0.132,1559715504.045
71,0.104,1559715504.144
72,0.074,1559715504.241
73,0.035,1559715504.385
74,0.017,1559715504.439
75,-0.005,1559715504.538
