,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
59,+4.64640800E-05,1559293392.802,+1.57711270E+00,,2.7848980284775468e-05,5.147859113300492e-05
60,+4.65141800E-05,1559293393.0103333,+1.57711520E+00,,2.7844106243154438e-05,5.147987192118227e-05
61,+4.65001600E-05,1559293393.2186668,+1.57711390E+00,,2.7844395399780944e-05,5.147987192118227e-05
62,+4.64567400E-05,1559293393.427,+1.57711270E+00,,3.0024357064622125e-05,5.148089655172414e-05
63,+4.64627600E-05,1559293393.6353333,+1.57711270E+00,,3.0025529025191673e-05,5.148320197044335e-05
64,+4.64113300E-05,1559293393.8436668,+1.57710650E+00,,3.002583242059146e-05,5.1480128078817736e-05
65,+4.63846200E-05,1559293394.052,+1.57710770E+00,,3.0026396495071198e-05,5.1480384236453203e-05
66,+4.63225100E-05,1559293394.2603333,+1.57711020E+00,,3.0026757940854326e-05,5.148128078817734e-05
67,+4.61589000E-05,1559293394.4686668,+1.57710770E+00,,3.0026946330777656e-05,5.1483458128078816e-05
68,+4.61829300E-05,1559293394.677,+1.57710650E+00,,3.002733734939759e-05,5.148576354679803e-05
69,+4.62437200E-05,1559293394.8853333,+1.57710280E+00,,3.0027929901423874e-05,5.14860197044335e-05
70,+4.61983000E-05,1559293395.0936668,+1.57710770E+00,,3.002832092004381e-05,5.148499507389163e-05
71,+4.61755900E-05,1559293395.302,+1.57710400E+00,,3.0028668127053667e-05,5.148422660098522e-05
72,+4.62904600E-05,1559293395.5103333,+1.57710030E+00,,3.0028668127053667e-05,5.148691625615764e-05
73,+4.62243400E-05,1559293395.7186668,+1.57709900E+00,,3.002868236582694e-05,5.148473891625616e-05
74,+4.61522200E-05,1559293395.927,+1.57709280E+00,,3.0029015334063524e-05,5.148320197044335e-05
75,+4.62564000E-05,1559293399.648,+1.57710280E+00,,3.1339733844468787e-05,5.148166502463055e-05
76,+4.60987900E-05,1559293399.8563333,+1.57710520E+00,,3.214520920043811e-05,5.1480640394088664e-05
77,+4.61241800E-05,1559293400.0646667,+1.57710150E+00,,3.214549835706462e-05,5.148179310344827e-05
78,+4.62143300E-05,1559293400.273,+1.57710520E+00,,3.348850930996714e-05,5.1479615763546793e-05
79,+4.61649100E-05,1559293400.4813333,+1.57710520E+00,,3.423354764512596e-05,5.148499507389163e-05
80,+4.61695900E-05,1559293400.6896667,+1.57710150E+00,,3.423402409638554e-05,5.148499507389163e-05
81,+4.61402000E-05,1559293400.898,+1.57710400E+00,,3.5835751369112814e-05,5.148192118226601e-05
82,+4.60346800E-05,1559293401.1063333,+1.57710650E+00,,3.641388499452355e-05,5.1480128078817736e-05
83,+4.61001300E-05,1559293401.3146667,+1.57710770E+00,,3.64139726177437e-05,5.1484098522167486e-05
84,+4.61395300E-05,1559293401.523,+1.57711020E+00,,3.802288718510405e-05,5.148217733990148e-05
85,+4.62804300E-05,1559293401.7313333,+1.57710770E+00,,3.8530457831325306e-05,5.1479615763546793e-05
86,+4.61849500E-05,1559293401.9396667,+1.57711020E+00,,3.853135487404162e-05,5.148115270935961e-05
87,+4.61448700E-05,1559293402.148,+1.57710400E+00,,4.030506571741511e-05,5.148192118226601e-05
88,+4.62944600E-05,1559293402.3563333,+1.57710400E+00,,4.061698904709748e-05,5.148320197044335e-05
89,+4.61615600E-05,1559293402.5646667,+1.57710280E+00,,4.061748083242059e-05,5.148217733990148e-05
90,+4.61522200E-05,1559293402.773,+1.57710400E+00,,4.0617711938663744e-05,5.1480640394088664e-05
91,+4.61622400E-05,1559293402.9813333,+1.57710650E+00,,4.061768236582694e-05,5.1479103448275865e-05
92,+4.61388500E-05,1559293403.1896667,+1.57711020E+00,,4.0617537787513694e-05,5.148422660098522e-05
93,+4.62043200E-05,1559293403.398,+1.57710400E+00,,4.0617914567360355e-05,5.148448275862069e-05
