,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
63,-3.08519000E-05,1559284820.7883332,+1.56764120E+00,0.0084131575,1.4507338444687843e-08,4.9310768472906404e-05
64,-3.01779000E-05,1559284820.9966667,+1.56763870E+00,0.0084126274,1.4771960569550933e-08,4.931e-05
65,-3.25201000E-05,1559284821.205,+1.56764120E+00,0.008412431,1.4507338444687843e-08,4.931333004926108e-05
66,-3.21531000E-05,1559284821.4133332,+1.56764610E+00,0.0084121902,1.496276013143483e-08,4.931435467980295e-05
67,-3.00177000E-05,1559284821.6216667,+1.56765110E+00,0.008411969,1.470974808324206e-08,4.9314098522167484e-05
68,-2.91167000E-05,1559284821.83,+1.56768210E+00,0.0084113499,1.476473165388828e-08,4.931614778325123e-05
69,-3.02845000E-05,1559284822.0383332,+1.56767590E+00,0.0084114611,1.47039430449069e-08,4.931294581280788e-05
70,-3.10187000E-05,1559284822.2466667,+1.56767830E+00,0.0084113355,1.4654764512595837e-08,4.931102463054187e-05
71,-2.96305000E-05,1559284822.455,+1.56767590E+00,0.0084113499,1.459408543263965e-08,4.931435467980295e-05
72,-3.05448000E-05,1559284822.6633332,+1.56768080E+00,0.0084113198,1.4562212486308872e-08,4.931204926108374e-05
73,-3.11722000E-05,1559284822.8716667,+1.56768210E+00,0.008411198,1.4583899233296823e-08,4.931448275862069e-05
74,-3.21065000E-05,1559284823.08,+1.56768450E+00,0.0084112098,1.4542059145673604e-08,4.930590147783251e-05
75,-3.06382000E-05,1559284826.68,+1.56768580E+00,0.0084112255,1.4495728368017526e-08,4.931128078817734e-05
76,-3.20664000E-05,1559284826.8883333,+1.56763120E+00,0.009440665400000001,1.4636035049288062e-08,4.9313842364532023e-05
77,-3.19530000E-05,1559284827.0966668,+1.56762880E+00,0.009440876099999999,1.4617196056955092e-08,4.9314098522167484e-05
78,-3.27871000E-05,1559284827.305,+1.56762880E+00,0.009440775299999999,1.4625848849945238e-08,4.931422660098522e-05
79,-3.20864000E-05,1559284827.5133333,+1.56762880E+00,0.0094408015,1.4680832420591457e-08,4.9313842364532023e-05
80,-3.17393000E-05,1559284827.7216668,+1.56763250E+00,0.0094407439,1.4738663745892661e-08,4.93156354679803e-05
81,-3.20264000E-05,1559284827.93,+1.56763500E+00,0.0095091771,1.477776560788609e-08,4.9314866995073894e-05
