,MAG_CURR(A),timestamp
0,0.0,1559712305.43
1,0.0,1559712305.579
2,0.0,1559712305.7
3,0.0,1559712305.807
4,0.002,1559712305.926
5,0.004,1559712306.047
6,0.007,1559712306.154
7,0.009,1559712306.273
8,0.01,1559712306.395
9,0.015,1559712306.516
10,0.017,1559712306.623
11,0.021,1559712306.743
12,0.022,1559712306.864
13,0.024,1559712306.985
14,0.026,1559712307.092
15,0.03,1559712307.213
16,0.034,1559712307.362
17,0.036,1559712307.483
18,0.038,1559712307.604
19,0.04,1559712307.711
20,0.042,1559712307.832
21,0.044,1559712307.953
22,0.046,1559712308.074
23,0.049,1559712308.181
24,0.05,1559712308.301
25,0.053,1559712308.422
26,0.057,1559712308.529
27,0.06,1559712308.693
28,0.062,1559712308.8
29,0.063,1559712308.921
30,0.065,1559712309.042
31,0.069,1559712309.148
32,0.07,1559712309.267
33,0.072,1559712309.388
34,0.075,1559712309.495
35,0.078,1559712309.614
36,0.08,1559712309.735
37,0.082,1559712309.841
38,0.084,1559712309.99
39,0.088,1559712310.109
40,0.09,1559712310.23
41,0.092,1559712310.337
42,0.095,1559712310.454
43,0.1,1559712314.021
44,0.1,1559712314.141
45,0.1,1559712314.242
46,0.1,1559712314.342
47,0.099,1559712314.441
48,0.097,1559712314.54
49,0.096,1559712314.639
50,0.094,1559712314.738
51,0.091,1559712314.837
52,0.088,1559712314.936
53,0.086,1559712315.056
54,0.083,1559712315.134
55,0.082,1559712315.233
56,0.081,1559712315.334
57,0.079,1559712315.435
58,0.076,1559712315.535
59,0.074,1559712315.65
60,0.073,1559712315.751
61,0.069,1559712315.851
62,0.067,1559712315.977
63,0.064,1559712316.05
64,0.063,1559712316.149
65,0.061,1559712316.248
66,0.058,1559712316.347
67,0.057,1559712316.445
68,0.056,1559712316.545
69,0.054,1559712316.644
70,0.052,1559712316.743
71,0.049,1559712316.872
72,0.049,1559712316.942
73,0.047,1559712317.044
74,0.044,1559712317.159
75,0.041,1559712317.259
76,0.039,1559712317.36
77,0.038,1559712317.46
78,0.036,1559712317.56
79,0.035,1559712317.658
80,0.032,1559712317.759
81,0.03,1559712317.857
82,0.028,1559712317.956
83,0.026,1559712318.055
84,0.024,1559712318.153
85,0.021,1559712318.252
86,0.019,1559712318.351
87,0.017,1559712318.452
88,0.015,1559712318.552
89,0.013,1559712318.674
90,0.012,1559712318.768
91,0.009,1559712318.868
92,0.007,1559712318.969
93,0.006,1559712319.067
94,0.004,1559712319.167
