,MAG_CURR(A),timestamp
0,0.001,1559714818.724
1,0.0,1559714818.828
2,0.002,1559714818.949
3,0.008,1559714819.07
4,0.038,1559714819.223
5,0.063,1559714819.344
6,0.099,1559714819.45
7,0.144,1559714819.568
8,0.186,1559714819.693
9,0.221,1559714819.814
10,0.263,1559714819.935
11,0.303,1559714820.042
12,0.344,1559714820.162
13,0.374,1559714820.283
14,0.412,1559714820.39
15,0.448,1559714820.509
16,0.477,1559714820.63
17,0.516,1559714820.751
18,0.553,1559714820.858
19,0.588,1559714820.979
20,0.618,1559714821.1
21,0.655,1559714821.207
22,0.691,1559714821.325
23,0.721,1559714821.447
24,0.759,1559714821.568
25,0.797,1559714821.675
26,0.833,1559714821.796
27,0.878,1559714821.944
28,0.907,1559714822.063
29,0.944,1559714822.17
30,0.98,1559714822.289
31,1.004,1559714822.408
32,0.999,1559714824.246
33,0.999,1559714824.397
34,0.999,1559714824.468
35,0.994,1559714824.568
36,0.982,1559714824.667
37,0.963,1559714824.766
38,0.938,1559714824.865
39,0.907,1559714824.964
40,0.873,1559714825.063
41,0.839,1559714825.162
42,0.787,1559714825.311
43,0.769,1559714825.36
44,0.737,1559714825.459
45,0.705,1559714825.559
46,0.672,1559714825.66
47,0.642,1559714825.761
48,0.612,1559714825.877
49,0.582,1559714825.977
50,0.544,1559714826.077
51,0.507,1559714826.204
52,0.484,1559714826.275
53,0.455,1559714826.374
54,0.426,1559714826.473
55,0.396,1559714826.572
56,0.366,1559714826.672
57,0.338,1559714826.77
58,0.309,1559714826.869
59,0.279,1559714826.968
60,0.249,1559714827.067
61,0.217,1559714827.169
62,0.186,1559714827.269
63,0.158,1559714827.384
64,0.129,1559714827.486
65,0.092,1559714827.592
66,0.063,1559714827.684
67,0.034,1559714827.783
68,0.008,1559714827.883
69,-0.012,1559714827.981
