,MAG_CURR(A),timestamp
0,0.001,1559716149.866
1,0.0,1559716149.984
2,0.0,1559716150.089
3,0.011,1559716150.252
4,0.031,1559716150.359
5,0.063,1559716150.479
6,0.092,1559716150.6
7,0.133,1559716150.707
8,0.178,1559716150.826
9,0.213,1559716150.947
10,0.254,1559716151.054
11,0.295,1559716151.172
12,0.327,1559716151.294
13,0.367,1559716151.415
14,0.411,1559716151.563
15,0.449,1559716151.67
16,0.486,1559716151.791
17,0.515,1559716151.912
18,0.551,1559716152.019
19,0.589,1559716152.138
20,0.618,1559716152.259
21,0.655,1559716152.38
22,0.692,1559716152.487
23,0.73,1559716152.608
24,0.759,1559716152.729
25,0.796,1559716152.836
26,0.833,1559716152.954
27,0.864,1559716153.075
28,0.901,1559716153.182
29,0.936,1559716153.301
30,0.966,1559716153.422
31,1.004,1559716153.528
32,1.042,1559716153.648
33,1.072,1559716153.769
34,1.108,1559716153.89
35,1.146,1559716153.997
36,1.182,1559716154.118
37,1.226,1559716154.267
38,1.256,1559716154.387
39,1.293,1559716154.494
40,1.332,1559716154.612
41,1.362,1559716154.733
42,1.396,1559716154.84
43,1.436,1559716154.958
44,1.465,1559716155.078
45,1.495,1559716155.185
46,1.5,1559716156.37
47,1.498,1559716156.49
48,1.498,1559716156.591
49,1.492,1559716156.692
50,1.481,1559716156.791
51,1.463,1559716156.889
52,1.437,1559716156.988
53,1.406,1559716157.087
54,1.366,1559716157.212
55,1.339,1559716157.286
56,1.305,1559716157.385
57,1.27,1559716157.484
58,1.237,1559716157.582
59,1.204,1559716157.683
60,1.173,1559716157.784
61,1.141,1559716157.899
62,1.11,1559716157.999
63,1.072,1559716158.124
64,1.051,1559716158.2
65,1.014,1559716158.301
66,0.984,1559716158.4
67,0.955,1559716158.499
68,0.926,1559716158.598
69,0.897,1559716158.697
70,0.867,1559716158.797
71,0.837,1559716158.896
72,0.799,1559716159.02
73,0.778,1559716159.094
74,0.749,1559716159.192
75,0.719,1559716159.293
76,0.689,1559716159.393
77,0.658,1559716159.493
78,0.628,1559716159.608
79,0.599,1559716159.709
80,0.569,1559716159.809
81,0.533,1559716159.91
82,0.503,1559716160.009
83,0.474,1559716160.108
84,0.444,1559716160.207
85,0.415,1559716160.306
86,0.377,1559716160.431
87,0.354,1559716160.504
88,0.324,1559716160.603
89,0.294,1559716160.702
90,0.265,1559716160.801
91,0.235,1559716160.902
92,0.205,1559716161.002
93,0.175,1559716161.102
94,0.146,1559716161.217
95,0.102,1559716161.365
96,0.079,1559716161.418
97,0.049,1559716161.517
98,0.021,1559716161.616
99,-0.002,1559716161.715
