,MAG_CURR(A),timestamp
0,0.0,1559715661.68
1,-0.002,1559715661.8
2,0.002,1559715661.907
3,0.011,1559715662.028
4,0.026,1559715662.148
5,0.057,1559715662.253
6,0.093,1559715662.374
7,0.126,1559715662.494
8,0.167,1559715662.6
9,0.212,1559715662.72
10,0.247,1559715662.84
11,0.287,1559715662.946
12,0.327,1559715663.066
13,0.359,1559715663.186
14,0.397,1559715663.292
15,0.434,1559715663.413
16,0.463,1559715663.533
17,0.501,1559715663.639
18,0.545,1559715663.788
19,0.581,1559715663.908
20,0.612,1559715664.028
21,0.648,1559715664.134
22,0.686,1559715664.254
23,0.715,1559715664.374
24,0.751,1559715664.48
25,0.804,1559715664.65
26,0.834,1559715664.77
27,0.87,1559715664.877
28,0.907,1559715664.997
29,0.936,1559715665.117
30,0.975,1559715665.223
31,1.012,1559715665.344
32,1.042,1559715665.464
33,1.08,1559715665.569
34,1.116,1559715665.688
35,1.145,1559715665.807
36,1.186,1559715665.958
37,1.21,1559715666.063
38,1.199,1559715667.894
39,1.201,1559715668.015
40,1.198,1559715668.116
41,1.19,1559715668.214
42,1.176,1559715668.314
43,1.153,1559715668.441
44,1.131,1559715668.511
45,1.099,1559715668.611
46,1.066,1559715668.71
47,1.031,1559715668.809
48,0.995,1559715668.909
49,0.962,1559715669.008
50,0.929,1559715669.107
51,0.897,1559715669.208
52,0.865,1559715669.308
53,0.834,1559715669.423
54,0.803,1559715669.524
55,0.773,1559715669.624
56,0.736,1559715669.725
57,0.7,1559715669.85
58,0.679,1559715669.924
59,0.648,1559715670.023
60,0.618,1559715670.121
61,0.589,1559715670.22
62,0.559,1559715670.32
63,0.529,1559715670.419
64,0.499,1559715670.517
65,0.47,1559715670.617
66,0.44,1559715670.716
67,0.41,1559715670.817
68,0.381,1559715670.918
69,0.352,1559715671.033
70,0.321,1559715671.133
71,0.284,1559715671.255
72,0.254,1559715671.334
73,0.225,1559715671.433
74,0.194,1559715671.532
75,0.164,1559715671.631
76,0.136,1559715671.73
77,0.106,1559715671.829
78,0.076,1559715671.926
79,0.046,1559715672.025
80,0.019,1559715672.146
81,-0.002,1559715672.225
