,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
35,+3.04028300E-05,1559380731.3063333,+1.57102510E+00,,1.7157652792990143e-05,4.87052118226601e-05
36,+3.03941400E-05,1559380731.5146668,+1.57102510E+00,,1.7158115005476453e-05,4.871071921182266e-05
37,+3.05631000E-05,1559380731.723,+1.57102880E+00,,1.8403393209200436e-05,4.8711615763546795e-05
38,+3.05764700E-05,1559380731.9313333,+1.57102630E+00,,1.9252626506024097e-05,4.861079802955665e-05
39,+3.04522400E-05,1559380732.1396668,+1.57102380E+00,,1.9252901423877326e-05,4.864628571428571e-05
40,+3.04716100E-05,1559380732.348,+1.57102630E+00,,1.9253479737130338e-05,4.867228571428572e-05
41,+3.15568200E-05,1559380732.5563333,+1.57102140E+00,,1.9253856516977e-05,4.869137931034483e-05
42,+3.05811300E-05,1559380732.7646668,+1.57102260E+00,,1.9253798466593645e-05,4.869522167487685e-05
43,+3.11454600E-05,1559380732.973,+1.57102260E+00,,1.9254145673603506e-05,4.8696246305418724e-05
44,+2.99694100E-05,1559380733.1813333,+1.57102750E+00,,1.9254232201533408e-05,4.870546798029557e-05
45,+3.04375400E-05,1559380733.3896668,+1.57102750E+00,,1.9254608981380066e-05,4.870495566502463e-05
46,+3.04435700E-05,1559380733.598,+1.57102510E+00,,1.925473822562979e-05,4.870469950738916e-05
47,+3.04515700E-05,1559380733.8063333,+1.57101760E+00,,1.925481051478642e-05,4.87044433497537e-05
48,+3.05243600E-05,1559380734.0146668,+1.57101890E+00,,1.9255432639649506e-05,4.86988078817734e-05
49,+3.04248600E-05,1559380734.223,+1.57102510E+00,,1.9255621029572837e-05,4.862411822660099e-05
50,+3.05090000E-05,1559380737.823,+1.57102010E+00,,1.9489732749178533e-05,4.868574384236453e-05
51,+3.06672800E-05,1559380738.0313332,+1.57102010E+00,,2.1351682365826945e-05,4.868933004926109e-05
52,+3.05858100E-05,1559380738.2396667,+1.57101890E+00,,2.1352101861993427e-05,4.869496551724138e-05
53,+3.06559300E-05,1559380738.448,+1.57101520E+00,,2.179871412924425e-05,4.8691891625615766e-05
54,+3.04682800E-05,1559380738.6563332,+1.57101390E+00,,2.354363526834611e-05,4.869406896551724e-05
55,+3.06933300E-05,1559380738.8646667,+1.57101270E+00,,2.3544546549835707e-05,4.869342857142857e-05
56,+3.07801500E-05,1559380739.073,+1.57101140E+00,,2.4031387732749178e-05,4.869470935960591e-05
57,+3.08222200E-05,1559380739.2813332,+1.57101270E+00,,2.5639711938663746e-05,4.8696246305418724e-05
58,+3.07921800E-05,1559380739.4896667,+1.57101520E+00,,2.563995837897043e-05,4.8697783251231524e-05
59,+3.09037000E-05,1559380739.698,+1.57100900E+00,,2.7828989047097482e-05,4.869266009852217e-05
60,+3.08736300E-05,1559380739.9063332,+1.57101140E+00,,2.7820874041621026e-05,4.869368472906404e-05
61,+3.08656200E-05,1559380740.1146667,+1.57101640E+00,,2.782084556407448e-05,4.8695477832512314e-05
62,+3.07193800E-05,1559380740.323,+1.57101520E+00,,2.9997726177437024e-05,4.869637438423646e-05
63,+3.09731500E-05,1559380740.5313332,+1.57102380E+00,,2.9998695509309965e-05,4.86988078817734e-05
64,+3.09457700E-05,1559380740.7396667,+1.57102260E+00,,2.9999071193866373e-05,4.8698295566502466e-05
65,+3.09023700E-05,1559380740.948,+1.57101760E+00,,2.9999143483023e-05,4.869368472906404e-05
66,+3.09578000E-05,1559380741.1563332,+1.57101390E+00,,2.9999591456736034e-05,4.8693556650246306e-05
67,+3.10032000E-05,1559380741.3646667,+1.57101390E+00,,3.0000315443592553e-05,4.869368472906404e-05
68,+3.10539500E-05,1559380741.573,+1.57101270E+00,,3.0000430449069005e-05,4.869650246305419e-05
69,+3.10085400E-05,1559380741.7813332,+1.57102010E+00,,3.000040197152245e-05,4.8698551724137934e-05
70,+3.10085400E-05,1559380741.9896667,+1.57101760E+00,,3.000090799561884e-05,4.869906403940886e-05
71,+3.09190500E-05,1559380742.198,+1.57101760E+00,,3.0001501642935375e-05,4.8698551724137934e-05
72,+3.09157200E-05,1559380742.4063332,+1.57101890E+00,,3.000142935377875e-05,4.869983251231527e-05
73,+3.08876700E-05,1559380742.6146667,+1.57102140E+00,,3.0001848849945232e-05,4.8703931034482756e-05
74,+3.09163800E-05,1559380742.823,+1.57102140E+00,,3.0002282584884995e-05,4.870111330049262e-05
75,+3.08362400E-05,1559380746.544,+1.57102010E+00,,3.130443811610076e-05,4.859952709359606e-05
76,+3.09023600E-05,1559380746.7523332,+1.57102380E+00,,3.211546768893757e-05,4.858401970443349e-05
77,+3.09337500E-05,1559380746.9606667,+1.57102140E+00,,3.2116031763417304e-05,4.858658128078818e-05
78,+3.09297500E-05,1559380747.169,+1.57102380E+00,,3.346333844468784e-05,4.8585044334975364e-05
79,+3.10466200E-05,1559380747.3773332,+1.57102010E+00,,3.420153450164293e-05,4.8584532019704436e-05
80,+3.09370900E-05,1559380747.5856667,+1.57102260E+00,,3.4201650602409634e-05,4.8589280788177335e-05
81,+3.09858400E-05,1559380747.794,+1.57101760E+00,,3.580998795180723e-05,4.8589408866995076e-05
82,+3.09971900E-05,1559380748.0023332,+1.57102010E+00,,3.6379384446878424e-05,4.85932512315271e-05
83,+3.11167400E-05,1559380748.2106667,+1.57102140E+00,,3.6379761226725086e-05,4.858889655172414e-05
84,+3.12389500E-05,1559380748.419,+1.57102260E+00,,3.800376451259584e-05,4.858889655172414e-05
85,+3.11861800E-05,1559380748.6273332,+1.57102380E+00,,3.84938017524644e-05,4.859017733990147e-05
86,+3.11654800E-05,1559380748.8356667,+1.57102630E+00,,3.8494293537787516e-05,4.859017733990147e-05
87,+3.12623200E-05,1559380749.044,+1.57102260E+00,,4.015446111719606e-05,4.8587862068965516e-05
88,+3.12549800E-05,1559380749.2523332,+1.57102380E+00,,4.057771412924425e-05,4.858734975369458e-05
