,MAG_CURR(A),timestamp
0,-0.001,1559714751.534
1,0.001,1559714751.652
2,0.001,1559714751.773
3,0.008,1559714751.88
4,0.028,1559714751.999
5,0.049,1559714752.12
6,0.083,1559714752.241
7,0.126,1559714752.348
8,0.169,1559714752.469
9,0.203,1559714752.591
10,0.244,1559714752.712
11,0.288,1559714752.819
12,0.327,1559714752.94
13,0.359,1559714753.061
14,0.397,1559714753.182
15,0.441,1559714753.314
16,0.478,1559714753.434
17,0.508,1559714753.556
18,0.544,1559714753.677
19,0.582,1559714753.784
20,0.618,1559714753.904
21,0.647,1559714754.025
22,0.685,1559714754.132
23,0.723,1559714754.252
24,0.753,1559714754.373
25,0.788,1559714754.479
26,0.826,1559714754.598
27,0.855,1559714754.719
28,0.893,1559714754.84
29,0.929,1559714754.947
30,0.973,1559714755.09
31,0.996,1559714755.197
32,1.001,1559714757.87
33,0.0,1559714757.988
