,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
64,+4.76514600E-05,1559360719.3556666,,3.0034396495071192e-05
65,+4.76514500E-05,1559360719.564,,3.0034352683461114e-05
66,+4.76434500E-05,1559360719.7723331,,3.003516319824754e-05
67,+4.76394400E-05,1559360719.9806666,,3.0035018619934282e-05
68,+4.76167300E-05,1559360720.189,,3.0035336254107335e-05
69,+4.76741700E-05,1559360720.3973331,,3.0035538882803943e-05
70,+4.76247500E-05,1559360720.6056666,,3.0035857612267253e-05
71,+4.76027100E-05,1559360720.814,,3.0035654983570645e-05
72,+4.76327500E-05,1559360721.0223331,,3.0036088718510408e-05
73,+4.75840200E-05,1559360721.2306666,,3.0036464403066812e-05
74,+4.76073900E-05,1559360721.439,,3.0036696604600218e-05
75,+4.75619600E-05,1559360725.128,,3.061075027382256e-05
76,+4.75359300E-05,1559360725.3363333,,3.21524852135816e-05
77,+4.75419400E-05,1559360725.5446668,,3.215291894852136e-05
78,+4.74951800E-05,1559360725.753,,3.277478751369113e-05
79,+4.75125500E-05,1559360725.9613333,,3.424047645125959e-05
80,+4.75239000E-05,1559360726.1696668,,3.4240591456736036e-05
81,+4.75045400E-05,1559360726.378,,3.5086890470974805e-05
82,+4.75085300E-05,1559360726.5863333,,3.6420843373493974e-05
83,+4.74684700E-05,1559360726.7946668,,3.6421652792990144e-05
84,+4.74564500E-05,1559360727.003,,3.729885104052574e-05
85,+4.74471000E-05,1559360727.2113333,,3.85382552026287e-05
86,+4.74464400E-05,1559360727.4196668,,3.8538877327491786e-05
87,+4.74738200E-05,1559360727.628,,3.959267360350493e-05
88,+4.74377400E-05,1559360727.8363333,,4.0623830230010954e-05
89,+4.74751500E-05,1559360728.0446668,,4.062397590361446e-05
90,+4.74871800E-05,1559360728.253,,4.062374370208105e-05
91,+4.74811600E-05,1559360728.4613333,,4.062397590361446e-05
92,+4.74898400E-05,1559360728.6696668,,4.062414895947426e-05
93,+4.74965200E-05,1559360728.878,,4.062443811610076e-05
94,+4.74798300E-05,1559360729.0863333,,4.062455421686747e-05
95,+4.74664700E-05,1559360729.2946668,,4.0624829134720696e-05
96,+4.75032000E-05,1559360729.503,,4.062467031763417e-05
97,+4.74778200E-05,1559360729.7113333,,4.06247995618839e-05
98,+4.75098800E-05,1559360729.9196668,,4.062501642935378e-05
99,+4.74718200E-05,1559360730.128,,4.062487185104052e-05
100,+4.74063600E-05,1559360733.665,,4.196105038335159e-05
101,+4.73890100E-05,1559360733.8733332,,4.274280722891566e-05
102,+4.73896700E-05,1559360734.0816667,,4.274296604600219e-05
103,+4.73870000E-05,1559360734.29,,4.431241730558598e-05
104,+4.73809900E-05,1559360734.4983332,,4.492324644030668e-05
105,+4.73890000E-05,1559360734.7066667,,4.492334720700986e-05
106,+4.73516100E-05,1559360734.915,,4.650284008762322e-05
107,+4.73155400E-05,1559360735.1233332,,4.7038762322015333e-05
108,+4.73502600E-05,1559360735.3316667,,4.7039023001095286e-05
