,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
32,+4.74478000E-05,1559364505.0733333,,1.718102847754655e-05,4.852099507389162e-05
33,+4.74751800E-05,1559364505.2816668,,1.7181116100766703e-05,4.8521251231527096e-05
34,+4.75139200E-05,1559364505.49,,1.8296881708652794e-05,4.851753694581281e-05
35,+4.74925400E-05,1559364505.6983333,,1.9278389923329682e-05,4.852099507389162e-05
36,+4.75025600E-05,1559364505.9066668,,1.9278606790799563e-05,4.852291625615763e-05
37,+4.75506400E-05,1559364506.115,,2.058229682365827e-05,4.851702463054188e-05
38,+4.75219300E-05,1559364506.3233333,,2.1377836801752466e-05,4.851984236453202e-05
39,+4.75052200E-05,1559364506.5316668,,2.1378024096385543e-05,4.851958620689655e-05
40,+4.75038900E-05,1559364506.74,,2.1378256297918948e-05,4.8518817733990146e-05
41,+4.75018900E-05,1559364506.9483333,,2.1378270536692225e-05,4.8521507389162564e-05
42,+4.75038900E-05,1559364507.1566668,,2.13783713033954e-05,4.8525862068965516e-05
43,+4.74464700E-05,1559364507.365,,2.1378515881708653e-05,4.852099507389162e-05
44,+4.74184100E-05,1559364507.5733333,,2.1378631982475356e-05,4.852086699507389e-05
45,+4.74411300E-05,1559364507.7816668,,2.137877656078861e-05,4.852330049261084e-05
46,+4.74872100E-05,1559364507.99,,2.137893537787514e-05,4.852009852216749e-05
47,+4.74397900E-05,1559364508.1983333,,2.1378848849945237e-05,4.851856157635468e-05
48,+4.74003800E-05,1559364508.4066668,,2.1378762322015335e-05,4.85224039408867e-05
49,+4.74524800E-05,1559364508.615,,2.1378646221248633e-05,4.852342857142857e-05
50,+4.74324500E-05,1559364512.197,,2.190563307776561e-05,4.851958620689655e-05
51,+4.73903700E-05,1559364512.4053333,,2.3573001095290253e-05,4.8521251231527096e-05
52,+4.74077200E-05,1559364512.6136668,,2.3573507119386637e-05,4.8522147783251234e-05
53,+4.73990500E-05,1559364512.822,,2.4262047097480832e-05,4.851958620689655e-05
54,+4.73382800E-05,1559364513.0303333,,2.5670900328587074e-05,4.852137931034483e-05
55,+4.73563000E-05,1559364513.2386668,,2.5671464403066813e-05,4.85216354679803e-05
56,+4.72895300E-05,1559364513.447,,2.7862780941949615e-05,4.852470935960591e-05
57,+4.73316000E-05,1559364513.6553333,,2.7856054764512595e-05,4.85224039408867e-05
58,+4.72467900E-05,1559364513.8636668,,2.78563439211391e-05,4.8521763546798025e-05
59,+4.72708300E-05,1559364514.072,,3.0036117196056955e-05,4.851984236453202e-05
60,+4.72300900E-05,1559364514.2803333,,3.0037853231106242e-05,4.852291625615763e-05
61,+4.72240800E-05,1559364514.4886668,,3.0038316538882805e-05,4.852137931034483e-05
62,+4.72100500E-05,1559364514.697,,3.215384556407448e-05,4.852342857142857e-05
63,+4.72060500E-05,1559364514.9053333,,3.215443811610076e-05,4.8523044334975364e-05
64,+4.71739900E-05,1559364515.1136668,,3.215540744797371e-05,4.8523172413793105e-05
65,+4.71325900E-05,1559364515.322,,3.215543702081052e-05,4.851907389162562e-05
66,+4.71245700E-05,1559364515.5303333,,3.2155552026286966e-05,4.8523812807881774e-05
67,+4.71045400E-05,1559364515.7386668,,3.215592880613362e-05,4.852112315270936e-05
68,+4.70464400E-05,1559364515.947,,3.215601533406353e-05,4.852663054187192e-05
69,+4.70183800E-05,1559364516.1553333,,3.215623220153341e-05,4.8524197044334976e-05
70,+4.69703100E-05,1559364516.3636668,,3.2156463307776565e-05,4.85216354679803e-05
71,+4.70197300E-05,1559364516.572,,3.215636254107338e-05,4.851958620689655e-05
72,+4.69182000E-05,1559364516.7803333,,3.215657940854327e-05,4.8523172413793105e-05
73,+4.68874900E-05,1559364516.9886668,,3.215692661555312e-05,4.852112315270936e-05
74,+4.69142000E-05,1559364517.197,,3.2156984665936477e-05,4.851984236453202e-05
75,+4.67385700E-05,1559364520.919,,3.362729244249726e-05,4.851958620689655e-05
76,+4.67712900E-05,1559364521.1273332,,3.424566922234392e-05,4.8523172413793105e-05
77,+4.68033500E-05,1559364521.3356667,,3.424629134720701e-05,4.8519458128078816e-05
78,+4.67873100E-05,1559364521.544,,3.5970455640744796e-05,4.8521251231527096e-05
79,+4.67853300E-05,1559364521.7523332,,3.642651369112815e-05,4.851702463054188e-05
80,+4.68013500E-05,1559364521.9606667,,3.642683242059146e-05,4.852035467980296e-05
81,+4.68407500E-05,1559364522.169,,3.815511829134721e-05,4.8522147783251234e-05
82,+4.68207200E-05,1559364522.3773332,,3.8543694414019715e-05,4.8515999999999994e-05
83,+4.68207000E-05,1559364522.5856667,,3.854409857612267e-05,4.8521507389162564e-05
84,+4.68033500E-05,1559364522.794,,4.029787623220153e-05,4.8524197044334976e-05
85,+4.68721300E-05,1559364523.0023332,,4.063035487404162e-05,4.852086699507389e-05
86,+4.68561100E-05,1559364523.2106667,,4.063028258488499e-05,4.8520226600985226e-05
87,+4.68661200E-05,1559364523.419,,4.2598815991237674e-05,4.851907389162562e-05
88,+4.68788200E-05,1559364523.6273332,,4.274934501642935e-05,4.851971428571428e-05
89,+4.68955100E-05,1559364523.8356667,,4.274950492880614e-05,4.851395073891625e-05
90,+4.69155400E-05,1559364524.044,,4.274933077765608e-05,4.8522147783251234e-05
91,+4.69242300E-05,1559364524.2523332,,4.274918619934282e-05,4.852035467980296e-05
92,+4.69055300E-05,1559364524.4606667,,4.274908543263965e-05,4.852048275862069e-05
93,+4.69135400E-05,1559364524.669,,4.27494895947426e-05,4.852009852216749e-05
94,+4.69516000E-05,1559364524.8773332,,4.2749836801752464e-05,4.851856157635468e-05
95,+4.69302400E-05,1559364525.0856667,,4.27493165388828e-05,4.851753694581281e-05
96,+4.69175500E-05,1559364525.294,,4.274967798466594e-05,4.8518817733990146e-05
97,+4.69395800E-05,1559364525.5023332,,4.274977875136911e-05,4.851933004926109e-05
98,+4.68788100E-05,1559364525.7106667,,4.274947535596933e-05,4.851471921182266e-05
99,+4.68888300E-05,1559364525.919,,4.274941730558598e-05,4.851907389162562e-05
100,+4.68614500E-05,1559364529.557,,4.3793303395399785e-05,4.85224039408867e-05
101,+4.68601200E-05,1559364529.7653332,,4.493033406352683e-05,4.85171527093596e-05
102,+4.68781500E-05,1559364529.9736667,,4.493094194961665e-05,4.851753694581281e-05
103,+4.68621200E-05,1559364530.182,,4.612683461117196e-05,4.8522147783251234e-05
104,+4.68414200E-05,1559364530.3903332,,4.704705147864184e-05,4.8515487684729066e-05
105,+4.68467600E-05,1559364530.5986667,,4.704744249726177e-05,4.852227586206897e-05
106,+4.68788200E-05,1559364530.807,,4.827709857612267e-05,4.8521507389162564e-05
107,+4.68400700E-05,1559364531.0153332,,4.9132220153340636e-05,4.852009852216749e-05
108,+4.68781400E-05,1559364531.2236667,,4.9133030668127053e-05,4.851958620689655e-05
109,+4.68721400E-05,1559364531.432,,5.049708543263965e-05,4.851612807881773e-05
110,+4.68694700E-05,1559364531.6403332,,5.1346049288061336e-05,4.8524197044334976e-05
111,+4.69436000E-05,1559364531.8486667,,5.134672946330778e-05,4.852342857142857e-05
112,+4.69055300E-05,1559364532.057,,5.281318510405257e-05,4.851728078817734e-05
113,+4.69409200E-05,1559364532.2653332,,5.343042278203724e-05,4.852189162561576e-05
114,+4.69108700E-05,1559364532.4736667,,5.3431117196056954e-05,4.852086699507389e-05
115,+4.68895000E-05,1559364532.682,,5.343147864184009e-05,4.852061083743842e-05
116,+4.69001700E-05,1559364532.8903332,,5.343114567360351e-05,4.8514078817733986e-05
117,+4.68494300E-05,1559364533.0986667,,5.343136363636364e-05,4.851395073891625e-05
118,+4.68521000E-05,1559364533.307,,5.343129025191676e-05,4.851984236453202e-05
119,+4.68073600E-05,1559364533.5153332,,5.343075575027382e-05,4.851471921182266e-05
120,+4.68153700E-05,1559364533.7236667,,5.34310591456736e-05,4.852227586206897e-05
121,+4.68240400E-05,1559364533.932,,5.343094414019715e-05,4.8518817733990146e-05
122,+4.68046900E-05,1559364534.1403332,,5.343084227820372e-05,4.8517793103448275e-05
123,+4.68233900E-05,1559364534.3486667,,5.3430900328587076e-05,4.8513054187192115e-05
124,+4.67906600E-05,1559364534.557,,5.3430784227820366e-05,4.8515999999999994e-05
125,+4.67031700E-05,1559364538.158,,5.534408762322015e-05,4.851574384236453e-05
126,+4.67232200E-05,1559364538.3663332,,5.537069003285871e-05,4.851612807881773e-05
127,+4.67492600E-05,1559364538.5746667,,5.538253778751369e-05,4.851625615763547e-05
128,+4.67686200E-05,1559364538.783,,5.755387951807229e-05,4.8514463054187195e-05
129,+4.67973400E-05,1559364538.9913332,,5.755764074479737e-05,4.851190147783251e-05
130,+4.67719500E-05,1559364539.1996667,,5.755981051478642e-05,4.8513438423645324e-05
131,+4.67626200E-05,1559364539.408,,5.9665329682365824e-05,4.851241379310345e-05
132,+4.67719700E-05,1559364539.6163332,,5.966632858707557e-05,4.851471921182266e-05
133,+4.68113500E-05,1559364539.8246667,,5.966752902519167e-05,4.851100492610837e-05
134,+4.68066800E-05,1559364540.033,,6.177244797371303e-05,4.851420689655173e-05
135,+4.68260600E-05,1559364540.2413332,,6.177400985761227e-05,4.851228571428572e-05
136,+4.67966800E-05,1559364540.4496667,,6.177545673603506e-05,4.8516768472906404e-05
137,+4.68086900E-05,1559364540.658,,6.394425191675793e-05,4.8512669950738914e-05
138,+4.68534400E-05,1559364540.8663332,,6.394504709748083e-05,4.8513182266009856e-05
139,+4.68587800E-05,1559364541.0746667,,6.394636363636364e-05,4.8511389162561575e-05
140,+4.68447400E-05,1559364541.283,,6.394747754654983e-05,4.851228571428572e-05
141,+4.68100200E-05,1559364541.4913332,,6.394837458926616e-05,4.8512029556650244e-05
142,+4.68360800E-05,1559364541.6996667,,6.394950273822564e-05,4.85095960591133e-05
143,+4.68888300E-05,1559364541.908,,6.3950139101862e-05,4.850857142857143e-05
144,+4.68748100E-05,1559364542.1163332,,6.395039978094195e-05,4.8516512315270937e-05
