,SQUID_Volt(V),timestamp,MOD_CURR(A),SQUID_Curr(A)
45,+3.44873300E-05,1559357209.1326668,1.9261552026286967e-05,4.953918226600985e-05
46,+3.53047400E-05,1559357209.341,1.9261710843373493e-05,4.954097536945813e-05
47,+3.39844500E-05,1559357209.5493333,1.9262043811610077e-05,4.953969458128079e-05
48,+3.45080200E-05,1559357209.7576668,1.9262607886089816e-05,4.953995073891626e-05
49,+3.44739600E-05,1559357209.966,1.9263186199342825e-05,4.954071921182266e-05
50,+3.43216500E-05,1559357213.549,1.9702945235487405e-05,4.954020689655172e-05
51,+3.45440400E-05,1559357213.7573333,2.1359710843373493e-05,4.95412315270936e-05
52,+3.57641500E-05,1559357213.9656668,2.1361128148959476e-05,4.954328078817734e-05
53,+3.46943100E-05,1559357214.174,2.2058780941949618e-05,4.953918226600985e-05
54,+3.42174800E-05,1559357214.3823333,2.3553544359255202e-05,4.954187192118227e-05
55,+3.42715600E-05,1559357214.5906668,2.3554759036144578e-05,4.953892610837439e-05
56,+3.38354700E-05,1559357214.799,2.4319590361445783e-05,4.9539822660098525e-05
57,+3.38521700E-05,1559357215.0073333,2.5650315443592552e-05,4.954046305418719e-05
58,+3.37914100E-05,1559357215.2156668,2.5651386637458925e-05,4.9538413793103446e-05
59,+3.42261700E-05,1559357215.424,2.7846478641840088e-05,4.953918226600985e-05
60,+3.46776100E-05,1559357215.6323333,2.7838117196056953e-05,4.953995073891626e-05
61,+3.42228300E-05,1559357215.8406668,2.7838579408543263e-05,4.954046305418719e-05
62,+3.37546700E-05,1559357216.049,3.0014708652792993e-05,4.953918226600985e-05
63,+3.41720700E-05,1559357216.2573333,3.0016169769989047e-05,4.954148768472906e-05
64,+3.48031600E-05,1559357216.4656668,3.001713910186199e-05,4.954071921182266e-05
65,+3.38728800E-05,1559357216.674,3.0018122672508212e-05,4.954148768472906e-05
66,+3.45006300E-05,1559357216.8823333,3.0018295728368015e-05,4.95412315270936e-05
67,+3.43390200E-05,1559357217.0906668,3.001858488499452e-05,4.954161576354679e-05
68,+3.39897500E-05,1559357217.299,3.0019366922234392e-05,4.953931034482758e-05
69,+3.44639100E-05,1559357217.5073333,3.0019684556407452e-05,4.95412315270936e-05
70,+3.47236900E-05,1559357217.7156668,3.001946768893757e-05,4.9544561576354685e-05
71,+3.32264300E-05,1559357217.924,3.002061007667032e-05,4.954174384236453e-05
72,+3.40304800E-05,1559357218.1323333,3.002023439211391e-05,4.954148768472906e-05
73,+3.40571900E-05,1559357218.3406668,3.0020928806133625e-05,4.954071921182266e-05
74,+3.36418200E-05,1559357218.549,3.002147864184009e-05,4.953995073891626e-05
75,+3.39049400E-05,1559357222.27,3.143853450164294e-05,4.953790147783251e-05
76,+3.35663500E-05,1559357222.4783332,3.2133391018619934e-05,4.953713300492611e-05
77,+3.41981100E-05,1559357222.6866667,3.213389704271632e-05,4.9537389162561575e-05
78,+3.44946300E-05,1559357222.895,3.375946440306681e-05,4.953866995073892e-05
79,+3.35590000E-05,1559357223.1033332,3.4221366922234393e-05,4.953713300492611e-05
80,+3.48438900E-05,1559357223.3116667,3.422128039430449e-05,4.9535596059113294e-05
81,+3.38488400E-05,1559357223.52,3.6019841182913474e-05,4.953713300492611e-05
82,+3.46362000E-05,1559357223.7283332,3.639962212486309e-05,4.953585221674877e-05
83,+3.34294500E-05,1559357223.9366667,3.639947754654983e-05,4.9536364532019704e-05
84,+3.33032200E-05,1559357224.145,3.8243040525739326e-05,4.953687684729064e-05
85,+3.39256400E-05,1559357224.3533332,3.851376451259584e-05,4.953713300492611e-05
86,+3.35383000E-05,1559357224.5616667,3.851464731653888e-05,4.953662068965518e-05
87,+3.35429600E-05,1559357224.77,4.0427257393209195e-05,4.953790147783251e-05
88,+3.41794200E-05,1559357224.9783332,4.059708433734939e-05,4.953918226600985e-05
89,+3.31736600E-05,1559357225.1866667,4.059731544359255e-05,4.953815763546798e-05
90,+3.37019200E-05,1559357225.395,4.059779299014239e-05,4.953764532019705e-05
91,+3.33152400E-05,1559357225.6033332,4.05984874041621e-05,4.9536108374384236e-05
92,+3.32077300E-05,1559357225.8116667,4.059831325301205e-05,4.9535083743842365e-05
93,+3.41894300E-05,1559357226.02,4.0598357064622125e-05,4.953585221674877e-05
94,+3.37393100E-05,1559357226.2283332,4.059903614457831e-05,4.953662068965518e-05
95,+3.41099600E-05,1559357226.4366667,4.059991894852136e-05,4.953662068965518e-05
96,+3.35469900E-05,1559357226.645,4.059996276013144e-05,4.953687684729064e-05
97,+3.41934400E-05,1559357226.8533332,4.060058488499452e-05,4.9536108374384236e-05
98,+3.42114600E-05,1559357227.0616667,4.060101861993428e-05,4.953866995073892e-05
99,+3.33125800E-05,1559357227.27,4.0601380065717416e-05,4.953687684729064e-05
100,+3.39763800E-05,1559357230.909,4.1644557502738225e-05,4.953687684729064e-05
101,+3.45580700E-05,1559357231.1173332,4.271821577217963e-05,4.953764532019705e-05
102,+3.43570600E-05,1559357231.3256667,4.2719474260679084e-05,4.9537389162561575e-05
103,+3.40558700E-05,1559357231.534,4.388691018619934e-05,4.9538413793103446e-05
104,+3.31436200E-05,1559357231.7423332,4.489606571741511e-05,4.9537389162561575e-05
105,+3.43730800E-05,1559357231.9506667,4.48976560788609e-05,4.9535083743842365e-05
106,+3.36705300E-05,1559357232.159,4.61239704271632e-05,4.953764532019705e-05
107,+3.42381900E-05,1559357232.3673332,4.701058378970427e-05,4.953790147783251e-05
108,+3.39263000E-05,1559357232.5756667,4.7011220153340634e-05,4.953764532019705e-05
109,+3.34321100E-05,1559357232.784,4.831035487404162e-05,4.953815763546798e-05
110,+3.37967500E-05,1559357232.9923332,4.9094175246440306e-05,4.953687684729064e-05
111,+3.35102500E-05,1559357233.2006667,4.909445016429354e-05,4.953687684729064e-05
112,+3.39390000E-05,1559357233.409,5.0570112814895946e-05,4.953866995073892e-05
113,+3.33406200E-05,1559357233.6173332,5.130749835706462e-05,4.953790147783251e-05
114,+3.42448700E-05,1559357233.8256667,5.13086560788609e-05,4.953431527093596e-05
115,+3.38882300E-05,1559357234.034,5.130917634173056e-05,4.9538413793103446e-05
116,+3.34481400E-05,1559357234.2423332,5.1310217962760133e-05,4.953533990147783e-05
117,+3.34160800E-05,1559357234.4506667,5.1311578313253016e-05,4.95352118226601e-05
118,+3.36845600E-05,1559357234.659,5.131215662650603e-05,4.9537389162561575e-05
119,+3.43296700E-05,1559357234.8673332,5.131273493975904e-05,4.953533990147783e-05
120,+3.42268200E-05,1559357235.0756667,5.131415334063527e-05,4.953457142857142e-05
121,+3.43550500E-05,1559357235.284,5.1315151150054765e-05,4.953188177339902e-05
122,+3.34100800E-05,1559357235.4923332,5.131567141292442e-05,4.953431527093596e-05
123,+3.47196700E-05,1559357235.7006667,5.1316959474260684e-05,4.952266009852217e-05
124,+3.40572600E-05,1559357235.909,5.1318015334063526e-05,4.9525990147783254e-05
125,+3.35970800E-05,1559357239.508,5.234337020810514e-05,4.9525733990147786e-05
126,+3.37880700E-05,1559357239.7163332,5.340017524644031e-05,4.9528039408866996e-05
127,+3.41286700E-05,1559357239.9246666,5.340069550930997e-05,4.950869950738917e-05
128,+3.41974600E-05,1559357240.133,5.5657370208105144e-05,4.9506778325123146e-05
129,+3.54383100E-05,1559357240.3413332,5.5635078860898136e-05,4.950267980295566e-05
130,+3.34675200E-05,1559357240.5496666,5.56333143483023e-05,4.9501645320197045e-05
131,+3.36531700E-05,1559357240.758,5.780480065717415e-05,4.9502285714285714e-05
132,+3.36378100E-05,1559357240.9663332,5.780555202628697e-05,4.950267980295566e-05
133,+3.43203200E-05,1559357241.1746666,5.780529244249726e-05,4.950293596059114e-05
134,+3.33887200E-05,1559357241.383,5.991718181818182e-05,4.950370443349753e-05
135,+3.43076500E-05,1559357241.5913332,5.9918990142387735e-05,4.9506778325123146e-05
136,+3.40231400E-05,1559357241.7996666,5.991855640744797e-05,4.9502285714285714e-05
137,+3.31249300E-05,1559357242.008,6.202847754654984e-05,4.950498522167488e-05
138,+3.35436500E-05,1559357242.2163332,6.202967907995619e-05,4.9500620689655174e-05
139,+3.32791800E-05,1559357242.4246666,6.203115443592552e-05,4.950138916256157e-05
140,+3.41527100E-05,1559357242.633,6.203080722891567e-05,4.9501517241379304e-05
141,+3.40004400E-05,1559357242.8413332,6.203138554216867e-05,4.9502423645320194e-05
142,+3.40117900E-05,1559357243.0496666,6.203200766703177e-05,4.949908374384236e-05
143,+3.35242700E-05,1559357243.258,6.20322387732749e-05,4.950087684729064e-05
144,+3.37640300E-05,1559357243.4663332,6.203291894852135e-05,4.950370443349753e-05
145,+3.39516900E-05,1559357243.6746666,6.203336692223438e-05,4.950703448275862e-05
146,+3.34701800E-05,1559357243.883,6.203242716319825e-05,4.9503192118226604e-05
147,+3.36077500E-05,1559357244.0913332,6.203299123767798e-05,4.950536945812808e-05
148,+3.40645600E-05,1559357244.2996666,6.203345454545455e-05,4.950190147783251e-05
149,+3.35403200E-05,1559357244.508,6.203471303395399e-05,4.950215763546798e-05
150,+3.33974000E-05,1559357248.254,6.378540525739321e-05,4.950087684729064e-05
151,+3.39036100E-05,1559357248.4623332,6.42078017524644e-05,4.9494472906403935e-05
152,+3.37700500E-05,1559357248.6706667,6.420797480832421e-05,4.9491142857142854e-05
153,+3.39984400E-05,1559357248.879,6.600969222343921e-05,4.9489605911330054e-05
154,+3.37713700E-05,1559357249.0873332,6.632786308871851e-05,4.9490630541871925e-05
155,+3.34588300E-05,1559357249.2956667,6.63286013143483e-05,4.949088669950739e-05
156,+3.33987300E-05,1559357249.504,6.821844030668127e-05,4.948973399014779e-05
157,+3.35229500E-05,1559357249.7123332,6.844299014238772e-05,4.948614778325123e-05
158,+3.41500500E-05,1559357249.9206667,6.844328039430449e-05,4.9486403940886694e-05
159,+3.41306600E-05,1559357250.129,7.048023767798466e-05,4.9483842364532023e-05
160,+3.37680300E-05,1559357250.3373332,7.06180230010953e-05,4.9489605911330054e-05
161,+3.41052900E-05,1559357250.5456667,7.06181095290252e-05,4.94867881773399e-05
162,+3.38027600E-05,1559357250.754,7.27217108433735e-05,4.9484098522167484e-05
163,+3.37687000E-05,1559357250.9623332,7.273173603504928e-05,4.9486403940886694e-05
164,+3.40244900E-05,1559357251.1706667,7.273157721796276e-05,4.948742857142857e-05
165,+3.35843800E-05,1559357251.379,7.273216976998905e-05,4.94856354679803e-05
166,+3.37874000E-05,1559357251.5873332,7.273315334063527e-05,4.948422660098522e-05
167,+3.36384700E-05,1559357251.7956667,7.273337020810515e-05,4.948268965517242e-05
168,+3.40071200E-05,1559357252.004,7.273283570646221e-05,4.9482561576354685e-05
169,+3.39209800E-05,1559357252.2123332,7.273170646221249e-05,4.948064039408866e-05
170,+3.36738700E-05,1559357252.4206667,7.273253121577218e-05,4.9482177339901476e-05
171,+3.40952800E-05,1559357252.629,7.273280613362541e-05,4.9480768472906404e-05
172,+3.39216400E-05,1559357252.8373332,7.27326035049288e-05,4.948422660098522e-05
173,+3.35476500E-05,1559357253.0456667,7.273419496166484e-05,4.947987192118227e-05
174,+3.38822500E-05,1559357253.254,7.273552573932092e-05,4.948268965517242e-05
175,+3.41246900E-05,1559357256.909,7.373549616648412e-05,4.948371428571429e-05
176,+3.38441800E-05,1559357257.1173332,7.478381051478642e-05,4.947974384236453e-05
177,+3.40191700E-05,1559357257.3256667,7.478433077765607e-05,4.948294581280788e-05
178,+3.40431800E-05,1559357257.534,7.593847426067909e-05,4.9483458128078815e-05
179,+3.40165000E-05,1559357257.7423332,7.696109748083242e-05,4.948140886699507e-05
180,+3.36645200E-05,1559357257.9506667,7.696132858707557e-05,4.948371428571429e-05
181,+3.38568800E-05,1559357258.159,7.817498576122672e-05,4.948192118226601e-05
182,+3.44385500E-05,1559357258.3673332,7.907357612267251e-05,4.94792315270936e-05
183,+3.39042900E-05,1559357258.5756667,7.907418400876231e-05,4.948192118226601e-05
184,+3.42375400E-05,1559357258.784,8.03797382256298e-05,4.9482561576354685e-05
185,+3.37647000E-05,1559357258.9923332,8.118831544359255e-05,4.9486403940886694e-05
186,+3.43036500E-05,1559357259.2006667,8.118831544359255e-05,4.94803842364532e-05
187,+3.46128500E-05,1559357259.409,8.262634830230012e-05,4.948128078817734e-05
188,+3.39850700E-05,1559357259.6173332,8.336939211391018e-05,4.9481793103448275e-05
189,+3.39129500E-05,1559357259.8256667,8.337234282584885e-05,4.9478847290640396e-05
190,+3.50489500E-05,1559357260.034,8.337271851040527e-05,4.94803842364532e-05
191,+3.43503900E-05,1559357260.2423332,8.337250164293538e-05,4.9484098522167484e-05
192,+3.38047700E-05,1559357260.4506667,8.337383242059146e-05,4.948512315270936e-05
193,+3.42174900E-05,1559357260.659,8.337539539978093e-05,4.948140886699507e-05
194,+3.38081200E-05,1559357260.8673332,8.33759156626506e-05,4.948166502463055e-05
195,+3.39950900E-05,1559357261.0756667,8.337652354874041e-05,4.948192118226601e-05
196,+3.45079900E-05,1559357261.284,8.337889594742607e-05,4.948294581280788e-05
197,+3.39997800E-05,1559357261.4923332,8.338206352683461e-05,4.948320197044335e-05
198,+3.38548500E-05,1559357261.7006667,8.338353888280394e-05,4.94803842364532e-05
199,+3.45594100E-05,1559357261.909,8.338476889375684e-05,4.947705418719212e-05
200,+3.33880400E-05,1559357265.509,8.440515115005477e-05,4.947615763546798e-05
201,+3.40251500E-05,1559357265.7173333,8.550217196056955e-05,4.948204926108374e-05
202,+3.45594200E-05,1559357265.9256668,8.550390690032858e-05,4.94792315270936e-05
203,+3.39323200E-05,1559357266.134,8.661229682365827e-05,4.947846305418719e-05
204,+3.33246000E-05,1559357266.3423333,8.761741730558597e-05,4.948064039408866e-05
205,+3.43156600E-05,1559357266.5506668,8.761919715224535e-05,4.948051231527094e-05
206,+3.35837300E-05,1559357266.759,8.874576779846659e-05,4.948166502463055e-05
207,+3.41593900E-05,1559357266.9673333,8.960785323110625e-05,4.9477822660098525e-05
208,+3.41220000E-05,1559357267.1756668,8.960984884994524e-05,4.9482561576354685e-05
209,+3.33573300E-05,1559357267.384,9.121276013143483e-05,4.948192118226601e-05
210,+3.39917600E-05,1559357267.5923333,9.223439978094195e-05,4.948140886699507e-05
211,+3.40318200E-05,1559357267.8006668,9.223640963855423e-05,4.94792315270936e-05
212,+3.42141500E-05,1559357268.009,9.34743121577218e-05,4.948140886699507e-05
213,+3.40886000E-05,1559357268.2173333,9.396660679079956e-05,4.947769458128079e-05
214,+3.35196100E-05,1559357268.4256668,9.396689594742606e-05,4.947987192118227e-05
215,+3.46094900E-05,1559357268.634,9.396711281489595e-05,4.947897536945813e-05
216,+3.44959700E-05,1559357268.8423333,9.396776341730558e-05,4.947859113300492e-05
217,+3.40325000E-05,1559357269.0506668,9.396832749178532e-05,4.947948768472906e-05
218,+3.44191700E-05,1559357269.259,9.396800985761226e-05,4.9482177339901476e-05
219,+3.42441900E-05,1559357269.4673333,9.396822672508214e-05,4.947961576354679e-05
220,+3.46622600E-05,1559357269.6756668,9.396884884994523e-05,4.947974384236453e-05
221,+3.33880400E-05,1559357269.884,9.396867469879518e-05,4.948e-05
222,+3.43196600E-05,1559357270.0923333,9.396854545454546e-05,4.948025615763547e-05
223,+3.38334900E-05,1559357270.3006668,9.397055531215772e-05,4.9478206896551726e-05
224,+3.39503600E-05,1559357270.509,9.397143811610076e-05,4.947449261083744e-05
225,+3.45674300E-05,1559357274.109,9.482928258488499e-05,4.947500492610837e-05
226,+3.41674000E-05,1559357274.3173332,9.576965169769988e-05,4.9479103448275864e-05
227,+3.43724200E-05,1559357274.5256667,9.577040416210295e-05,4.9476798029556654e-05
228,+3.45894600E-05,1559357274.734,9.714157831325301e-05,4.947948768472906e-05
229,+3.40732500E-05,1559357274.9423332,9.840020810514787e-05,4.947692610837439e-05
