,SQUID_Volt(V),FC_CURR(A),MAG_CURR(A),timestamp,MOD_CURR(A),SQUID_Curr(A)
899,,,0.035,1559359253.308,,
900,,,0.034,1559359253.408,,
901,,,0.034,1559359253.507,,
902,,,0.031,1559359253.607,,
903,,,0.03,1559359253.707,,
904,,,0.029,1559359253.808,,
905,,,0.027,1559359253.923,,
906,,,0.025,1559359254.024,,
907,,,0.025,1559359254.124,,
908,,,0.024,1559359254.225,,
909,,,0.024,1559359254.323,,
910,,,0.024,1559359254.422,,
911,,,0.023,1559359254.526,,
912,,,0.021,1559359254.62,,
913,,,0.02,1559359254.719,,
914,,,0.018,1559359254.819,,
915,,,0.017,1559359254.917,,
916,,,0.017,1559359255.016,,
917,,,0.015,1559359255.116,,
918,,,0.014,1559359255.216,,
919,,,0.013,1559359255.316,,
920,,,0.013,1559359255.438,,
921,,,0.013,1559359255.532,,
922,,,0.012,1559359255.633,,
923,,,0.009,1559359255.733,,
924,,,0.008,1559359255.834,,
925,,,0.007,1559359255.932,,
926,,,0.007,1559359256.031,,
927,,,0.006,1559359256.13,,
928,,,0.004,1559359256.229,,
