,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
0,-0.005624032,1558922576,1.5710945,,
1,-0.005620713,1558922577,1.5708962,,
2,-4.2785E-05,1558922577,1.5707759,,
3,-3.99134E-05,1558922577,1.5701921,,
4,-3.85878E-05,1558922577,1.5705491,,
5,-3.86539E-05,1558922577,1.570554,,
6,-3.9102E-05,1558922578,1.5705565,,
7,-3.90599E-05,1558922578,1.5705528,,
8,-3.86599E-05,1558922578,1.5705479,,
9,-3.92389E-05,1558922578,1.5705429,,
10,-3.9106E-05,1558922578,1.5705404,,
11,-3.9301E-05,1558922579,1.5705355,,
12,-3.95621E-05,1558922579,1.5705317,,
13,-3.95942E-05,1558922579,1.5705355,,
14,-3.96215E-05,1558922579,1.5705392,,
15,-3.9311E-05,1558922580,1.5705417,,
16,-3.88141E-05,1558922580,1.5705379,,
17,-3.94005E-05,1558922580,1.5705379,,
18,-3.92202E-05,1558922580,1.5705379,,
19,-3.9335E-05,1558922580,1.5705404,,
20,-3.95461E-05,1558922581,1.5705404,,
21,-3.93771E-05,1558922581,1.5705379,,
22,-3.94726E-05,1558922581,1.5705379,,
23,-3.94492E-05,1558922581,1.570533,,
24,-3.96676E-05,1558922581,1.5705305,,
25,-3.96576E-05,1558922585,1.5705355,,
26,-3.95942E-05,1558922585,1.5705367,,
27,-3.92235E-05,1558922585,1.5705293,,
28,-3.90612E-05,1558922586,1.5705243,,
29,-3.92569E-05,1558922586,1.5705243,,
30,-3.93731E-05,1558922586,1.5705268,,
31,-3.92496E-05,1558922586,1.5705206,,
32,-3.90091E-05,1558922586,1.5705255,,
33,-3.91594E-05,1558922587,1.5705218,,
34,-3.96155E-05,1558922587,1.5705231,,
35,-3.94212E-05,1558922587,1.5705218,,
36,-3.92476E-05,1558922587,1.5705255,,
37,-3.9114E-05,1558922587,1.5705231,,
38,-3.91688E-05,1558922588,1.5705206,,
39,-3.9132E-05,1558922588,1.5705206,,
40,-3.96282E-05,1558922588,1.5705193,,
41,-3.95915E-05,1558922588,1.5705243,,
42,-3.9472E-05,1558922588,1.5705193,,
43,-3.95514E-05,1558922589,1.5705218,,
44,-3.91367E-05,1558922589,1.5705218,,
45,-3.92636E-05,1558922589,1.5705218,,
46,-3.95421E-05,1558922589,1.5705206,,
47,-3.95508E-05,1558922590,1.5705169,,
48,-3.97337E-05,1558922590,1.5705169,,
49,-3.95875E-05,1558922590,1.5705181,,
50,-3.94366E-05,1558922594,1.5705181,,
51,-3.90606E-05,1558922594,1.5705181,,
52,-3.91207E-05,1558922594,1.5705206,,
53,-3.90345E-05,1558922594,1.5705206,,
54,-3.88843E-05,1558922594,1.5705255,,
55,-3.93431E-05,1558922595,1.5705255,,
56,-3.95294E-05,1558922595,1.570528,,
57,-3.96008E-05,1558922595,1.5705293,,
58,-3.91374E-05,1558922595,1.5705255,,
59,-3.91841E-05,1558922595,1.570528,,
60,-3.87747E-05,1558922596,1.5705293,,
61,-3.89043E-05,1558922596,1.5705243,,
62,-3.89731E-05,1558922596,1.5705206,,
63,-4.03902E-05,1558922596,1.5705218,,
64,-3.76408E-05,1558922596,1.5705243,,
65,-3.8748E-05,1558922597,1.5705231,,
66,-3.85483E-05,1558922597,1.5705231,,
67,-3.88081E-05,1558922597,1.5705181,,
68,-3.9128E-05,1558922597,1.5705206,,
69,-3.91661E-05,1558922598,1.5705218,,
70,-3.93103E-05,1558922598,1.5705193,,
71,-3.90252E-05,1558922598,1.5705206,,
72,-3.92362E-05,1558922598,1.5705181,,
73,-3.93391E-05,1558922598,1.5705218,,
74,-3.911E-05,1558922599,1.5705231,,
75,-3.89751E-05,1558922602,1.5705255,,
76,-3.8947E-05,1558922602,1.5705231,,
77,-3.95054E-05,1558922603,1.5705231,,
78,-3.93704E-05,1558922603,1.5705218,,
79,-3.92836E-05,1558922603,1.5705218,,
80,-3.8925E-05,1558922603,1.5705231,,
81,-3.92556E-05,1558922603,1.5705193,,
82,-3.89965E-05,1558922604,1.5705181,,
83,-3.87968E-05,1558922604,1.5705243,,
84,-3.90171E-05,1558922604,1.5705305,,
85,-3.88582E-05,1558922604,1.570533,,
86,-3.88282E-05,1558922604,1.5705367,,
87,-3.89644E-05,1558922605,1.5705392,,
88,-3.88355E-05,1558922605,1.5705441,,
89,-3.89817E-05,1558922605,1.5705417,,
90,-3.89437E-05,1558922605,1.5705417,,
91,-3.94593E-05,1558922605,1.5705417,,
92,-3.94292E-05,1558922606,1.5705417,,
93,-3.94806E-05,1558922606,1.5705392,,
94,-3.92148E-05,1558922606,1.5705355,,
95,-3.8923E-05,1558922606,1.570533,,
96,-3.92195E-05,1558922607,1.5705317,,
97,-3.93771E-05,1558922607,1.5705355,,
98,-3.94366E-05,1558922607,1.5705342,,
99,-3.94606E-05,1558922607,1.570533,,
100,-3.94699E-05,1558922611,1.5705355,,
101,-3.91474E-05,1558922611,1.5705379,,
102,-3.90846E-05,1558922611,1.5705342,,
103,-3.94753E-05,1558922611,1.5705305,,
104,-3.98593E-05,1558922612,1.570533,,
105,-3.98466E-05,1558922612,1.5705317,,
106,-3.96603E-05,1558922612,1.5705355,,
107,-3.91935E-05,1558922612,1.5705355,,
108,-3.90953E-05,1558922612,1.5705355,,
109,-3.93551E-05,1558922613,1.5705355,,
110,-3.93698E-05,1558922613,1.5705367,,
111,-3.88776E-05,1558922613,1.5705355,,
112,-3.93651E-05,1558922613,1.5705342,,
113,-3.92976E-05,1558922613,1.5705379,,
114,-3.94506E-05,1558922614,1.5705367,,
115,-3.91874E-05,1558922614,1.5705367,,
116,-3.93244E-05,1558922614,1.570533,,
117,-3.93558E-05,1558922614,1.5705342,,
118,-3.91481E-05,1558922615,1.5705317,,
119,-3.90378E-05,1558922615,1.5705293,,
120,-3.96536E-05,1558922615,1.5705305,,
121,-3.93965E-05,1558922615,1.570528,,
122,-3.90579E-05,1558922615,1.570528,,
123,-3.90285E-05,1558922616,1.5705255,,
124,-3.94446E-05,1558922616,1.5705255,,
125,-3.96429E-05,1558922619,1.5705268,,
126,-3.92289E-05,1558922620,1.5705231,,
127,-3.91701E-05,1558922620,1.5705255,,
128,-3.96316E-05,1558922620,1.5705243,,
129,-3.92442E-05,1558922620,1.5705218,,
130,-3.89951E-05,1558922620,1.5705243,,
131,-3.89049E-05,1558922621,1.5705255,,
132,-3.89804E-05,1558922621,1.5705268,,
133,-0.000039319,1558922621,1.5705268,,
134,-3.9323E-05,1558922621,1.5705268,,
135,-3.97037E-05,1558922621,1.570528,,
136,-3.95287E-05,1558922622,1.5705293,,
137,-3.9526E-05,1558922622,1.5705305,,
138,-3.915E-05,1558922622,1.5705255,,
139,-3.94219E-05,1558922622,1.5705268,,
140,-3.92382E-05,1558922622,1.5705243,,
141,-3.91207E-05,1558922623,1.570528,,
142,-3.92769E-05,1558922623,1.5705243,,
143,-3.97852E-05,1558922623,1.5705231,,
144,-3.99788E-05,1558922623,1.5705255,,
145,-3.99167E-05,1558922624,1.5705255,,
146,-3.93163E-05,1558922624,1.5705243,,
147,-3.94092E-05,1558922624,1.5705231,,
148,-3.94359E-05,1558922624,1.5705243,,
149,-3.91587E-05,1558922624,1.5705243,,
150,-3.95962E-05,1558922628,1.5705255,,
151,-3.99895E-05,1558922628,1.5705305,,
152,-3.99254E-05,1558922628,1.5705268,,
153,-3.98386E-05,1558922629,1.5705243,,
154,-3.95074E-05,1558922629,1.5705268,,
155,-3.96322E-05,1558922629,1.5705255,,
156,-3.95114E-05,1558922629,1.5705293,,
157,-3.91594E-05,1558922629,1.5705293,,
158,-3.96803E-05,1558922630,1.5705305,,
159,-3.95855E-05,1558922630,1.5705255,,
160,-3.97137E-05,1558922630,1.570528,,
161,-3.9524E-05,1558922630,1.5705293,,
162,-3.94746E-05,1558922630,1.5705317,,
163,-3.94445E-05,1558922631,1.5705317,,
164,-3.96242E-05,1558922631,1.5705317,,
165,-3.94927E-05,1558922631,1.5705342,,
166,-3.96409E-05,1558922631,1.5705367,,
167,-3.98286E-05,1558922631,1.5705355,,
168,-3.96503E-05,1558922632,1.5705367,,
169,-3.97872E-05,1558922632,1.570533,,
170,-3.94145E-05,1558922632,1.5705355,,
171,-3.99488E-05,1558922632,1.5705355,,
172,-3.99621E-05,1558922633,1.570533,,
173,-3.99321E-05,1558922633,1.570533,,
174,-3.95467E-05,1558922633,1.570533,,
175,-3.98226E-05,1558922637,1.5705355,,
176,-3.92348E-05,1558922637,1.5705367,,
177,-3.94873E-05,1558922637,1.5705355,,
178,-3.95361E-05,1558922637,1.5705417,,
179,-3.98379E-05,1558922637,1.5705404,,
180,-3.9854E-05,1558922638,1.5705367,,
181,-3.97858E-05,1558922638,1.5705355,,
182,-3.99394E-05,1558922638,1.5705355,,
183,-3.99735E-05,1558922638,1.5705367,,
184,-3.99014E-05,1558922638,1.570533,,
185,-3.99414E-05,1558922639,1.570533,,
186,-4.00096E-05,1558922639,1.570533,,
187,-3.97464E-05,1558922639,1.5705317,,
188,-3.95107E-05,1558922639,1.5705305,,
189,-3.9882E-05,1558922639,1.570528,,
190,-3.98807E-05,1558922640,1.570528,,
191,-3.97805E-05,1558922640,1.570528,,
192,-3.9683E-05,1558922640,1.570528,,
193,-3.96877E-05,1558922640,1.570528,,
194,-3.96169E-05,1558922641,1.5705268,,
195,-0.000039693,1558922641,1.570528,,
196,-3.98352E-05,1558922641,1.5705317,,
197,-3.9673E-05,1558922641,1.5705355,,
198,-3.98186E-05,1558922641,1.5705355,,
199,-3.94332E-05,1558922642,1.5705379,,
200,-3.96983E-05,1558922645,1.5705404,,
201,-3.95561E-05,1558922645,1.5705417,,
202,-3.94299E-05,1558922646,1.5705429,,
203,-3.96316E-05,1558922646,1.5705392,,
204,-3.99007E-05,1558922646,1.5705392,,
205,-3.97271E-05,1558922646,1.5705417,,
206,-3.97718E-05,1558922646,1.5705417,,
207,-3.9659E-05,1558922647,1.5705417,,
