,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
56,-2.79611700E-05,1558919625.659,+1.56992930E+00,+1.08227570E+00,+4.99651300E-03
57,-2.78249200E-05,1558919627.326,+1.56993180E+00,+1.12242300E+00,+4.99667000E-03
58,-2.74818100E-05,1558919629.826,+1.56993060E+00,+1.13282810E+00,+4.99624000E-03
59,-2.73164400E-05,1558919632.326,+1.56992930E+00,+1.13894540E+00,+4.99680000E-03
60,-2.70682800E-05,1558919633.993,+1.56992680E+00,+1.17905290E+00,+4.99650000E-03
61,-2.69848100E-05,1558919636.493,+1.56993180E+00,+1.18835540E+00,+4.99708600E-03
62,-2.69033400E-05,1558919638.993,+1.56993060E+00,+1.19442260E+00,+4.99640900E-03
63,-2.65887200E-05,1558919640.659,+1.56992560E+00,+1.23581720E+00,+4.99686500E-03
64,-2.64725100E-05,1558919643.159,+1.56992440E+00,+1.25101640E+00,+4.99640900E-03
65,-2.64864800E-05,1558919645.659,+1.56992440E+00,+1.25941000E+00,+4.99698200E-03
66,-2.61172900E-05,1558919647.326,+1.56992680E+00,+1.29947850E+00,+4.99677400E-03
67,-2.60190000E-05,1558919649.826,+1.56992680E+00,+1.30975000E+00,+4.99651300E-03
68,-2.59361200E-05,1558919652.326,+1.56992440E+00,+1.31602850E+00,+4.99685200E-03
69,-2.59410700E-05,1558919653.993,+1.56992440E+00,+1.35613660E+00,+4.99627900E-03
70,-2.58006200E-05,1558919656.493,+1.56992560E+00,+1.36527170E+00,+4.99687800E-03
71,-2.58195800E-05,1558919658.993,+1.56992310E+00,+1.37147610E+00,+4.99680000E-03
72,-2.57817800E-05,1558919660.659,+1.56992560E+00,+1.41157900E+00,+4.99677400E-03
73,-2.58438900E-05,1558919663.159,+1.56992560E+00,+1.42733330E+00,+4.99711200E-03
74,-2.58855700E-05,1558919665.659,+1.56992680E+00,+1.43634250E+00,+4.99732000E-03
75,-2.58962600E-05,1558919667.326,+1.56992560E+00,+1.46824120E+00,+4.99720300E-03
76,-2.60678800E-05,1558919669.826,+1.56992560E+00,+1.48266310E+00,+4.99719000E-03
77,-2.59880200E-05,1558919672.326,+1.56992440E+00,+1.49182440E+00,+4.99730700E-03
78,-2.62735800E-05,1558919673.993,+1.56992190E+00,+1.53199860E+00,+4.99760600E-03
79,-2.64327200E-05,1558919676.493,+1.56992440E+00,+1.54272350E+00,+4.99741100E-03
80,-2.64718600E-05,1558919678.993,+1.56992310E+00,+1.54851550E+00,+4.99724200E-03
81,-2.66243800E-05,1558919680.659,+1.56992440E+00,+1.58862520E+00,+4.99763200E-03
82,-2.68477000E-05,1558919683.159,+1.56992440E+00,+1.59890330E+00,+4.99777500E-03
83,-2.68191100E-05,1558919685.659,+1.56992440E+00,+1.60507870E+00,+4.99726800E-03
84,-2.71058900E-05,1558919687.326,+1.56992190E+00,+1.64525820E+00,+4.99716400E-03
85,-2.72625600E-05,1558919689.826,+1.56992190E+00,+1.65934700E+00,+4.99747600E-03
86,-2.71966400E-05,1558919692.326,+1.56992560E+00,+1.66880970E+00,+4.99724200E-03
87,-2.78388200E-05,1558919693.992,+1.56992560E+00,+1.70897600E+00,+4.99677400E-03
88,-2.78982700E-05,1558919696.492,+1.56992560E+00,+1.71947890E+00,+4.99700800E-03
89,-2.77643600E-05,1558919698.992,+1.56992560E+00,+1.72547450E+00,+4.99691700E-03
90,-2.83540500E-05,1558919700.658,+1.56992190E+00,+1.76556150E+00,+4.99712500E-03
91,-2.82566700E-05,1558919703.158,+1.56991820E+00,+1.77496590E+00,+4.99674800E-03
92,-2.86163700E-05,1558919705.658,+1.56992310E+00,+1.78089020E+00,+4.99682600E-03
93,-2.82606200E-05,1558919707.326,+1.56988590E+00,+1.82224370E+00,+4.99655200E-03
94,-2.86728600E-05,1558919709.826,+1.56993430E+00,+1.83753800E+00,+4.99655200E-03
95,-2.84436200E-05,1558919712.326,+1.56993430E+00,+1.84580440E+00,+4.99633100E-03
96,-2.90005700E-05,1558919713.993,+1.56992680E+00,+1.88588350E+00,+4.99664300E-03
97,-2.93065600E-05,1558919716.493,+1.56992680E+00,+1.89618300E+00,+4.99657800E-03
98,-2.92216900E-05,1558919718.993,+1.56992680E+00,+1.90238870E+00,+4.99687800E-03
99,-2.96007500E-05,1558919720.659,+1.56992680E+00,+1.94250210E+00,+4.99715100E-03
100,-2.96231800E-05,1558919723.159,+1.56992810E+00,+1.95170300E+00,+4.99687800E-03
101,-2.97683700E-05,1558919725.659,+1.56992930E+00,+1.95782550E+00,+4.99677400E-03
102,-2.95807800E-05,1558919727.326,+1.56993800E+00,+1.99796570E+00,+4.99737200E-03
103,-3.00085300E-05,1558919729.826,+1.56993430E+00,+2.02868250E+00,+4.99642200E-03
104,-3.00537900E-05,1558919732.326,+1.56993550E+00,+2.02784320E+00,+4.99680000E-03
105,-2.99515600E-05,1558919733.992,+1.56993800E+00,+2.06079910E+00,+4.99620100E-03
106,-3.02225400E-05,1558919736.492,+1.56993180E+00,+2.07520660E+00,+4.99651300E-03
107,-3.02980800E-05,1558919738.992,+1.56993430E+00,+2.08437050E+00,+4.99630500E-03
108,-3.10280800E-05,1558919740.66,+1.56993060E+00,+2.12434380E+00,+4.99681300E-03
109,-3.05679600E-05,1558919743.16,+1.56993430E+00,+2.13505820E+00,+4.99635700E-03
110,-3.04741300E-05,1558919745.66,+1.56993430E+00,+2.14079340E+00,+4.99670900E-03
111,-3.03918500E-05,1558919747.326,+1.56993430E+00,+2.18084860E+00,+4.99670900E-03
112,-3.01519100E-05,1558919749.826,+1.56993920E+00,+2.19118500E+00,+4.99674800E-03
113,-3.01886300E-05,1558919752.326,+1.56993800E+00,+2.19741060E+00,+4.99680000E-03
114,-2.98934600E-05,1558919753.992,+1.56993920E+00,+2.23742130E+00,+4.99651300E-03
115,-2.97573600E-05,1558919756.492,+1.56993550E+00,+2.25152330E+00,+4.99676100E-03
116,-2.97156800E-05,1558919758.992,+1.56993680E+00,+2.26088550E+00,+4.99685200E-03
117,-2.95150500E-05,1558919760.659,+1.56993550E+00,+2.30096720E+00,+4.99689100E-03
118,-2.94198200E-05,1558919763.159,+1.56993680E+00,+2.31151250E+00,+4.99676100E-03
119,-2.94751200E-05,1558919765.659,+1.56993800E+00,+2.31744600E+00,+4.99672200E-03
120,-2.90389100E-05,1558919767.326,+1.56993300E+00,+2.35764800E+00,+4.99659100E-03
121,-2.90467900E-05,1558919769.826,+1.56993300E+00,+2.36768950E+00,+4.99669600E-03
122,-2.86318000E-05,1558919772.326,+1.56993680E+00,+2.37402090E+00,+4.99651300E-03
