,SQUID_Volt(V),timestamp,Temp(V),MOD_CURR(A),SQUID_Curr(A)
54,-4.19636200E-05,1558928308.0473332,+1.57076100E+00,+1.10352000E-04,+5.08462000E-03
55,-4.20157200E-05,1558928308.2556667,+1.57076230E+00,+1.10379000E-04,+5.08520600E-03
56,-4.19703000E-05,1558928308.464,+1.57075980E+00,+1.10339000E-04,+5.08534900E-03
57,-4.19743100E-05,1558928308.6723332,+1.57076100E+00,+1.10379000E-04,+5.08523200E-03
58,-4.18808100E-05,1558928308.8806667,+1.57075980E+00,+1.10524000E-04,+5.08568700E-03
59,-4.20718200E-05,1558928309.089,+1.57076100E+00,+1.10088000E-04,+5.08537500E-03
60,-4.20517800E-05,1558928309.2973332,+1.57076100E+00,+1.10049000E-04,+5.08505000E-03
61,-4.19075400E-05,1558928309.5056667,+1.57076350E+00,+1.10326000E-04,+5.08524500E-03
62,-4.19335700E-05,1558928309.714,+1.57076720E+00,+1.09983000E-04,+5.08536200E-03
63,-4.19449300E-05,1558928309.9223332,+1.57076350E+00,+1.10735000E-04,+5.08529700E-03
64,-4.20611400E-05,1558928310.1306667,+1.57076350E+00,+1.10616000E-04,+5.08525800E-03
65,-4.20798300E-05,1558928310.339,+1.57076350E+00,+1.10735000E-04,+5.08514100E-03
66,-4.19816600E-05,1558928310.5473332,+1.57076230E+00,+1.10748000E-04,+5.08549200E-03
67,-4.20711500E-05,1558928310.7556667,+1.57076480E+00,+1.10379000E-04,+5.08524500E-03
68,-4.19743100E-05,1558928310.964,+1.57076350E+00,+1.10880000E-04,+5.08563500E-03
69,-4.19602800E-05,1558928311.1723332,+1.57076100E+00,+1.10603000E-04,+5.08557000E-03
70,-4.20083600E-05,1558928311.3806667,+1.57076230E+00,+1.10379000E-04,+5.08559600E-03
71,-4.19222200E-05,1558928311.589,+1.57076100E+00,+1.10484000E-04,+5.08559600E-03
72,-4.18360700E-05,1558928311.7973332,+1.57076230E+00,+1.10709000E-04,+5.08541400E-03
73,-4.19870100E-05,1558928312.0056667,+1.57075730E+00,+1.10537000E-04,+5.08545300E-03
74,-4.18647800E-05,1558928312.214,+1.57076230E+00,+1.10867000E-04,+5.08533600E-03
75,-4.20197300E-05,1558928315.813,+1.57075860E+00,+1.10894000E-04,+5.08476300E-03
76,-4.20130400E-05,1558928316.0213332,+1.57075980E+00,+1.10181000E-04,+5.08538800E-03
77,-4.20284000E-05,1558928316.2296667,+1.57075490E+00,+1.10603000E-04,+5.08541400E-03
78,-4.21105500E-05,1558928316.438,+1.57075980E+00,+1.10577000E-04,+5.08479000E-03
79,-4.19910000E-05,1558928316.6463332,+1.57076100E+00,+1.10682000E-04,+5.08475000E-03
80,-4.19723000E-05,1558928316.8546667,+1.57075730E+00,+1.10326000E-04,+5.08518000E-03
81,-4.20317500E-05,1558928317.063,+1.57076230E+00,+1.10590000E-04,+5.08510200E-03
82,-4.20137100E-05,1558928317.2713332,+1.57075860E+00,+1.10722000E-04,+5.08464600E-03
83,-4.20824900E-05,1558928317.4796667,+1.57075860E+00,+1.10194000E-04,+5.08505000E-03
84,-4.19803300E-05,1558928317.688,+1.57075980E+00,+1.10669000E-04,+5.08540100E-03
85,-4.19569500E-05,1558928317.8963332,+1.57075980E+00,+1.09943000E-04,+5.08579100E-03
86,-4.20404200E-05,1558928318.1046667,+1.57075860E+00,+1.10128000E-04,+5.08489400E-03
87,-4.19516000E-05,1558928318.313,+1.57075980E+00,+1.10075000E-04,+5.08490700E-03
88,-4.20324200E-05,1558928318.5213332,+1.57076230E+00,+1.10207000E-04,+5.08514100E-03
89,-4.20297400E-05,1558928318.7296667,+1.57075980E+00,+1.10181000E-04,+5.08514100E-03
90,-4.19856500E-05,1558928318.938,+1.57076230E+00,+1.10352000E-04,+5.08505000E-03
91,-4.19649500E-05,1558928319.1463332,+1.57075860E+00,+1.10181000E-04,+5.08519300E-03
92,-4.20043600E-05,1558928319.3546667,+1.57075860E+00,+1.10167000E-04,+5.08534900E-03
93,-4.20384300E-05,1558928319.563,+1.57076350E+00,+1.10458000E-04,+5.08505000E-03
94,-4.19803100E-05,1558928319.7713332,+1.57075980E+00,+1.10049000E-04,+5.08493300E-03
95,-4.19796400E-05,1558928319.9796667,+1.57076480E+00,+1.10313000E-04,+5.08458100E-03
96,-4.20691400E-05,1558928320.188,+1.57075860E+00,+1.10432000E-04,+5.08508900E-03
97,-4.19182200E-05,1558928320.3963332,+1.57076350E+00,+1.10233000E-04,+5.08443800E-03
98,-4.19709700E-05,1558928320.6046667,+1.57076100E+00,+1.10088000E-04,+5.08468500E-03
99,-4.20491100E-05,1558928320.813,+1.57075860E+00,+1.10432000E-04,+5.08488100E-03
100,-4.19242200E-05,1558928324.414,+1.57075860E+00,+1.10194000E-04,+5.08495900E-03
101,-4.19983400E-05,1558928324.6223333,+1.57076230E+00,+1.10247000E-04,+5.08417800E-03
102,-4.19429200E-05,1558928324.8306668,+1.57076480E+00,+1.10405000E-04,+5.08449000E-03
103,-4.19075300E-05,1558928325.039,+1.57076100E+00,+1.10986000E-04,+5.08443800E-03
104,-4.18674600E-05,1558928325.2473333,+1.57076600E+00,+1.10418000E-04,+5.08493300E-03
105,-4.20898500E-05,1558928325.4556668,+1.57076230E+00,+1.10432000E-04,+5.08424300E-03
106,-4.20264000E-05,1558928325.664,+1.57075860E+00,+1.10445000E-04,+5.08428200E-03
107,-4.19676400E-05,1558928325.8723333,+1.57076230E+00,+1.10167000E-04,+5.08432100E-03
108,-4.19876600E-05,1558928326.0806668,+1.57076230E+00,+1.10471000E-04,+5.08454200E-03
109,-4.20257300E-05,1558928326.289,+1.57075980E+00,+1.10220000E-04,+5.08417800E-03
110,-4.20077100E-05,1558928326.4973333,+1.57076350E+00,+1.10366000E-04,+5.08438600E-03
111,-4.19382600E-05,1558928326.7056668,+1.57076480E+00,+1.09824000E-04,+5.08429500E-03
112,-4.20691400E-05,1558928326.914,+1.57076480E+00,+1.10352000E-04,+5.08423000E-03
113,-4.19041800E-05,1558928327.1223333,+1.57076720E+00,+1.10775000E-04,+5.08433400E-03
114,-4.20531200E-05,1558928327.3306668,+1.57076720E+00,+1.10154000E-04,+5.08390500E-03
115,-4.18227200E-05,1558928327.539,+1.57077100E+00,+1.10405000E-04,+5.08417800E-03
116,-4.18961700E-05,1558928327.7473333,+1.57076970E+00,+1.10313000E-04,+5.08365800E-03
117,-4.18941700E-05,1558928327.9556668,+1.57076720E+00,+1.10524000E-04,+5.08403500E-03
118,-4.19796500E-05,1558928328.164,+1.57076970E+00,+1.10960000E-04,+5.08410000E-03
119,-4.18046800E-05,1558928328.3723333,+1.57076850E+00,+1.10590000E-04,+5.08402200E-03
120,-4.18828200E-05,1558928328.5806668,+1.57077100E+00,+1.10498000E-04,+5.08363200E-03
121,-4.19582800E-05,1558928328.789,+1.57076850E+00,+1.11144000E-04,+5.08420400E-03
122,-4.19041800E-05,1558928328.9973333,+1.57076600E+00,+1.10801000E-04,+5.08429500E-03
123,-4.19175500E-05,1558928329.2056668,+1.57076600E+00,+1.11158000E-04,+5.08415200E-03
124,-4.17706200E-05,1558928329.414,+1.57076600E+00,+1.10682000E-04,+5.08410000E-03
125,-4.19021900E-05,1558928333.013,+1.57076600E+00,+1.10669000E-04,+5.08415200E-03
126,-4.18567700E-05,1558928333.2213333,+1.57076600E+00,+1.10775000E-04,+5.08397000E-03
127,-4.18781500E-05,1558928333.4296668,+1.57076480E+00,+1.09613000E-04,+5.08419100E-03
128,-4.19622900E-05,1558928333.638,+1.57076230E+00,+1.10999000E-04,+5.08363200E-03
129,-4.17539300E-05,1558928333.8463333,+1.57076720E+00,+1.10828000E-04,+5.08437300E-03
130,-4.17986800E-05,1558928334.0546668,+1.57076600E+00,+1.10484000E-04,+5.08451600E-03
131,-4.18000100E-05,1558928334.263,+1.57076480E+00,+1.10630000E-04,+5.08437300E-03
132,-4.18848100E-05,1558928334.4713333,+1.57076100E+00,+1.10669000E-04,+5.08463300E-03
133,-4.17906500E-05,1558928334.6796668,+1.57076350E+00,+1.10471000E-04,+5.08423000E-03
134,-4.18073600E-05,1558928334.888,+1.57076230E+00,+1.10220000E-04,+5.08428200E-03
135,-4.17906500E-05,1558928335.0963333,+1.57076230E+00,+1.10511000E-04,+5.08373600E-03
136,-4.18020100E-05,1558928335.3046668,+1.57076100E+00,+1.10181000E-04,+5.08361900E-03
137,-4.19195500E-05,1558928335.513,+1.57076230E+00,+1.10762000E-04,+5.08437300E-03
138,-4.18848300E-05,1558928335.7213333,+1.57076480E+00,+1.10801000E-04,+5.08399600E-03
139,-4.18480900E-05,1558928335.9296668,+1.57076350E+00,+1.10299000E-04,+5.08389200E-03
140,-4.19015100E-05,1558928336.138,+1.57076350E+00,+1.10299000E-04,+5.08389200E-03
141,-4.19696400E-05,1558928336.3463333,+1.57076100E+00,+1.10326000E-04,+5.08420400E-03
142,-4.19288900E-05,1558928336.5546668,+1.57075980E+00,+1.10405000E-04,+5.08411300E-03
143,-4.19796400E-05,1558928336.763,+1.57076350E+00,+1.10392000E-04,+5.08434700E-03
144,-4.18173700E-05,1558928336.9713333,+1.57076350E+00,+1.10326000E-04,+5.08376200E-03
145,-4.20337400E-05,1558928337.1796668,+1.57076100E+00,+1.10154000E-04,+5.08398300E-03
146,-4.19843200E-05,1558928337.388,+1.57076350E+00,+1.10960000E-04,+5.08398300E-03
147,-4.18708000E-05,1558928337.5963333,+1.57075860E+00,+1.11171000E-04,+5.08420400E-03
148,-4.19375700E-05,1558928337.8046668,+1.57076230E+00,+1.10656000E-04,+5.08443800E-03
149,-4.20304000E-05,1558928338.013,+1.57075980E+00,+1.10537000E-04,+5.08420400E-03
150,-4.19682900E-05,1558928341.614,+1.57076100E+00,+1.10154000E-04,+5.08411300E-03
151,-4.19482600E-05,1558928341.8223333,+1.57076100E+00,+1.10352000E-04,+5.08368400E-03
152,-4.19228800E-05,1558928342.0306668,+1.57076230E+00,+1.10775000E-04,+5.08412600E-03
153,-4.19295700E-05,1558928342.239,+1.57076100E+00,+1.10907000E-04,+5.08413900E-03
154,-4.19983500E-05,1558928342.4473333,+1.57076480E+00,+1.10894000E-04,+5.08417800E-03
155,-4.19041900E-05,1558928342.6556668,+1.57076100E+00,+1.10722000E-04,+5.08437300E-03
156,-4.18587800E-05,1558928342.864,+1.57076230E+00,+1.10986000E-04,+5.08452900E-03
157,-4.19262200E-05,1558928343.0723333,+1.57076600E+00,+1.10392000E-04,+5.08447700E-03
158,-4.17733000E-05,1558928343.2806668,+1.57075980E+00,+1.10524000E-04,+5.08423000E-03
159,-4.18193800E-05,1558928343.489,+1.57076350E+00,+1.10841000E-04,+5.08430800E-03
160,-4.18581000E-05,1558928343.6973333,+1.57076230E+00,+1.15501000E-04,+5.08462000E-03
161,-4.18721300E-05,1558928343.9056668,+1.57075980E+00,+1.07303000E-04,+5.08436000E-03
162,-4.19061900E-05,1558928344.114,+1.57076100E+00,+1.08372000E-04,+5.08423000E-03
163,-4.19248900E-05,1558928344.3223333,+1.57076230E+00,+1.10154000E-04,+5.08469800E-03
164,-4.18587800E-05,1558928344.5306668,+1.57075980E+00,+1.10339000E-04,+5.08445100E-03
165,-4.19896700E-05,1558928344.739,+1.57075860E+00,+1.10550000E-04,+5.08454200E-03
166,-4.19275600E-05,1558928344.9473333,+1.57075980E+00,+1.10616000E-04,+5.08467200E-03
167,-4.18754800E-05,1558928345.1556668,+1.57075860E+00,+1.10524000E-04,+5.08438600E-03
168,-4.20437600E-05,1558928345.364,+1.57076100E+00,+1.10075000E-04,+5.08455500E-03
169,-4.19890100E-05,1558928345.5723333,+1.57076230E+00,+1.10035000E-04,+5.08475000E-03
170,-4.18427400E-05,1558928345.7806668,+1.57075860E+00,+1.10273000E-04,+5.08472400E-03
171,-4.20658100E-05,1558928345.989,+1.57075980E+00,+1.10564000E-04,+5.08477700E-03
172,-4.19990200E-05,1558928346.1973333,+1.57076100E+00,+1.10867000E-04,+5.08464600E-03
173,-4.19302300E-05,1558928346.4056668,+1.57076100E+00,+1.10154000E-04,+5.08462000E-03
174,-4.20250600E-05,1558928346.614,+1.57076350E+00,+1.10207000E-04,+5.08477700E-03
