,SQUID_Volt(V),timestamp
137,-2.27268300E-05,1558929870.408
138,-2.26179900E-05,1558929870.6163332
139,-2.25732400E-05,1558929870.8246667
140,-2.23935900E-05,1558929871.033
141,-2.27402000E-05,1558929871.2413332
142,-2.25585400E-05,1558929871.4496667
143,-2.27335100E-05,1558929871.658
144,-2.25211500E-05,1558929871.8663332
145,-2.23622100E-05,1558929872.0746667
146,-2.25204800E-05,1558929872.283
147,-2.29973100E-05,1558929872.4913332
148,-2.23909300E-05,1558929872.6996667
149,-2.27488800E-05,1558929872.908
150,-2.30039900E-05,1558929874.507
151,-2.27695800E-05,1558929874.7153332
152,-2.25665700E-05,1558929874.9236667
153,-2.24029500E-05,1558929875.132
154,-2.24937700E-05,1558929875.3403332
155,-2.26881000E-05,1558929875.5486667
156,-2.23755500E-05,1558929875.757
157,-2.25846000E-05,1558929875.9653332
158,-2.28510600E-05,1558929876.1736667
159,-2.25585400E-05,1558929876.382
160,-2.24590400E-05,1558929876.5903332
161,-2.24403400E-05,1558929876.7986667
162,-2.24076200E-05,1558929877.007
163,-2.19695200E-05,1558929877.2153332
164,-2.26266700E-05,1558929877.4236667
165,-2.27295200E-05,1558929877.632
166,-2.26393500E-05,1558929877.8403332
167,-2.25325100E-05,1558929878.0486667
168,-2.27301800E-05,1558929878.257
169,-2.26921200E-05,1558929878.4653332
170,-2.25091300E-05,1558929878.6736667
171,-2.28143300E-05,1558929878.882
172,-2.31829600E-05,1558929879.0903332
173,-2.28150000E-05,1558929879.2986667
174,-2.27261700E-05,1558929879.507
