Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -1.52560000E-05 , -18.2852315271 , -39.3571527094 , +1.10680000E-04
3.73600006104 , 1 , -1.52000300E-05 , -18.2870640394 , -39.3599802956 , +1.10732000E-04
7.46199989319 , 2 , -1.52185900E-05 , -18.4551428571 , -39.3645024631 , +1.10706000E-04
11.1870000362 , 3 , -1.51877400E-05 , -19.1346600985 , -39.3599802956 , +1.10446000E-04
14.9119999409 , 4 , -1.50182500E-05 , -19.8433497537 , -39.3595960591 , +1.10602000E-04
18.6369998455 , 5 , -1.49394400E-05 , -21.62791133 , -39.3590837438 , +1.10498000E-04
22.3629999161 , 6 , -1.47927900E-05 , -22.2437142857 , -39.3602463054 , +1.10303000E-04
26.0889999866 , 7 , -1.47678200E-05 , -22.2470049261 , -39.3603743842 , +1.10589000E-04
29.8139998913 , 8 , -1.45008200E-05 , -24.4609655172 , -39.3565024631 , +1.10485000E-04
33.5390000343 , 9 , -1.44228100E-05 , -26.0211527094 , -39.3561182266 , +1.11135000E-04
37.263999939 , 10 , -1.43797900E-05 , -26.0168866995 , -39.3581773399 , +1.10719000E-04
40.9900000095 , 11 , -1.43504200E-05 , -26.0206699507 , -39.3504433498 , +1.10641000E-04
44.7159998417 , 12 , -1.42750900E-05 , -27.309270936 , -39.3501871921 , +1.10667000E-04
48.4409999847 , 13 , -1.41596900E-05 , -27.7406403941 , -39.3519901478 , +1.10576000E-04
52.1659998894 , 14 , -1.41607500E-05 , -27.6919408867 , -39.3508275862 , +1.10849000E-04
55.8910000324 , 15 , -1.39053800E-05 , -30.3201674877 , -39.3528965517 , +1.10459000E-04
59.6169998646 , 16 , -1.38829500E-05 , -30.2713497537 , -39.3535369458 , +1.10797000E-04
63.3420000076 , 17 , -1.36063300E-05 , -33.5817832512 , -39.3532807882 , +1.10446000E-04
67.0669999123 , 18 , -1.36270400E-05 , -33.5848374384 , -39.3510837438 , +1.10823000E-04
70.7929999828 , 19 , -1.36339700E-05 , -33.5793399015 , -39.3512118227 , +1.10589000E-04
74.5179998875 , 20 , -1.33211700E-05 , -37.1063152709 , -39.3508275862 , +1.10836000E-04
78.2430000305 , 21 , -1.32014900E-05 , -41.2420197044 , -39.3531527094 , +1.10667000E-04
81.9689998627 , 22 , -1.30576300E-05 , -41.3 , -39.3496650246 , +1.10524000E-04
85.6929998398 , 23 , -1.28343100E-05 , -44.8474778325 , -39.354955665 , +1.10498000E-04
89.4179999828 , 24 , -1.28437900E-05 , -44.8937438424 , -39.3563743842 , +1.10836000E-04
93.1440000534 , 25 , -1.29247300E-05 , -44.8417438424 , -39.3522463054 , +1.10615000E-04
96.8699998856 , 26 , -1.28420600E-05 , -49.474591133 , -39.3565024631 , +1.10693000E-04
100.595999956 , 27 , -1.27588400E-05 , -49.308955665 , -39.3553399015 , +1.10472000E-04
104.319999933 , 28 , -1.33517600E-05 , -61.7886896552 , -39.3559901478 , +1.10420000E-04
108.046000004 , 29 , -1.33376000E-05 , -61.4956157635 , -39.3565024631 , +1.10485000E-04
111.771999836 , 30 , -1.42047000E-05 , -72.1245024631 , -39.3552118227 , +1.09913000E-04
115.496999979 , 31 , -1.41579400E-05 , -71.4768472906 , -39.3528965517 , +1.10524000E-04
119.220999956 , 32 , -1.34548500E-05 , -63.2826009852 , -39.3557339901 , +1.10576000E-04
122.945999861 , 33 , -1.34523200E-05 , -64.1713300493 , -39.3510837438 , +1.10875000E-04
126.671999931 , 34 , -1.44483300E-05 , -74.0964039409 , -39.3540492611 , +1.10849000E-04
130.396999836 , 35 , -1.48778600E-05 , -83.1795270936 , -39.3525024631 , +1.10459000E-04
134.121999979 , 36 , -1.54699600E-05 , -83.7656650246 , -39.3544433498 , +1.10693000E-04
137.846999884 , 37 , -1.58470100E-05 , -92.7484236453 , -39.3508275862 , +1.10693000E-04
141.572000027 , 38 , -1.63513600E-05 , -92.4039704433 , -39.3521182266 , +1.10537000E-04
145.299000025 , 39 , -1.63542900E-05 , -94.2843251232 , -39.3503152709 , +1.10797000E-04
149.023000002 , 40 , -1.71447300E-05 , -102.551083744 , -39.3476059113 , +1.10602000E-04
152.730999947 , 41 , -1.70902400E-05 , -101.681753695 , -39.3495369458 , +1.10745000E-04
156.438999891 , 42 , -1.73934300E-05 , -106.864640394 , -39.3495369458 , +1.10693000E-04
160.148000002 , 43 , -1.79584100E-05 , -124.37426601 , -39.3482463054 , +1.10979000E-04
163.856999874 , 44 , -1.81427300E-05 , -123.588433498 , -39.3526305419 , +1.10576000E-04
167.565999985 , 45 , -1.68017400E-05 , -97.3225615764 , -39.3521182266 , +1.10628000E-04
171.289999962 , 46 , -1.72004300E-05 , -104.475280788 , -39.3505714286 , +1.10667000E-04
174.998999834 , 47 , -1.74025200E-05 , -107.610068966 , -39.3490246305 , +1.10459000E-04
178.707999945 , 48 , -1.78685200E-05 , -114.693665025 , -39.3492807882 , +1.10654000E-04
182.417999983 , 49 , -1.78133500E-05 , -114.652778325 , -39.3497931034 , +1.10641000E-04
186.125999928 , 50 , -1.76405200E-05 , -135.609211823 , -39.3513497537 , +1.10563000E-04
189.832999945 , 51 , -1.74976200E-05 , -138.1371133 , -39.3495369458 , +1.11226000E-04
193.542000055 , 52 , -1.44459100E-05 , -170.267408867 , -39.3554679803 , +1.10615000E-04
197.250999928 , 53 , -1.43970200E-05 , -171.799162562 , -39.353408867 , +1.10940000E-04
200.960000038 , 54 , -1.38852000E-05 , -214.652955665 , -39.3540492611 , +1.10979000E-04
204.667999983 , 55 , -1.33112800E-05 , -194.849418719 , -39.3512118227 , +1.11018000E-04
208.376999855 , 56 , -1.55741400E-05 , -161.179192118 , -39.3584334975 , +1.10992000E-04
212.085000038 , 57 , -1.55837600E-05 , -161.272689655 , -39.3512118227 , +1.10407000E-04
215.79399991 , 58 , -1.66090000E-05 , -241.88320197 , -39.3532807882 , +1.10667000E-04
219.501999855 , 59 , -1.66882100E-05 , -242.82746798 , -39.354955665 , +1.10576000E-04
223.210000038 , 60 , -1.34026400E-05 , -181.853399015 , -39.3550837438 , +1.10628000E-04
226.917999983 , 61 , -1.32415600E-05 , -189.261438424 , -39.3517339901 , +1.10498000E-04
230.625999928 , 62 , -1.80504400E-05 , -273.834679803 , -39.3545714286 , +1.10680000E-04
234.335999966 , 63 , -1.80756800E-05 , -269.846926108 , -39.3548275862 , +1.10836000E-04
238.044999838 , 64 , -1.71511400E-05 , -300.993261084 , -39.3540492611 , +1.10875000E-04
241.753000021 , 65 , -1.37730200E-05 , -324.643428571 , -39.3555960591 , +1.10511000E-04
