Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
0.0,+4.77730000E-05,0.473
0.46599984169,+5.23450000E-05,0.518267326733
0.907999992371,+3.06010000E-05,0.30298019802
1.34999990463,+2.25240000E-05,0.22300990099
1.79199981689,+2.61790000E-05,0.259198019802
2.23399996758,+4.39200000E-05,0.434851485149
2.67599987984,+3.82830000E-05,0.37903960396
3.11699986458,+2.26847000E-04,2.24600990099
3.55899977684,+5.48840000E-05,0.543405940594
4.00199985504,-1.63322900E-03,-16.1705841584
4.44499993324,-1.63020600E-03,-16.1406534653
4.88800001144,-1.63249800E-03,-16.1633465347
5.33099985123,-1.63248600E-03,-16.1632277228
5.77300000191,-1.63270900E-03,-16.1654356436
6.21599984169,-1.63310500E-03,-16.1693564356
6.65799999237,-1.62739400E-03,-16.1128118812
7.09999990463,-1.63077600E-03,-16.1462970297
7.54299998283,-1.63155700E-03,-16.154029703
7.9849998951,-1.63202700E-03,-16.1586831683
8.42699980736,-1.63134600E-03,-16.1519405941
8.86999988556,-1.63161900E-03,-16.1546435644
9.31199979782,-1.63228800E-03,-16.1612673267
9.7539999485,-1.63206500E-03,-16.1590594059
10.1959998608,-1.63259700E-03,-16.1643267327
10.638999939,-1.63314200E-03,-16.1697227723
11.0809998512,-1.63324200E-03,-16.1707128713
11.5230000019,-1.63366300E-03,-16.1748811881
11.9659998417,-1.63378700E-03,-16.1761089109
12.4089999199,-1.63401000E-03,-16.1783168317
12.8509998322,-1.63430700E-03,-16.1812574257
13.2929999828,-1.63446800E-03,-16.1828514851
13.7349998951,-1.63472800E-03,-16.1854257426
14.1769998074,-1.63462900E-03,-16.1844455446
14.6199998856,-1.63479000E-03,-16.186039604
15.0619997978,-1.63533500E-03,-16.1914356436
15.5039999485,-1.63544700E-03,-16.1925445545
15.9459998608,-1.63538500E-03,-16.1919306931
16.388999939,-1.63533500E-03,-16.1914356436
16.8309998512,-1.63565800E-03,-16.1946336634
17.2730000019,-1.63574400E-03,-16.1954851485
17.7149999142,-1.63562000E-03,-16.1942574257
18.1579999924,-1.63571900E-03,-16.1952376238
18.6009998322,-1.63579400E-03,-16.195980198
19.0429999828,-1.63589300E-03,-16.196960396
19.4859998226,-1.63622700E-03,-16.2002673267
19.9279999733,-1.63636400E-03,-16.2016237624
20.3699998856,-1.63614100E-03,-16.1994158416
20.8129999638,-1.63610400E-03,-16.199049505
21.254999876,-1.63622700E-03,-16.2002673267
21.6979999542,-1.63677300E-03,-16.2056732673
22.140999794,-1.63653700E-03,-16.2033366337
22.5829999447,-1.63648800E-03,-16.2028514851
23.0249998569,-1.63656200E-03,-16.2035841584
23.4679999352,-1.63673500E-03,-16.2052970297
23.9099998474,-1.63646300E-03,-16.2026039604
24.3519999981,-1.63688400E-03,-16.2067722772
24.7939999104,-1.63677300E-03,-16.2056732673
25.2369999886,-1.63667300E-03,-16.2046831683
25.6789999008,-1.63687200E-03,-16.2066534653
26.121999979,-1.63695800E-03,-16.2075049505
26.5639998913,-1.63705700E-03,-16.2084851485
27.0069999695,-1.63704500E-03,-16.2083663366
27.4489998817,-1.63684700E-03,-16.2064059406
27.890999794,-1.63710700E-03,-16.208980198
28.3329999447,-1.63698300E-03,-16.2077524752
28.7759997845,-1.63728100E-03,-16.2107029703
29.2179999352,-1.63699600E-03,-16.2078811881
29.6610000134,-1.63687200E-03,-16.2066534653
30.1029999256,-1.63721900E-03,-16.2100891089
30.5449998379,-1.63704500E-03,-16.2083663366
30.9869999886,-1.63729300E-03,-16.2108217822
31.4299998283,-1.63720600E-03,-16.209960396
31.871999979,-1.63738000E-03,-16.2116831683
32.3139998913,-1.63735500E-03,-16.2114356436
32.7569999695,-1.63721900E-03,-16.2100891089
33.1999998093,-1.63739200E-03,-16.2118019802
33.6419999599,-1.63724300E-03,-16.2103267327
34.0839998722,-1.63731800E-03,-16.2110693069
34.5269999504,-1.63724300E-03,-16.2103267327
