Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
131.802000046,+9.24679000E-05,-1.50083800E-03,-14.7865812808,-3.07130000E-05
133.963000059,+9.24720400E-05,-1.50100800E-03,-14.7882561576,-3.09210000E-05
136.122999907,+9.24752500E-05,-1.50057600E-03,-14.784,-3.09210000E-05
138.285000086,+9.24576200E-05,-1.50100800E-03,-14.7882561576,-3.12070000E-05
140.444999933,+9.24608200E-05,-1.50107300E-03,-14.7888965517,-3.11030000E-05
142.605999947,+9.24653600E-05,-1.50064200E-03,-14.7846502463,-3.09470000E-05
144.76699996,+9.24645600E-05,-1.50090300E-03,-14.7872216749,-3.08300000E-05
146.927000046,+9.24454600E-05,-1.50095600E-03,-14.7877438424,-3.09730000E-05
149.086999893,+9.24370500E-05,-1.50078600E-03,-14.7860689655,-3.13500000E-05
151.247999907,+9.24465300E-05,-1.50068100E-03,-14.7850344828,-3.14410000E-05
153.407999992,+9.24453300E-05,-1.50098200E-03,-14.788,-3.15190000E-05
155.569000006,+9.24278300E-05,-1.50052400E-03,-14.7834876847,-2.98930000E-05
157.728999853,+9.24349100E-05,-1.50107300E-03,-14.7888965517,-3.11810000E-05
159.889999866,+9.24391900E-05,-1.50032700E-03,-14.781546798,-3.12070000E-05
162.049999952,+9.24303700E-05,-1.50053700E-03,-14.7836157635,-3.16360000E-05
164.210999966,+9.24347800E-05,-1.50070700E-03,-14.7852906404,-3.12330000E-05
166.371000051,+9.24248900E-05,-1.50099500E-03,-14.7881280788,-3.47040000E-05
168.532000065,+9.24136700E-05,-1.50091600E-03,-14.7873497537,-3.09470000E-05
170.690999985,+9.24275700E-05,-1.50091600E-03,-14.7873497537,-2.46270000E-05
172.851999998,+9.24198200E-05,-1.50081200E-03,-14.7863251232,-2.89050000E-05
175.013000011,+9.24378500E-05,-1.50099500E-03,-14.7881280788,-9.44000000E-06
177.174000025,+9.24009900E-05,-1.50065500E-03,-14.7847783251,-5.94200000E-06
179.333999872,+9.23809500E-05,-1.50062800E-03,-14.7845123153,-6.17600000E-06
181.493999958,+9.23368700E-05,-1.50093000E-03,-14.7874876847,-3.65400000E-06
183.654000044,+9.23097600E-05,-1.50085100E-03,-14.7867093596,-5.11000000E-06
185.815000057,+9.22929300E-05,-1.50070700E-03,-14.7852906404,-3.19900000E-06
187.974999905,+9.22818500E-05,-1.50058900E-03,-14.7841280788,-3.83600000E-06
190.137000084,+9.22515300E-05,-1.50098200E-03,-14.788,-3.90100000E-06
192.296999931,+9.22336300E-05,-1.50075900E-03,-14.7858029557,-4.66800000E-06
194.457000017,+9.22038400E-05,-1.50102100E-03,-14.7883842365,-5.39600000E-06
196.616999865,+9.21912900E-05,-1.50100800E-03,-14.7882561576,-6.09800000E-06
198.777999878,+9.21768600E-05,-1.50104700E-03,-14.7886403941,-6.28000000E-06
200.937999964,+9.21593700E-05,-1.50110000E-03,-14.7891625616,-6.72200000E-06
203.09800005,+9.21342600E-05,-1.50052400E-03,-14.7834876847,-8.43900000E-06
205.257999897,+9.21416000E-05,-1.50094300E-03,-14.7876157635,-9.06300000E-06
207.420000076,+9.21242400E-05,-1.50081200E-03,-14.7863251232,-1.00250000E-05
209.579999924,+9.21239700E-05,-1.50115200E-03,-14.7896748768,-1.17160000E-05
211.74000001,+9.21132900E-05,-1.50086400E-03,-14.7868374384,-1.66700000E-05
213.901000023,+9.21030000E-05,-1.50083800E-03,-14.7865812808,-1.16900000E-05
216.062000036,+9.20980600E-05,-1.50057600E-03,-14.784,-1.32760000E-05
218.221999884,+9.21042000E-05,-1.50052400E-03,-14.7834876847,-1.41210000E-05
220.382999897,+9.20888400E-05,-1.50081200E-03,-14.7863251232,-1.47970000E-05
222.542999983,+9.20827000E-05,-1.50075900E-03,-14.7858029557,-1.53690000E-05
224.703000069,+9.20750900E-05,-1.50057600E-03,-14.784,-1.65010000E-05
226.864000082,+9.20597300E-05,-1.50089000E-03,-14.7870935961,-1.63840000E-05
229.024999857,+9.20537200E-05,-1.50099500E-03,-14.7881280788,-1.72810000E-05
231.184999943,+9.20491800E-05,-1.50070700E-03,-14.7852906404,-1.76580000E-05
233.345999956,+9.20482400E-05,-1.50072000E-03,-14.7854187192,-1.82560000E-05
235.506000042,+9.23931100E-05,-1.51630900E-03,-14.9390049261,-1.89970000E-05
237.665999889,+9.33704000E-05,-1.52111300E-03,-14.9863349754,-1.95300000E-05
239.826999903,+9.55126500E-05,-1.55769600E-03,-15.3467586207,-2.00890000E-05
241.986999989,+9.56074800E-05,-1.55938500E-03,-15.3633990148,-2.05310000E-05
244.148999929,+1.00601880E-04,-1.64145300E-03,-16.1719507389,-2.09480000E-05
246.21600008,+9.85148000E-05,-1.52159700E-03,-14.9911034483,-2.01800000E-05
248.282999992,+9.20295400E-05,-1.50095600E-03,-14.7877438424,-2.09870000E-05
250.443000078,+9.20183200E-05,-1.50089000E-03,-14.7870935961,-2.13640000E-05
252.603999853,+9.20144500E-05,-1.50112600E-03,-14.7894187192,-2.19620000E-05
254.763999939,+9.20025600E-05,-1.50107300E-03,-14.7888965517,-2.20660000E-05
256.924000025,+9.20095100E-05,-1.50056300E-03,-14.7838719212,-2.28460000E-05
259.085000038,+9.20026900E-05,-1.50093000E-03,-14.7874876847,-2.32360000E-05
261.246000051,+9.20056300E-05,-1.50112600E-03,-14.7894187192,-2.31840000E-05
263.407000065,+9.19926800E-05,-1.50061500E-03,-14.7843842365,-2.39120000E-05
265.566999912,+9.19964200E-05,-1.50065500E-03,-14.7847783251,-2.42240000E-05
267.727999926,+9.19982900E-05,-1.50116500E-03,-14.7898029557,-2.45100000E-05
269.888999939,+9.19898700E-05,-1.50082500E-03,-14.786453202,-2.47960000E-05
272.049000025,+9.19962800E-05,-1.50074600E-03,-14.7856748768,-2.51340000E-05
274.208999872,+9.19814600E-05,-1.50107300E-03,-14.7888965517,-2.55770000E-05
276.369999886,+9.19814600E-05,-1.50087700E-03,-14.7869655172,-2.56290000E-05
278.530999899,+9.19815900E-05,-1.50090300E-03,-14.7872216749,-2.62270000E-05
280.690999985,+9.19786500E-05,-1.50083800E-03,-14.7865812808,-2.61230000E-05
282.851999998,+9.19647600E-05,-1.50120400E-03,-14.7901871921,-2.63570000E-05
285.012000084,+9.19584800E-05,-1.50087700E-03,-14.7869655172,-2.66820000E-05
287.172999859,+9.19598200E-05,-1.50082500E-03,-14.786453202,-2.69810000E-05
289.332999945,+9.19487300E-05,-1.50103400E-03,-14.7885123153,-2.72150000E-05
291.493999958,+9.19448600E-05,-1.50079900E-03,-14.7861970443,-2.71760000E-05
293.654999971,+9.19327100E-05,-1.50051100E-03,-14.7833596059,-2.75660000E-05
295.815999985,+9.19355100E-05,-1.50103400E-03,-14.7885123153,-2.76960000E-05
297.976999998,+9.19399200E-05,-1.50087700E-03,-14.7869655172,-2.89960000E-05
300.137000084,+9.19284300E-05,-1.50103400E-03,-14.7885123153,-2.87880000E-05
302.297999859,+9.19189500E-05,-1.50098200E-03,-14.788,-2.90740000E-05
304.458999872,+9.19152100E-05,-1.50095600E-03,-14.7877438424,-2.86840000E-05
306.618999958,+9.18874300E-05,-1.50094300E-03,-14.7876157635,-2.85280000E-05
308.779999971,+9.18848900E-05,-1.50078600E-03,-14.7860689655,-3.20390000E-05
310.940000057,+9.18978500E-05,-1.50090300E-03,-14.7872216749,-3.08950000E-05
313.101000071,+9.18959800E-05,-1.50130900E-03,-14.7912216749,-3.08690000E-05
315.262000084,+9.19025200E-05,-1.50069400E-03,-14.7851625616,-2.98540000E-05
317.421999931,+9.23826900E-05,-1.50073300E-03,-14.785546798,-3.12590000E-05
319.582000017,+9.19053300E-05,-1.50053700E-03,-14.7836157635,-3.07910000E-05
321.743000031,+9.19130700E-05,-1.50100800E-03,-14.7882561576,-2.96590000E-05
323.902999878,+9.19130700E-05,-1.50090300E-03,-14.7872216749,-2.97630000E-05
326.063999891,+9.19564800E-05,-1.50144000E-03,-14.7925123153,-2.92040000E-05
328.224999905,+9.19560800E-05,-1.50091600E-03,-14.7873497537,-2.80990000E-05
330.387000084,+9.18975800E-05,-1.50133500E-03,-14.7914778325,-3.22730000E-05
332.546000004,+9.18955800E-05,-1.50096900E-03,-14.7878719212,-2.98800000E-05
334.707000017,+9.18803500E-05,-1.50116500E-03,-14.7898029557,-3.08430000E-05
336.868000031,+9.18830200E-05,-1.50068100E-03,-14.7850344828,-2.97760000E-05
339.029000044,+9.18531000E-05,-1.50081200E-03,-14.7863251232,-2.84240000E-05
341.188999891,+9.19136100E-05,-1.50102100E-03,-14.7883842365,-3.14150000E-05
343.349999905,+9.18607100E-05,-1.50103400E-03,-14.7885123153,-2.82810000E-05
345.510999918,+9.18648600E-05,-1.50102100E-03,-14.7883842365,-1.97640000E-05
347.672999859,+9.18703300E-05,-1.50166300E-03,-14.7947093596,-1.94000000E-05
349.832999945,+9.17836500E-05,-1.50110000E-03,-14.7891625616,-1.75410000E-05
351.993999958,+9.17757700E-05,-1.50102100E-03,-14.7883842365,-1.94000000E-05
354.154000044,+9.16914900E-05,-1.50099500E-03,-14.7881280788,-1.08050000E-05
356.315000057,+9.16597000E-05,-1.50133500E-03,-14.7914778325,-7.76300000E-06
358.474999905,+9.15874400E-05,-1.50096900E-03,-14.7878719212,-1.31460000E-05
360.635999918,+9.15536500E-05,-1.50094300E-03,-14.7876157635,-5.07000000E-07
362.796000004,+9.14927400E-05,-1.50107300E-03,-14.7888965517,+9.49000000E-07
364.957999945,+9.14636300E-05,-1.50113900E-03,-14.789546798,-1.69000000E-07
367.118000031,+9.14610900E-05,-1.50108700E-03,-14.7890344828,-7.15000000E-07
369.277999878,+9.13716000E-05,-1.50107300E-03,-14.7888965517,-8.19000000E-07
371.438999891,+9.16081400E-05,-1.50106000E-03,-14.7887684729,+2.23600000E-06
373.598999977,+9.13565100E-05,-1.50137500E-03,-14.7918719212,+2.09300000E-06
375.75999999,+9.13430200E-05,-1.50121700E-03,-14.7903152709,+3.77000000E-07
377.91899991,+9.12696900E-05,-1.50150500E-03,-14.7931527094,+1.28700000E-06
380.079999924,+9.14260900E-05,-1.50095600E-03,-14.7877438424,+6.37000000E-07
382.240999937,+9.08112900E-05,-1.50146600E-03,-14.7927684729,+1.00100000E-06
384.401000023,+9.12344300E-05,-1.50123100E-03,-14.790453202,+6.11000000E-07
386.562000036,+9.12039800E-05,-1.50115200E-03,-14.7896748768,+3.51000000E-07
388.721999884,+9.11792700E-05,-1.50104700E-03,-14.7886403941,+6.50000000E-08
390.881999969,+9.11603000E-05,-1.50130900E-03,-14.7912216749,-1.43000000E-07
393.042999983,+9.11294500E-05,-1.50124400E-03,-14.7905812808,+1.30000000E-08
395.203999996,+9.10963200E-05,-1.50108700E-03,-14.7890344828,-4.81000000E-07
397.364000082,+9.10762900E-05,-1.50155800E-03,-14.7936748768,-5.33000000E-07
399.523999929,+9.10533100E-05,-1.50125700E-03,-14.7907093596,-4.29000000E-07
401.68599987,+9.10510400E-05,-1.50128300E-03,-14.7909655172,-4.03000000E-07
403.845000029,+9.10263300E-05,-1.50141400E-03,-14.7922561576,-1.33900000E-06
406.004999876,+9.10025600E-05,-1.50104700E-03,-14.7886403941,-1.18300000E-06
408.165999889,+9.09996200E-05,-1.50120400E-03,-14.7901871921,-1.05300000E-06
410.325999975,+9.09815900E-05,-1.50115200E-03,-14.7896748768,-1.23500000E-06
412.486999989,+9.09702400E-05,-1.50121700E-03,-14.7903152709,-1.45600000E-06
414.647000074,+9.09498000E-05,-1.50081200E-03,-14.7863251232,-1.59900000E-06
416.808000088,+9.09416500E-05,-1.50089000E-03,-14.7870935961,-1.41700000E-06
418.968999863,+9.09280300E-05,-1.50138800E-03,-14.792,-1.40400000E-06
421.129999876,+9.09162800E-05,-1.50146600E-03,-14.7927684729,-1.72900000E-06
423.290999889,+9.08975800E-05,-1.50162300E-03,-14.7943152709,-2.04100000E-06
425.450999975,+9.08862200E-05,-1.50094300E-03,-14.7876157635,-2.01500000E-06
427.611000061,+9.08802100E-05,-1.50119100E-03,-14.7900591133,-2.08000000E-06
429.772000074,+9.08653900E-05,-1.50130900E-03,-14.7912216749,-2.17100000E-06
431.931999922,+9.08636500E-05,-1.50117800E-03,-14.7899310345,-1.23500000E-06
434.092999935,+9.08515000E-05,-1.50146600E-03,-14.7927684729,-1.88500000E-06
436.253999949,+9.08394800E-05,-1.50141400E-03,-14.7922561576,-2.18400000E-06
438.414000034,+9.08318600E-05,-1.50096900E-03,-14.7878719212,-1.96300000E-06
440.575000048,+9.08234500E-05,-1.50120400E-03,-14.7901871921,-1.79400000E-06
442.734999895,+9.08141000E-05,-1.50107300E-03,-14.7888965517,-1.84600000E-06
444.895999908,+9.08022100E-05,-1.50128300E-03,-14.7909655172,-1.65100000E-06
447.055999994,+9.07917900E-05,-1.50083800E-03,-14.7865812808,-1.70300000E-06
449.217000008,+9.07859200E-05,-1.50106000E-03,-14.7887684729,-1.67700000E-06
451.376999855,+9.07815100E-05,-1.50133500E-03,-14.7914778325,-1.13100000E-06
453.537999868,+9.07628100E-05,-1.50099500E-03,-14.7881280788,-1.31300000E-06
455.698999882,+9.07581300E-05,-1.50107300E-03,-14.7888965517,-1.09200000E-06
457.858999968,+9.07513200E-05,-1.50149200E-03,-14.7930246305,-1.10500000E-06
460.019999981,+9.07652100E-05,-1.50099500E-03,-14.7881280788,-8.71000000E-07
462.180999994,+9.07515900E-05,-1.50104700E-03,-14.7886403941,-7.28000000E-07
464.34100008,+9.07393000E-05,-1.50133500E-03,-14.7914778325,-3.77000000E-07
466.500999928,+9.07235400E-05,-1.50128300E-03,-14.7909655172,-6.89000000E-07
468.661999941,+9.07284800E-05,-1.50133500E-03,-14.7914778325,-5.33000000E-07
470.822999954,+9.07314200E-05,-1.50146600E-03,-14.7927684729,-1.82000000E-07
472.983999968,+9.06980300E-05,-1.50149200E-03,-14.7930246305,+2.08000000E-07
475.144000053,+9.06933600E-05,-1.50130900E-03,-14.7912216749,+2.60000000E-08
477.305000067,+9.06868100E-05,-1.50110000E-03,-14.7891625616,+7.28000000E-07
479.46600008,+9.06781300E-05,-1.50096900E-03,-14.7878719212,+8.58000000E-07
481.625999928,+9.06727900E-05,-1.50115200E-03,-14.7896748768,+1.10500000E-06
483.786000013,+9.06645100E-05,-1.50128300E-03,-14.7909655172,+1.41700000E-06
485.947000027,+9.06580900E-05,-1.50136100E-03,-14.7917339901,+1.48200000E-06
488.108999968,+9.06496800E-05,-1.50110000E-03,-14.7891625616,+1.85900000E-06
490.269000053,+9.06446000E-05,-1.50159700E-03,-14.7940591133,+2.13200000E-06
492.428999901,+9.06427300E-05,-1.50130900E-03,-14.7912216749,+2.18400000E-06
494.588999987,+9.06394000E-05,-1.50104700E-03,-14.7886403941,+2.26200000E-06
496.749000072,+9.06351200E-05,-1.50081200E-03,-14.7863251232,+2.82200000E-06
498.910000086,+9.06285800E-05,-1.50104700E-03,-14.7886403941,+3.23800000E-06
501.070999861,+9.06154900E-05,-1.50128300E-03,-14.7909655172,+3.43300000E-06
503.230999947,+9.06340500E-05,-1.50110000E-03,-14.7891625616,+3.52400000E-06
505.392999887,+9.06205600E-05,-1.50099500E-03,-14.7881280788,+3.62800000E-06
507.552999973,+9.06186900E-05,-1.50120400E-03,-14.7901871921,+3.92700000E-06
509.713000059,+9.06108100E-05,-1.50125700E-03,-14.7907093596,+4.34300000E-06
511.874000072,+9.06186900E-05,-1.50141400E-03,-14.7922561576,+4.61600000E-06
514.03399992,+9.06097400E-05,-1.50125700E-03,-14.7907093596,+4.74600000E-06
516.194999933,+9.06024000E-05,-1.50123100E-03,-14.790453202,+4.98000000E-06
518.355000019,+9.05923800E-05,-1.50110000E-03,-14.7891625616,+5.40900000E-06
520.514999866,+9.05901100E-05,-1.50120400E-03,-14.7901871921,+5.70800000E-06
522.677000046,+9.05951900E-05,-1.50154500E-03,-14.793546798,+6.39700000E-06
524.836999893,+9.05827600E-05,-1.50117800E-03,-14.7899310345,+6.37100000E-06
526.996999979,+9.05875700E-05,-1.50159700E-03,-14.7940591133,+6.73500000E-06
