Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -3.52045100E-05 , -18.3019507389 , -54.1711921182 , +1.10680000E-04
3.76099991798 , 1 , -3.51904800E-05 , -18.352729064 , -54.1672019704 , +1.10641000E-04
7.48600006104 , 2 , -3.47905900E-05 , -21.0020985222 , -54.1677142857 , +1.10758000E-04
11.2109999657 , 3 , -3.47964600E-05 , -20.9344827586 , -54.1677142857 , +1.10706000E-04
14.9379999638 , 4 , -3.44510700E-05 , -22.9556945813 , -54.1718423645 , +1.10537000E-04
18.6619999409 , 5 , -3.41429200E-05 , -25.0517438424 , -54.1700394089 , +1.10706000E-04
22.3870000839 , 6 , -3.40076200E-05 , -25.8931133005 , -54.1726108374 , +1.10628000E-04
26.111000061 , 7 , -3.39419200E-05 , -27.417546798 , -54.1688768473 , +1.10836000E-04
29.8359999657 , 8 , -3.37884500E-05 , -27.4144926108 , -54.1692610837 , +1.10706000E-04
33.5620000362 , 9 , -3.34401000E-05 , -29.8575566502 , -54.169773399 , +1.11148000E-04
37.2860000134 , 10 , -3.32309400E-05 , -32.1260788177 , -54.1672019704 , +1.10615000E-04
41.010999918 , 11 , -3.31270400E-05 , -32.0168275862 , -54.1669359606 , +1.10966000E-04
44.7349998951 , 12 , -3.30045400E-05 , -33.2054679803 , -54.1710640394 , +1.10940000E-04
48.4600000381 , 13 , -3.26112100E-05 , -36.2339408867 , -54.1720985222 , +1.10758000E-04
52.1849999428 , 14 , -3.26176100E-05 , -36.258591133 , -54.1718423645 , +1.10849000E-04
55.9099998474 , 15 , -3.21728400E-05 , -40.6231527094 , -54.1728768473 , +1.10563000E-04
59.6349999905 , 16 , -3.21418500E-05 , -41.6774187192 , -54.1728768473 , +1.10745000E-04
63.3599998951 , 17 , -3.19304300E-05 , -43.9497142857 , -54.1717142857 , +1.10862000E-04
67.0859999657 , 18 , -3.17020300E-05 , -47.7181280788 , -54.1733891626 , +1.10693000E-04
70.8109998703 , 19 , -3.17057600E-05 , -47.6444039409 , -54.1744236453 , +1.10654000E-04
74.5360000134 , 20 , -3.16489900E-05 , -52.1425024631 , -54.1751921182 , +1.10433000E-04
78.260999918 , 21 , -3.17038900E-05 , -53.001320197 , -54.1726108374 , +1.10966000E-04
81.9849998951 , 22 , -3.20072300E-05 , -59.3186305419 , -54.1700394089 , +1.10602000E-04
85.7119998932 , 23 , -3.19871900E-05 , -59.502453202 , -54.171320197 , +1.11200000E-04
89.4370000362 , 24 , -3.26592900E-05 , -66.7100985222 , -54.1740295567 , +1.10875000E-04
93.1619999409 , 25 , -3.29531200E-05 , -70.4717931034 , -54.1705517241 , +1.10524000E-04
96.885999918 , 26 , -3.32898500E-05 , -72.2309359606 , -54.1720985222 , +1.10862000E-04
100.611000061 , 27 , -3.42759600E-05 , -79.4556453202 , -54.1731330049 , +1.10732000E-04
104.336999893 , 28 , -3.42101200E-05 , -78.7129064039 , -54.1726108374 , +1.11044000E-04
108.062000036 , 29 , -3.61153100E-05 , -92.0492610837 , -54.1720985222 , +1.10836000E-04
111.786999941 , 30 , -3.58887800E-05 , -83.9903842365 , -54.1715862069 , +1.10693000E-04
115.512000084 , 31 , -3.48734000E-05 , -83.3229458128 , -54.1719704433 , +1.10758000E-04
119.237999916 , 32 , -3.51729700E-05 , -85.1793891626 , -54.1726108374 , +1.11018000E-04
122.963000059 , 33 , -3.63722800E-05 , -93.6746305419 , -54.1733891626 , +1.10940000E-04
126.687999964 , 34 , -3.74551000E-05 , -111.086630542 , -54.1728768473 , +1.10719000E-04
130.397000074 , 35 , -3.82129400E-05 , -112.918167488 , -54.1691330049 , +1.10784000E-04
134.105000019 , 36 , -3.80065900E-05 , -111.205517241 , -54.1687487685 , +1.10810000E-04
137.813999891 , 37 , -3.66368700E-05 , -96.2691724138 , -54.1684827586 , +1.10797000E-04
141.537999868 , 38 , -3.67513300E-05 , -97.0106995074 , -54.1702955665 , +1.10615000E-04
145.263000011 , 39 , -3.79957600E-05 , -111.755280788 , -54.1744236453 , +1.10589000E-04
148.970999956 , 40 , -3.84725900E-05 , -131.182019704 , -54.1728768473 , +1.10719000E-04
152.680000067 , 41 , -3.85135900E-05 , -135.774364532 , -54.1726108374 , +1.10511000E-04
156.389999866 , 42 , -3.62766500E-05 , -159.073871921 , -54.171320197 , +1.10719000E-04
160.096999884 , 43 , -3.72229700E-05 , -99.5036847291 , -54.1705517241 , +1.10966000E-04
163.805000067 , 44 , -3.85146800E-05 , -130.612482759 , -54.1733891626 , +1.10914000E-04
167.513999939 , 45 , -3.51505300E-05 , -232.728581281 , -54.1733891626 , +1.11343000E-04
171.22300005 , 46 , -3.20085600E-05 , -188.694699507 , -54.174679803 , +1.10641000E-04
174.931999922 , 47 , -3.27276700E-05 , -170.416817734 , -54.1702955665 , +1.10615000E-04
178.641000032 , 48 , -3.62264300E-05 , -152.629251232 , -54.1739014778 , +1.10875000E-04
182.348999977 , 49 , -3.62996200E-05 , -156.830748768 , -54.1715862069 , +1.10901000E-04
186.056999922 , 50 , -3.16603600E-05 , -199.351802956 , -54.1700394089 , +1.10706000E-04
189.76699996 , 51 , -3.16713000E-05 , -210.066364532 , -54.174679803 , +1.10849000E-04
193.476000071 , 52 , -3.23358000E-05 , -210.510433498 , -54.1718423645 , +1.11018000E-04
197.184000015 , 53 , -3.78982700E-05 , -255.176817734 , -54.1739014778 , +1.10615000E-04
200.892999887 , 54 , -3.72100000E-05 , -239.479566502 , -54.1679704433 , +1.11213000E-04
204.601000071 , 55 , -3.16994800E-05 , -198.827418719 , -54.1705517241 , +1.10641000E-04
208.309999943 , 56 , -3.36543400E-05 , -322.422522167 , -54.1718423645 , +1.10745000E-04
212.017999887 , 57 , -3.49697000E-05 , -275.715773399 , -54.1728768473 , +1.11031000E-04
215.726000071 , 58 , -3.84068800E-05 , -280.268660099 , -54.1715862069 , +1.11135000E-04
219.434999943 , 59 , -3.84337300E-05 , -279.772975369 , -54.1741576355 , +1.10576000E-04
223.142999887 , 60 , -3.83758900E-05 , -280.450295567 , -54.1674581281 , +1.10511000E-04
