Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA),SQUID Loop Voltage (V),Calculated Squid Current (uA)
0.0,+4.34000000E-07,0.00429702970297,-1.63377000E-03,-16.1759405941
0.888000011444,+4.96000000E-07,0.00491089108911,-1.63386100E-03,-16.1768415842
1.76400017738,+4.96000000E-07,0.00491089108911,-1.63375700E-03,-16.1758118812
2.63900017738,+6.94000000E-07,0.00687128712871,-1.63390100E-03,-16.1772376238
3.5150001049,+4.83000000E-07,0.00478217821782,-1.63348200E-03,-16.1730891089
4.39100003242,+5.20000000E-07,0.00514851485149,-1.63382200E-03,-16.1764554455
5.26600003242,+8.67000000E-07,0.00858415841584,-1.63354700E-03,-16.1737326733
6.14200019836,+4.09000000E-07,0.0040495049505,-1.63367800E-03,-16.175029703
7.01800012589,+6.32000000E-07,0.00625742574257,-1.63386100E-03,-16.1768415842
7.89400005341,+6.94000000E-07,0.00687128712871,-1.63377000E-03,-16.1759405941
8.77000021935,+6.44000000E-07,0.00637623762376,-1.63395300E-03,-16.1777524752
9.64600014687,+2.97000000E-07,0.00294059405941,-1.63409700E-03,-16.1791782178
