Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -1.49552000E-06 , -315.741714286 , -14.803862069 , +1.04738000E-04
3.91599988937 , 1 , -1.50526000E-06 , -315.795783251 , -14.8043743842 , +1.04816000E-04
7.8109998703 , 2 , -1.47829000E-06 , -315.695330049 , -14.8057931034 , +1.04777000E-04
11.7070000172 , 3 , -1.49191000E-06 , -315.640522167 , -14.8028275862 , +1.04972000E-04
15.6019999981 , 4 , -1.49619000E-06 , -315.802866995 , -14.805408867 , +1.05024000E-04
19.4959998131 , 5 , -1.52451000E-06 , -315.813970443 , -14.8015369458 , +1.04308000E-04
23.3899998665 , 6 , -1.50007000E-06 , -315.879891626 , -14.8028275862 , +1.04855000E-04
27.2849998474 , 7 , -1.50941000E-06 , -315.744275862 , -14.8043743842 , +1.05141000E-04
31.1809999943 , 8 , -1.51209000E-06 , -315.749280788 , -14.8077241379 , +1.05349000E-04
35.0759999752 , 9 , -1.51649000E-06 , -315.770640394 , -14.8041182266 , +1.04881000E-04
38.9709999561 , 10 , -1.53226000E-06 , -315.804945813 , -14.8051527094 , +1.04933000E-04
42.8659999371 , 11 , -1.51182000E-06 , -315.593162562 , -14.8017931034 , +1.05544000E-04
46.7599999905 , 12 , -1.53039000E-06 , -315.814827586 , -14.8048965517 , +1.05102000E-04
50.6559998989 , 13 , -1.54295000E-06 , -315.965448276 , -14.798955665 , +1.04790000E-04
54.5509998798 , 14 , -1.54227000E-06 , -315.820078818 , -14.8012807882 , +1.05076000E-04
58.4459998608 , 15 , -1.55082000E-06 , -315.977418719 , -14.8015369458 , +1.05219000E-04
62.3409998417 , 16 , -1.58114000E-06 , -315.963251232 , -14.7979310345 , +1.05193000E-04
66.2369999886 , 17 , -1.55550000E-06 , -315.596699507 , -14.8023152709 , +1.05076000E-04
70.1319999695 , 18 , -1.57753000E-06 , -315.550935961 , -14.8043743842 , +1.05336000E-04
74.0269999504 , 19 , -1.54828000E-06 , -315.508699507 , -14.8005123153 , +1.04920000E-04
77.9219999313 , 20 , -1.54627000E-06 , -315.688985222 , -14.7984433498 , +1.04842000E-04
81.8169999123 , 21 , -1.48603000E-06 , -314.083871921 , -14.7984433498 , +1.04959000E-04
85.7129998207 , 22 , -1.42006000E-06 , -32.7105024631 , -14.7979310345 , +1.04725000E-04
89.6239998341 , 23 , -1.41298000E-06 , -32.5989458128 , -14.7997339901 , +1.05531000E-04
93.5349998474 , 24 , -1.50274000E-06 , -24.723270936 , -14.7968965517 , +1.04725000E-04
97.4470000267 , 25 , -1.52771000E-06 , -22.2638522167 , -14.7968965517 , +1.05180000E-04
101.359999895 , 26 , -1.52036000E-06 , -22.3081576355 , -14.8007684729 , +1.05388000E-04
105.271999836 , 27 , -1.52771000E-06 , -21.1291724138 , -14.7992216749 , +1.05440000E-04
109.182999849 , 28 , -1.53466000E-06 , -21.084 , -14.7976748768 , +1.04946000E-04
113.093999863 , 29 , -1.53586000E-06 , -21.128679803 , -14.7961182266 , +1.05388000E-04
117.004999876 , 30 , -1.50673000E-06 , -21.1322167488 , -14.7994778325 , +1.05115000E-04
120.91899991 , 31 , -1.51942000E-06 , -21.1302660099 , -14.8005123153 , +1.05739000E-04
124.829999924 , 32 , -1.52531000E-06 , -21.1313694581 , -14.798955665 , +1.05544000E-04
128.740999937 , 33 , -1.53013000E-06 , -21.1283152709 , -14.7981871921 , +1.05466000E-04
132.65199995 , 34 , -1.51837000E-06 , -21.1322167488 , -14.798955665 , +1.05414000E-04
136.564999819 , 35 , -1.52209000E-06 , -21.1331921182 , -14.7984433498 , +1.05180000E-04
140.475999832 , 36 , -1.52424000E-06 , -21.1317339901 , -14.8012807882 , +1.05388000E-04
144.388000011 , 37 , -1.48831000E-06 , -21.1335665025 , -14.8025714286 , +1.05362000E-04
148.299999952 , 38 , -1.50914000E-06 , -21.1319704433 , -14.8012807882 , +1.05050000E-04
152.212999821 , 39 , -1.51209000E-06 , -21.1313694581 , -14.8015369458 , +1.05076000E-04
