Time (s),Temp Probe Voltage (V)
66.3629999161,+5.87698430E-01
66.9399998188,+6.18971580E-01
67.3399999142,+6.18997440E-01
67.7389998436,+6.19049270E-01
68.138999939,+6.19113580E-01
68.5390000343,+6.19188150E-01
68.9379999638,+6.19207640E-01
69.3389999866,+2.18006220E-01
69.7389998436,+3.96982020E-01
70.138999939,+6.19416020E-01
70.5390000343,+6.19360030E-01
70.9379999638,+6.19305460E-01
71.3379998207,+6.19211410E-01
71.7369999886,+6.19136440E-01
72.1369998455,+6.19057590E-01
72.5369999409,+6.19039140E-01
72.9359998703,+6.18990550E-01
73.3359999657,+6.18664590E-01
73.7359998226,+6.18154930E-01
74.135999918,+6.17751020E-01
74.5349998474,+6.17384660E-01
74.9349999428,+6.17045320E-01
75.3339998722,+6.16321690E-01
75.7339999676,+6.15905570E-01
76.132999897,+6.15601180E-01
76.5329999924,+6.15273800E-01
76.9319999218,+6.15048390E-01
77.3309998512,+6.14813250E-01
77.7309999466,+6.14588230E-01
78.129999876,+6.14408040E-01
78.5299999714,+6.14230970E-01
78.9299998283,+6.14055190E-01
79.3309998512,+6.13882140E-01
79.7309999466,+6.13712220E-01
80.129999876,+6.13548910E-01
80.5299999714,+6.13376900E-01
80.9299998283,+6.13210220E-01
81.3289999962,+6.12995210E-01
81.7289998531,+6.12842690E-01
82.128000021,+6.12669390E-01
82.5290000439,+6.12502060E-01
82.9279999733,+6.12348110E-01
83.3279998302,+6.12136990E-01
83.7279999256,+6.11917830E-01
84.128000021,+6.11785960E-01
84.5279998779,+6.11628380E-01
84.9279999733,+6.11517170E-01
85.3279998302,+6.11424280E-01
85.7269999981,+6.11367250E-01
86.126999855,+6.11327620E-01
86.5269999504,+6.11309690E-01
86.9259998798,+6.11287610E-01
87.3259999752,+6.11260460E-01
87.7259998322,+6.11237460E-01
88.1259999275,+6.11212650E-01
88.5249998569,+6.11180170E-01
88.9249999523,+6.11145220E-01
89.3239998817,+6.11111570E-01
89.7230000496,+6.11076240E-01
90.1229999065,+6.11028690E-01
90.521999836,+6.10984260E-01
90.9219999313,+6.10939180E-01
91.3209998608,+6.10896820E-01
91.7209999561,+6.10825630E-01
92.1210000515,+6.10776910E-01
92.5199999809,+6.10715850E-01
92.9189999104,+6.10666480E-01
93.3179998398,+6.10607630E-01
93.7179999352,+6.10520200E-01
94.1180000305,+6.10457450E-01
94.5169999599,+6.10380280E-01
94.9169998169,+6.10298950E-01
95.3169999123,+6.10222950E-01
95.7159998417,+6.10146430E-01
96.1159999371,+6.10077060E-01
96.5169999599,+6.10014310E-01
96.9159998894,+6.09961300E-01
97.3159999847,+6.09912590E-01
97.7159998417,+6.09851780E-01
98.1150000095,+6.09771110E-01
98.513999939,+6.09695240E-01
98.9140000343,+6.09602870E-01
99.3139998913,+6.09516210E-01
99.7139999866,+6.09428520E-01
100.112999916,+6.09341870E-01
100.513999939,+6.09246250E-01
100.912999868,+6.09156480E-01
