Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -1.45198000E-06 , -19.7659605911 , -14.7986995074 , +1.05440000E-04
3.92499995232 , 1 , -1.45599000E-06 , -19.4809458128 , -14.8002463054 , +1.05570000E-04
7.83800005913 , 2 , -1.46640000E-06 , -18.2615566502 , -14.7966403941 , +1.05622000E-04
11.75 , 3 , -1.45533000E-06 , -18.2606995074 , -14.8007684729 , +1.05505000E-04
15.6610000134 , 4 , -1.43875000E-06 , -18.2615566502 , -14.8023152709 , +1.05583000E-04
19.5729999542 , 5 , -1.47815000E-06 , -18.2660689655 , -14.7999901478 , +1.05739000E-04
23.4849998951 , 6 , -1.48163000E-06 , -19.8074679803 , -14.8002463054 , +1.05544000E-04
27.3970000744 , 7 , -1.49699000E-06 , -19.7518029557 , -14.7979310345 , +1.05284000E-04
31.3090000153 , 8 , -1.50261000E-06 , -19.7559507389 , -14.797408867 , +1.05362000E-04
35.2209999561 , 9 , -1.49914000E-06 , -21.6894285714 , -14.8012807882 , +1.05635000E-04
39.1319999695 , 10 , -1.52852000E-06 , -21.698955665 , -14.7999901478 , +1.05375000E-04
43.0450000763 , 11 , -1.51931000E-06 , -24.3286502463 , -14.7981871921 , +1.05518000E-04
46.9560000896 , 12 , -1.53306000E-06 , -24.2839704433 , -14.8028275862 , +1.05518000E-04
50.8680000305 , 13 , -1.50554000E-06 , -27.9313004926 , -14.8010246305 , +1.06064000E-04
54.7799999714 , 14 , -1.52826000E-06 , -27.73991133 , -14.798955665 , +1.05479000E-04
58.6909999847 , 15 , -1.52131000E-06 , -27.7465024631 , -14.8007684729 , +1.05440000E-04
62.6040000916 , 16 , -1.45493000E-06 , -32.5933300493 , -14.7976748768 , +1.05375000E-04
66.5150001049 , 17 , -1.44344000E-06 , -32.5524334975 , -14.7994778325 , +1.05518000E-04
70.4270000458 , 18 , -1.45252000E-06 , -32.5591527094 , -14.7961182266 , +1.05700000E-04
74.3389999866 , 19 , -1.39000000E-06 , -37.5735665025 , -14.7992216749 , +1.05830000E-04
78.2509999275 , 20 , -1.38412000E-06 , -38.5935172414 , -14.7999901478 , +1.05492000E-04
82.1630001068 , 21 , -1.34299000E-06 , -38.5703251232 , -14.7992216749 , +1.05869000E-04
86.0750000477 , 22 , -1.26285000E-06 , -43.7855369458 , -14.7971527094 , +1.05856000E-04
89.986000061 , 23 , -1.31428000E-06 , -43.3817635468 , -14.7963842365 , +1.05817000E-04
93.8980000019 , 24 , -1.31041000E-06 , -43.4703743842 , -14.7984433498 , +1.05921000E-04
97.8099999428 , 25 , -1.29504000E-06 , -46.1485320197 , -14.7950935961 , +1.05635000E-04
101.720999956 , 26 , -1.26553000E-06 , -46.1672118227 , -14.7979310345 , +1.05973000E-04
105.632999897 , 27 , -1.21611000E-06 , -50.1256748768 , -14.7981871921 , +1.06077000E-04
109.54399991 , 28 , -1.22693000E-06 , -50.2875270936 , -14.7971527094 , +1.06103000E-04
113.457000017 , 29 , -1.22158000E-06 , -50.3984827586 , -14.7981871921 , +1.06194000E-04
117.368000031 , 30 , -1.16575000E-06 , -57.1730246305 , -14.7971527094 , +1.06142000E-04
121.279999971 , 31 , -1.14317000E-06 , -57.0894187192 , -14.7984433498 , +1.05843000E-04
125.190999985 , 32 , -1.15787000E-06 , -57.0823349754 , -14.7971527094 , +1.06090000E-04
129.104000092 , 33 , -1.04074000E-06 , -66.2583448276 , -14.7981871921 , +1.06103000E-04
133.016000032 , 34 , -1.04460000E-06 , -66.3190049261 , -14.7963842365 , +1.06194000E-04
136.927000046 , 35 , -1.06265000E-06 , -65.6617044335 , -14.7994778325 , +1.06324000E-04
140.839999914 , 36 , -1.09375000E-06 , -64.707546798 , -14.8005123153 , +1.06077000E-04
144.750999928 , 37 , -1.06999000E-06 , -64.6255270936 , -14.7994778325 , +1.05882000E-04
148.664000034 , 38 , -1.07801000E-06 , -64.3510049261 , -14.7961182266 , +1.05934000E-04
152.575999975 , 39 , -9.86770000E-07 , -80.69408867 , -14.7999901478 , +1.06142000E-04
156.486999989 , 40 , -9.88910000E-07 , -80.8096748768 , -14.7994778325 , +1.06142000E-04
160.398999929 , 41 , -9.96920000E-07 , -80.7005517241 , -14.7979310345 , +1.06181000E-04
164.312000036 , 42 , -1.04527000E-06 , -69.1377832512 , -14.7979310345 , +1.05986000E-04
168.22300005 , 43 , -1.03165000E-06 , -69.0805320197 , -14.7981871921 , +1.05986000E-04
172.13499999 , 44 , -1.02778000E-06 , -69.1444926108 , -14.7984433498 , +1.06168000E-04
176.046999931 , 45 , -1.00480000E-06 , -73.085862069 , -14.8007684729 , +1.06142000E-04
179.959000111 , 46 , -1.16214000E-06 , -73.1161280788 , -14.8003743842 , +1.05908000E-04
