Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA),SQUID Loop Voltage (V),Calculated Squid Current (uA)
0.0,+3.84000000E-07,0.00380198019802,-1.63420200E-03,-16.1802178218
0.889000177383,+4.09000000E-07,0.0040495049505,-1.63422800E-03,-16.1804752475
1.7650001049,+5.33000000E-07,0.00527722772277,-1.63428000E-03,-16.180990099
2.64100003242,+3.35000000E-07,0.00331683168317,-1.63420200E-03,-16.1802178218
3.51600003242,+6.94000000E-07,0.00687128712871,-1.63438500E-03,-16.182029703
4.39100003242,+4.09000000E-07,0.0040495049505,-1.63417500E-03,-16.179950495
5.26600003242,+4.96000000E-07,0.00491089108911,-1.63435900E-03,-16.1817722772
6.14200019836,+6.94000000E-07,0.00687128712871,-1.63438500E-03,-16.182029703
7.01700019836,+9.90000000E-08,0.000980198019802,-1.63417500E-03,-16.179950495
7.89300012589,+3.10000000E-07,0.00306930693069,-1.63433300E-03,-16.1815148515
8.76800012589,+5.20000000E-07,0.00514851485149,-1.63441100E-03,-16.1822871287
9.64400005341,+4.58000000E-07,0.00453465346535,-1.63409700E-03,-16.1791782178
10.5190000534,+3.84000000E-07,0.00380198019802,-1.63493500E-03,-16.1874752475
11.3949999809,+5.70000000E-07,0.00564356435644,-1.63430600E-03,-16.1812475248
12.2699999809,+4.34000000E-07,0.00429702970297,-1.63401800E-03,-16.1783960396
13.1449999809,+4.46000000E-07,0.00441584158416,-1.63451600E-03,-16.1833267327
14.0199999809,+4.46000000E-07,0.00441584158416,-1.63438500E-03,-16.182029703
14.8949999809,+3.72000000E-07,0.00368316831683,-1.63407100E-03,-16.1789207921
15.7699999809,+4.58000000E-07,0.00453465346535,-1.63414900E-03,-16.1796930693
16.6449999809,+4.34000000E-07,0.00429702970297,-1.63469900E-03,-16.1851386139
17.5199999809,+3.35000000E-07,0.00331683168317,-1.63420200E-03,-16.1802178218
18.3960001469,+6.57000000E-07,0.00650495049505,-1.63417500E-03,-16.179950495
19.2710001469,+7.93000000E-07,0.00785148514851,-1.63443700E-03,-16.1825445545
20.1460001469,+4.71000000E-07,0.00466336633663,-1.63433300E-03,-16.1815148515
21.0210001469,+4.34000000E-07,0.00429702970297,-1.63454200E-03,-16.1835841584
21.8960001469,+6.69000000E-07,0.00662376237624,-1.63430600E-03,-16.1812475248
22.7720000744,+4.71000000E-07,0.00466336633663,-1.63446300E-03,-16.1828019802
23.6470000744,+8.05000000E-07,0.0079702970297,-1.63433300E-03,-16.1815148515
24.5220000744,+7.06000000E-07,0.0069900990099,-1.63422800E-03,-16.1804752475
25.3970000744,+5.95000000E-07,0.00589108910891,-1.63428000E-03,-16.180990099
26.2720000744,+5.08000000E-07,0.0050297029703,-1.63422800E-03,-16.1804752475
27.1480000019,+4.83000000E-07,0.00478217821782,-1.63396600E-03,-16.1778811881
28.0230000019,+4.96000000E-07,0.00491089108911,-1.63435900E-03,-16.1817722772
28.8970000744,+4.96000000E-07,0.00491089108911,-1.63409700E-03,-16.1791782178
29.7720000744,+3.22000000E-07,0.00318811881188,-1.63438500E-03,-16.182029703
30.6470000744,+6.19000000E-07,0.00612871287129,-1.63449000E-03,-16.1830693069
31.5210001469,+1.73000000E-07,0.00171287128713,-1.63446300E-03,-16.1828019802
32.3960001469,+4.71000000E-07,0.00466336633663,-1.63433300E-03,-16.1815148515
33.2710001469,+2.85000000E-07,0.00282178217822,-1.63446300E-03,-16.1828019802
34.1460001469,+4.83000000E-07,0.00478217821782,-1.63430600E-03,-16.1812475248
35.0210001469,+6.44000000E-07,0.00637623762376,-1.63428000E-03,-16.180990099
35.8949999809,+5.08000000E-07,0.0050297029703,-1.63449000E-03,-16.1830693069
36.7699999809,+5.20000000E-07,0.00514851485149,-1.63441100E-03,-16.1822871287
37.6449999809,+3.96000000E-07,0.00392079207921,-1.63464700E-03,-16.1846237624
38.5199999809,+4.46000000E-07,0.00441584158416,-1.63443700E-03,-16.1825445545
39.3949999809,+9.42000000E-07,0.00932673267327,-1.63446300E-03,-16.1828019802
40.2699999809,+4.21000000E-07,0.00416831683168,-1.63459400E-03,-16.1840990099
41.1449999809,+3.35000000E-07,0.00331683168317,-1.63435900E-03,-16.1817722772
42.0190000534,+4.34000000E-07,0.00429702970297,-1.63456800E-03,-16.1838415842
42.8940000534,+3.10000000E-07,0.00306930693069,-1.63412300E-03,-16.1794356436
43.7690000534,+3.84000000E-07,0.00380198019802,-1.63435900E-03,-16.1817722772
44.6449999809,+4.34000000E-07,0.00429702970297,-1.63430600E-03,-16.1812475248
45.5199999809,+4.96000000E-07,0.00491089108911,-1.63449000E-03,-16.1830693069
46.3949999809,+3.84000000E-07,0.00380198019802,-1.63428000E-03,-16.180990099
47.2710001469,+5.82000000E-07,0.00576237623762,-1.63407100E-03,-16.1789207921
48.1470000744,+5.70000000E-07,0.00564356435644,-1.63414900E-03,-16.1796930693
49.0230000019,+5.95000000E-07,0.00589108910891,-1.63435900E-03,-16.1817722772
49.8980000019,+5.08000000E-07,0.0050297029703,-1.63443700E-03,-16.1825445545
50.7730000019,+4.96000000E-07,0.00491089108911,-1.63438500E-03,-16.182029703
51.6480000019,+4.58000000E-07,0.00453465346535,-1.63409700E-03,-16.1791782178
52.5230000019,+5.58000000E-07,0.00552475247525,-1.63441100E-03,-16.1822871287
53.3980000019,+1.30100000E-06,0.0128811881188,-1.63477800E-03,-16.1859207921
54.2720000744,+1.49000000E-07,0.00147524752475,-1.63422800E-03,-16.1804752475
55.1470000744,+3.22000000E-07,0.00318811881188,-1.63443700E-03,-16.1825445545
56.0220000744,+4.83000000E-07,0.00478217821782,-1.63449000E-03,-16.1830693069
56.8970000744,+3.84000000E-07,0.00380198019802,-1.63441100E-03,-16.1822871287
57.7720000744,+2.73000000E-07,0.00270297029703,-1.63449000E-03,-16.1830693069
58.6470000744,+1.12000000E-07,0.00110891089109,-1.63459400E-03,-16.1840990099
59.5230000019,+4.34000000E-07,0.00429702970297,-1.63449000E-03,-16.1830693069
60.3990001678,+1.24000000E-07,0.00122772277228,-1.63433300E-03,-16.1815148515
61.2740001678,+8.70000000E-08,0.000861386138614,-1.63451600E-03,-16.1833267327
62.1500000954,+2.97000000E-07,0.00294059405941,-1.63443700E-03,-16.1825445545
63.0250000954,+2.23000000E-07,0.00220792079208,-1.63446300E-03,-16.1828019802
63.9000000954,+3.47000000E-07,0.00343564356436,-1.63449000E-03,-16.1830693069
64.7760000229,+3.47000000E-07,0.00343564356436,-1.63435900E-03,-16.1817722772
65.6510000229,+3.59000000E-07,0.00355445544554,-1.63454200E-03,-16.1835841584
66.5270001888,+3.96000000E-07,0.00392079207921,-1.63459400E-03,-16.1840990099
67.4020001888,+2.85000000E-07,0.00282178217822,-1.63475100E-03,-16.1856534653
68.2770001888,+1.73000000E-07,0.00171287128713,-1.63464700E-03,-16.1846237624
69.1530001163,+7.40000000E-08,0.000732673267327,-1.63454200E-03,-16.1835841584
70.0280001163,+2.35000000E-07,0.00232673267327,-1.63459400E-03,-16.1840990099
70.9030001163,+3.35000000E-07,0.00331683168317,-1.63472500E-03,-16.1853960396
71.7780001163,+1.61000000E-07,0.00159405940594,-1.63454200E-03,-16.1835841584
72.6530001163,+2.11000000E-07,0.00208910891089,-1.63483000E-03,-16.1864356436
73.5280001163,+4.83000000E-07,0.00478217821782,-1.63451600E-03,-16.1833267327
74.4030001163,+8.05000000E-07,0.0079702970297,-1.63469900E-03,-16.1851386139
75.2780001163,+4.58000000E-07,0.00453465346535,-1.63438500E-03,-16.182029703
76.1530001163,+2.23000000E-07,0.00220792079208,-1.63454200E-03,-16.1835841584
77.0280001163,+4.21000000E-07,0.00416831683168,-1.63477800E-03,-16.1859207921
77.9030001163,+6.57000000E-07,0.00650495049505,-1.63498700E-03,-16.187990099
78.7780001163,+3.35000000E-07,0.00331683168317,-1.63466000E-03,-16.1847524752
79.6540000439,+4.96000000E-07,0.00491089108911,-1.63451600E-03,-16.1833267327
80.5290000439,+2.35000000E-07,0.00232673267327,-1.63438500E-03,-16.182029703
81.4040000439,+4.83000000E-07,0.00478217821782,-1.63422800E-03,-16.1804752475
82.2790000439,+4.83000000E-07,0.00478217821782,-1.63462000E-03,-16.1843564356
83.1540000439,-7.40000000E-08,-0.000732673267327,-1.63462000E-03,-16.1843564356
84.0300002098,+2.97000000E-07,0.00294059405941,-1.63449000E-03,-16.1830693069
84.9050002098,+3.47000000E-07,0.00343564356436,-1.63456800E-03,-16.1838415842
85.7800002098,+4.83000000E-07,0.00478217821782,-1.63468600E-03,-16.185009901
86.6550002098,+6.81000000E-07,0.00674257425743,-1.63446300E-03,-16.1828019802
87.5300002098,+5.45000000E-07,0.00539603960396,-1.63456800E-03,-16.1838415842
88.4050002098,+2.73000000E-07,0.00270297029703,-1.63460700E-03,-16.1842277228
89.2790000439,+4.83000000E-07,0.00478217821782,-1.63450300E-03,-16.1831980198
90.1540000439,+4.34000000E-07,0.00429702970297,-1.63435900E-03,-16.1817722772
91.0290000439,+2.73000000E-07,0.00270297029703,-1.63456800E-03,-16.1838415842
91.9030001163,+4.34000000E-07,0.00429702970297,-1.63483000E-03,-16.1864356436
92.7780001163,+2.97000000E-07,0.00294059405941,-1.63449000E-03,-16.1830693069
93.6530001163,+3.35000000E-07,0.00331683168317,-1.63477800E-03,-16.1859207921
94.5280001163,+3.72000000E-07,0.00368316831683,-1.63464700E-03,-16.1846237624
95.4020001888,+4.34000000E-07,0.00429702970297,-1.63435900E-03,-16.1817722772
96.2770001888,+3.96000000E-07,0.00392079207921,-1.63455500E-03,-16.1837128713
97.1530001163,+4.21000000E-07,0.00416831683168,-1.63438500E-03,-16.182029703
98.0280001163,+1.73000000E-07,0.00171287128713,-1.63452900E-03,-16.1834554455
98.9030001163,+3.96000000E-07,0.00392079207921,-1.63442400E-03,-16.1824158416
99.7780001163,+4.09000000E-07,0.0040495049505,-1.63451600E-03,-16.1833267327
100.653000116,+3.72000000E-07,0.00368316831683,-1.63479100E-03,-16.186049505
101.527000189,+6.19000000E-07,0.00612871287129,-1.63456800E-03,-16.1838415842
102.402000189,+4.96000000E-07,0.00491089108911,-1.63456800E-03,-16.1838415842
103.277000189,+5.70000000E-07,0.00564356435644,-1.63472500E-03,-16.1853960396
104.152000189,+3.22000000E-07,0.00318811881188,-1.63455500E-03,-16.1837128713
105.027000189,+2.97000000E-07,0.00294059405941,-1.63450300E-03,-16.1831980198
105.902000189,+4.96000000E-07,0.00491089108911,-1.63452900E-03,-16.1834554455
106.777000189,+5.70000000E-07,0.00564356435644,-1.63466000E-03,-16.1847524752
107.652000189,+2.97000000E-07,0.00294059405941,-1.63449000E-03,-16.1830693069
108.528000116,+4.09000000E-07,0.0040495049505,-1.63441100E-03,-16.1822871287
109.403000116,+7.19000000E-07,0.00711881188119,-1.63449000E-03,-16.1830693069
110.278000116,+4.96000000E-07,0.00491089108911,-1.63466000E-03,-16.1847524752
111.153000116,+2.97000000E-07,0.00294059405941,-1.63467300E-03,-16.1848811881
112.028000116,+3.22000000E-07,0.00318811881188,-1.63447600E-03,-16.1829306931
112.904000044,+4.83000000E-07,0.00478217821782,-1.63464700E-03,-16.1846237624
113.779000044,+1.86000000E-07,0.00184158415842,-1.63452900E-03,-16.1834554455
114.65500021,+1.61000000E-07,0.00159405940594,-1.63446300E-03,-16.1828019802
115.53000021,+4.71000000E-07,0.00466336633663,-1.63456800E-03,-16.1838415842
116.40500021,+2.48000000E-07,0.00245544554455,-1.63473800E-03,-16.1855247525
117.28000021,+5.58000000E-07,0.00552475247525,-1.63460700E-03,-16.1842277228
118.15500021,+5.95000000E-07,0.00589108910891,-1.63483000E-03,-16.1864356436
119.03000021,+6.44000000E-07,0.00637623762376,-1.63484300E-03,-16.1865643564
119.90500021,+5.58000000E-07,0.00552475247525,-1.63452900E-03,-16.1834554455
120.78000021,+5.08000000E-07,0.0050297029703,-1.63439800E-03,-16.1821584158
121.656000137,+7.43000000E-07,0.00735643564356,-1.63445000E-03,-16.1826732673
122.532000065,+5.08000000E-07,0.0050297029703,-1.63460700E-03,-16.1842277228
123.407999992,+3.72000000E-07,0.00368316831683,-1.63447600E-03,-16.1829306931
124.282999992,+4.46000000E-07,0.00441584158416,-1.63472500E-03,-16.1853960396
125.157999992,+5.45000000E-07,0.00539603960396,-1.63447600E-03,-16.1829306931
126.034000158,+4.09000000E-07,0.0040495049505,-1.63458100E-03,-16.183970297
