Counter,Time(s),Temperature Voltage(V)Magnet Current(A),Field Coil Current(mA),SQUID Voltage(uV),Mod Coil Currnet(uA),Pickup Loop Current(uA),
0,0.00300002098083,,,,-1.74483760E-02,0.00873504928806,
1,1.50500011444,,,,+2.81748060E-03,4.02798674699,
2,2.64600014687,,,,+1.06835080E-02,7.99902004381,
3,3.50800013542,,,,+7.86282870E-03,12.0715136911,
4,4.4279999733,,,,+1.13185940E-03,16.0905366922,
5,5.33400011063,,,,-1.73106140E-03,20.0830153341,
6,6.2610001564,,,,+1.41150550E-02,24.0938072289,
7,7.12199997902,,,,-1.48206840E-02,28.1020569551,
8,8.07899999619,,,,-1.22109620E-03,32.2146779847,
9,8.99000000954,,,,-1.52703460E-02,36.2003285871,
10,9.90000009537,,,,+1.46914010E-02,40.3332595838,
11,10.7590000629,,,,-1.16492050E-02,44.1984129244,
12,11.7170000076,,,,+1.75672860E-03,48.3311423877,
13,12.6260001659,,,,+1.18551210E-02,52.165558598,
14,13.4869999886,,,,-3.31947640E-03,56.2970876232,
15,14.4430000782,,,,+1.45480500E-02,60.134007667,
16,15.3040001392,,,,-1.28058380E-02,64.2650558598,
17,16.2610001564,,,,+1.06463880E-02,68.393286966,
18,17.121999979,,,,-1.30926290E-02,72.7093866375,
19,18.0820000172,,,,+1.09855350E-02,76.8659529025,
20,18.9400000572,,,,-1.54804600E-02,80.7372760131,
21,19.8990001678,,,,+1.02458730E-02,84.8957677985,
22,20.7590000629,,,,+1.12589190E-02,88.7598291347,
23,21.6679999828,,,,+3.84057470E-03,92.921067908,
24,22.7050001621,,,,-6.99415240E-04,97.0264611172,
25,23.9900000095,,,,-1.38546500E-02,100.888868565,
26,24.8990001678,,,,+1.07750520E-02,105.050489595,
27,25.7580001354,,,,+1.05136100E-02,108.913940854,
28,26.6679999828,,,,+3.52621350E-04,113.079375685,
29,27.6649999619,,,,+1.44331360E-02,116.939649507,
30,28.4470000267,,,,-5.32277630E-03,121.040930997,
31,29.4020001888,,,,+1.34712070E-02,125.208236583,
32,30.2630000114,,,,-1.51899540E-02,129.070208105,
33,31.2200000286,,,,+1.47548590E-03,133.230996714,
34,32.131000042,,,,-1.27678160E-02,137.090361446,
35,33.0399999619,,,,+2.25206580E-03,141.587196057,
36,33.9490001202,,,,-1.35931450E-02,145.502880613,
37,34.8589999676,,,,+1.16129310E-02,149.538762322,
38,35.7190001011,,,,+1.20296050E-02,153.450098576,
39,36.6260001659,,,,+7.03247920E-03,157.617688938,
40,37.5680000782,,,,+2.55752390E-03,161.775016429,
41,38.4750001431,,,,-3.40427400E-03,165.568948521,
42,39.4010000229,,,,+1.19709280E-02,169.725388828,
43,40.2650001049,,,,-2.14748360E-02,173.642541073,
44,41.2210001945,,,,+1.32024620E-03,177.798696605,
45,42.131000042,,,,-1.76245390E-02,181.590021906,
46,43.0380001068,,,,+2.73647210E-03,185.752409639,
47,43.9470000267,,,,+1.08324930E-02,189.916374589,
48,44.8090000153,,,,+1.01628170E-02,193.720591457,
49,45.8440001011,,,,+1.96926290E-02,197.869539978,
50,46.6260001659,,,,-5.52397940E-03,0.00878127053669,
51,47.6620001793,,,,+1.12774000E-02,4.03063570646,
52,48.5080001354,,,,-1.46014760E-02,8.01775684556,
53,49.4660000801,,,,+3.07074490E-03,12.0755783133,
54,50.356000185,,,,-1.73462650E-02,16.0957447974,
55,51.2640001774,,,,+3.01315720E-03,20.0593493976,
56,52.1720001698,,,,-9.27927100E-03,24.0674654984,
57,53.0830001831,,,,+3.01330530E-03,28.0727787514,
58,53.9730000496,,,,-2.97381520E-03,32.1821007667,
59,54.8800001144,,,,-3.43893060E-03,36.2169496166,
60,55.8059999943,,,,+1.52573590E-02,40.3500536692,
