Time (s) , Counter , SQUID voltage (V) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +1.68327020E-04 , -3.00613900E-03 , -29.6171330049 , +8.79770000E-05
2.07800006866 , 1 , +1.67923650E-04 , -2.99625700E-03 , -29.519773399 , +8.77820000E-05
4.14499998093 , 2 , +1.89997200E-04 , -3.39562800E-03 , -33.4544630542 , +8.80680000E-05
6.21200013161 , 3 , +1.95624830E-04 , -3.62209400E-03 , -35.6856551724 , +8.81720000E-05
8.27999997139 , 4 , +2.34653720E-04 , -4.22051100E-03 , -41.5813891626 , +8.78730000E-05
10.3480000496 , 5 , +2.34705540E-04 , -4.16371800E-03 , -41.0218522167 , +8.81200000E-05
12.4149999619 , 6 , +2.09168770E-04 , -3.73679300E-03 , -36.8156945813 , +8.81590000E-05
14.4830000401 , 7 , +2.14372070E-04 , -3.97986800E-03 , -39.2105221675 , +8.82500000E-05
16.5499999523 , 8 , +2.26744120E-04 , -4.05153100E-03 , -39.9165615764 , +8.79120000E-05
18.617000103 , 9 , +2.26773770E-04 , -4.05294400E-03 , -39.9304827586 , +8.78860000E-05
20.6850001812 , 10 , +2.24574350E-04 , -4.02442300E-03 , -39.6494876847 , +8.80940000E-05
22.7520000935 , 11 , +2.27216800E-04 , -4.05980300E-03 , -39.9980591133 , +8.80160000E-05
24.8200001717 , 12 , +2.27224550E-04 , -4.06006500E-03 , -40.0006403941 , +8.79510000E-05
26.8880000114 , 13 , +2.25267960E-04 , -3.97255200E-03 , -39.1384433498 , +8.80160000E-05
28.9560000896 , 14 , +2.18667800E-04 , -3.90632100E-03 , -38.4859211823 , +8.80940000E-05
31.0240001678 , 15 , +2.16692770E-04 , -3.91218500E-03 , -38.5436945813 , +8.80680000E-05
33.0920000076 , 16 , +2.18778250E-04 , -3.89719800E-03 , -38.3960394089 , +8.80680000E-05
35.1600000858 , 17 , +2.16427640E-04 , -3.88522200E-03 , -38.2780492611 , +8.81070000E-05
37.2290000916 , 18 , +2.18578170E-04 , -3.91408300E-03 , -38.5623940887 , +8.77690000E-05
39.2970001698 , 19 , +2.19047650E-04 , -3.91571900E-03 , -38.5785123153 , +8.78470000E-05
41.3650000095 , 20 , +2.17481740E-04 , -3.91714600E-03 , -38.5925714286 , +8.78730000E-05
43.4340000153 , 21 , +2.17589390E-04 , -3.92430600E-03 , -38.6631133005 , +8.81330000E-05
45.503000021 , 22 , +2.17147020E-04 , -3.87244700E-03 , -38.1521871921 , +8.76910000E-05
47.5710000992 , 23 , +2.19461040E-04 , -3.92051000E-03 , -38.6257142857 , +8.78860000E-05
49.6390001774 , 24 , +2.22275030E-04 , -3.96172700E-03 , -39.0317931034 , +8.79900000E-05
51.7080001831 , 25 , +2.22692420E-04 , -3.97816700E-03 , -39.1937635468 , +8.81980000E-05
53.7760000229 , 26 , +2.22705910E-04 , -3.97859900E-03 , -39.1980197044 , +8.78860000E-05
