Counter,Time(s),
0,0.0160000324249,0.0
1,0.102999925613,0.0
2,0.180999994278,0.0
3,0.259000062943,0.0
4,0.348000049591,0.0
5,0.424999952316,0.0
6,0.50200009346,0.0
7,0.579999923706,0.0
8,0.65700006485,0.0
9,0.733999967575,0.0
10,0.822999954224,0.0
11,0.900000095367,0.0
12,0.976999998093,0.0
13,1.0529999733,0.0
14,1.13100004196,0.0
15,1.20799994469,0.0
16,1.28699994087,0.0
17,1.36400008202,0.0
18,1.44099998474,0.0
19,1.51799988747,0.0
20,1.59500002861,0.0
21,1.6740000248,0.0
22,1.76300001144,0.0
23,1.83899998665,0.0
24,1.91700005531,0.0
25,1.99399995804,0.0
26,2.07100009918,0.0
27,2.14700007439,0.0
28,2.23699998856,0.0
29,2.31399989128,0.0
30,2.39100003242,0.0
31,2.46900010109,0.0
32,2.54500007629,0.0
33,2.62199997902,0.0
34,2.69899988174,0.0
35,2.77799987793,0.0
36,2.85599994659,0.0
37,2.9319999218,0.0
38,3.00999999046,0.0
39,3.08800005913,0.0
40,3.17700004578,0.0
41,3.2539999485,0.0
42,3.33100008965,0.0
43,3.40899991989,0.0
44,3.48600006104,0.0
45,3.56299996376,0.0
46,3.65299987793,0.0
47,3.73000001907,0.0
48,3.8069999218,0.0
49,3.88499999046,0.0
50,3.96099996567,0.0
51,4.03900003433,0.0
52,4.11599993706,0.0
53,4.19499993324,0.0
54,4.27200007439,0.0
55,4.34999990463,0.0
56,4.4279999733,0.0
57,4.50499987602,0.0
58,4.59400010109,0.0
59,4.67199993134,0.0
60,4.74900007248,0.0
61,4.82699990273,0.0
62,4.90400004387,0.0
63,4.99300003052,0.0
64,5.06999993324,0.0
