Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -5.27357900E-05 , -18.3178226601 , -69.1089162562 , +1.10966000E-04
3.74800014496 , 1 , -5.27141500E-05 , -18.3168472906 , -69.1051724138 , +1.11616000E-04
7.47300004959 , 2 , -5.26640800E-05 , -19.7298325123 , -69.1062068966 , +1.10771000E-04
11.1979999542 , 3 , -5.26799700E-05 , -19.7494876847 , -69.1073596059 , +1.11109000E-04
14.9230000973 , 4 , -5.26066400E-05 , -20.6940197044 , -69.1042660099 , +1.10979000E-04
18.6490001678 , 5 , -5.25241000E-05 , -21.8556748768 , -69.109044335 , +1.10966000E-04
22.3740000725 , 6 , -5.24760100E-05 , -22.7870147783 , -69.1056847291 , +1.10836000E-04
26.0989999771 , 7 , -5.24261900E-05 , -23.6911231527 , -69.1027192118 , +1.10706000E-04
29.8240001202 , 8 , -5.23888000E-05 , -23.8599310345 , -69.1064630542 , +1.10888000E-04
33.5499999523 , 9 , -5.23285500E-05 , -25.2951330049 , -69.1031133005 , +1.11148000E-04
37.2760000229 , 10 , -5.22027300E-05 , -26.1820394089 , -69.1049162562 , +1.10966000E-04
41.0010001659 , 11 , -5.20263100E-05 , -28.2645320197 , -69.104137931 , +1.10680000E-04
44.7260000706 , 12 , -5.17733300E-05 , -32.2644926108 , -69.1033694581 , +1.10758000E-04
48.4509999752 , 13 , -5.16950600E-05 , -32.3785024631 , -69.1013004926 , +1.10719000E-04
52.1760001183 , 14 , -5.14165800E-05 , -35.8629950739 , -69.1045320197 , +1.10966000E-04
55.9030001163 , 15 , -5.14441000E-05 , -35.8048965517 , -69.1053004926 , +1.10849000E-04
59.628000021 , 16 , -5.09925100E-05 , -40.9410147783 , -69.1076256158 , +1.10966000E-04
63.353000164 , 17 , -5.09787500E-05 , -40.8427586207 , -69.1016945813 , +1.11031000E-04
67.0780000687 , 18 , -5.10161400E-05 , -40.8111428571 , -69.1056847291 , +1.10823000E-04
70.8029999733 , 19 , -5.06563200E-05 , -45.8546108374 , -69.1085221675 , +1.10953000E-04
74.5290000439 , 20 , -5.06397600E-05 , -45.8442364532 , -69.1049162562 , +1.11109000E-04
78.2539999485 , 21 , -5.05024600E-05 , -48.7478423645 , -69.1077536946 , +1.11109000E-04
81.9790000916 , 22 , -5.04789500E-05 , -50.9068669951 , -69.1054285714 , +1.10550000E-04
85.7039999962 , 23 , -5.04093700E-05 , -52.0331330049 , -69.1087783251 , +1.10992000E-04
89.4300000668 , 24 , -5.06077000E-05 , -60.9154384236 , -69.1116157635 , +1.11083000E-04
93.1549999714 , 25 , -5.05696400E-05 , -60.8680788177 , -69.1054285714 , +1.11005000E-04
96.8800001144 , 26 , -5.08995500E-05 , -66.64808867 , -69.1028472906 , +1.10836000E-04
100.605999947 , 27 , -5.14686600E-05 , -72.8128078818 , -69.1064630542 , +1.11213000E-04
104.330000162 , 28 , -5.13578100E-05 , -72.9331625616 , -69.1064630542 , +1.11161000E-04
108.055000067 , 29 , -5.14180400E-05 , -74.462226601 , -69.1082660099 , +1.11083000E-04
111.779999971 , 30 , -5.19293300E-05 , -80.7653694581 , -69.1069753695 , +1.10927000E-04
115.506000042 , 31 , -5.19481700E-05 , -80.8168768473 , -69.110591133 , +1.10849000E-04
119.230999947 , 32 , -5.27781400E-05 , -96.2701477833 , -69.1068472906 , +1.11278000E-04
122.957000017 , 33 , -5.27716000E-05 , -95.0807783251 , -69.1100689655 , +1.10940000E-04
126.683000088 , 34 , -5.21931300E-05 , -84.7721871921 , -69.1087783251 , +1.10576000E-04
130.407999992 , 35 , -5.23305700E-05 , -85.9347093596 , -69.1080098522 , +1.10979000E-04
134.133000135 , 36 , -5.23074500E-05 , -86.24608867 , -69.1072315271 , +1.10966000E-04
137.85800004 , 37 , -5.25653800E-05 , -91.5356256158 , -69.1082660099 , +1.11148000E-04
141.584000111 , 38 , -5.29472200E-05 , -99.9595862069 , -69.1069753695 , +1.11070000E-04
145.292999983 , 39 , -5.30631700E-05 , -103.759389163 , -69.1108472906 , +1.11044000E-04
149.001000166 , 40 , -5.30619500E-05 , -103.191674877 , -69.1082660099 , +1.10628000E-04
152.709000111 , 41 , -5.32112900E-05 , -108.918935961 , -69.1059507389 , +1.10992000E-04
156.417000055 , 42 , -5.32281200E-05 , -108.89879803 , -69.1069753695 , +1.11044000E-04
160.126000166 , 43 , -5.33026400E-05 , -113.063655172 , -69.1054285714 , +1.10693000E-04
163.834000111 , 44 , -5.32878100E-05 , -113.026423645 , -69.109044335 , +1.11018000E-04
167.542999983 , 45 , -5.34279300E-05 , -120.714118227 , -69.1085221675 , +1.11018000E-04
171.252000093 , 46 , -5.34286100E-05 , -121.085310345 , -69.1095566502 , +1.10862000E-04
174.960999966 , 47 , -5.34045600E-05 , -120.517724138 , -69.109044335 , +1.11018000E-04
178.670000076 , 48 , -5.34197900E-05 , -119.770216749 , -69.1064630542 , +1.10862000E-04
182.378000021 , 49 , -5.34760200E-05 , -133.725802956 , -69.1131625616 , +1.10875000E-04
186.085999966 , 50 , -5.34534400E-05 , -133.077270936 , -69.1085221675 , +1.10784000E-04
189.794000149 , 51 , -5.34308800E-05 , -122.458137931 , -69.110591133 , +1.11122000E-04
193.503999949 , 52 , -5.34108400E-05 , -124.507684729 , -69.1112315271 , +1.11200000E-04
197.212000132 , 53 , -5.34671900E-05 , -134.113231527 , -69.1064630542 , +1.11148000E-04
200.921000004 , 54 , -5.34443600E-05 , -133.091921182 , -69.1071034483 , +1.10940000E-04
204.628999949 , 55 , -5.34223300E-05 , -148.218916256 , -69.1083940887 , +1.10875000E-04
208.338000059 , 56 , -5.31163300E-05 , -153.453655172 , -69.1043940887 , +1.10914000E-04
212.04700017 , 57 , -5.23634100E-05 , -169.664423645 , -69.1031133005 , +1.11213000E-04
215.756000042 , 58 , -5.23926600E-05 , -169.279684729 , -69.1051724138 , +1.11239000E-04
219.463999987 , 59 , -5.09490900E-05 , -215.751881773 , -69.1046600985 , +1.10953000E-04
223.17200017 , 60 , -5.09951800E-05 , -215.278285714 , -69.1051724138 , +1.10680000E-04
226.880000114 , 61 , -5.19895700E-05 , -170.379704433 , -69.1013004926 , +1.10862000E-04
230.590000153 , 62 , -5.07311100E-05 , -191.175970443 , -69.1059507389 , +1.10849000E-04
234.299000025 , 63 , -5.06516500E-05 , -190.991054187 , -69.1005320197 , +1.10836000E-04
238.006999969 , 64 , -5.26589900E-05 , -242.590423645 , -69.1077536946 , +1.10784000E-04
241.717000008 , 65 , -5.27334000E-05 , -247.048729064 , -69.1100689655 , +1.10966000E-04
245.426000118 , 66 , -5.31829700E-05 , -256.907172414 , -69.1083940887 , +1.11096000E-04
249.13499999 , 67 , -5.33620900E-05 , -287.208600985 , -69.1034975369 , +1.11057000E-04
252.842999935 , 68 , -5.33658200E-05 , -287.857605911 , -69.1028472906 , +1.10940000E-04
256.552000046 , 69 , -5.32911700E-05 , -416.045310345 , -69.1037536946 , +1.11044000E-04
260.25999999 , 70 , -5.29352100E-05 , -249.738364532 , -69.1054285714 , +1.10914000E-04
