Counter,Time(s),Magnet Current(A)
0,0.125999927521,0.002
1,0.246999979019,0.002
2,0.368000030518,0.0
3,0.474999904633,0.001
4,0.59500002861,0.002
5,0.717000007629,0.002
6,0.838999986649,0.002
7,0.945999860764,0.004
8,1.09200000763,0.006
9,1.21300005913,0.007
10,1.33500003815,0.008
11,1.45599985123,0.011
12,1.56299996376,0.014
13,1.68299984932,0.017
14,1.80399990082,0.021
15,1.91100001335,0.024
16,2.03099989891,0.027
17,2.15199995041,0.031
18,2.27300000191,0.037
19,2.38100004196,0.041
20,2.50099992752,0.044
21,2.62199997902,0.049
