Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -4.14973000E-05 , -18.3091527094 , -59.1339211823 , +1.10849000E-04
3.73500013351 , 1 , -4.15360500E-05 , -18.3130640394 , -59.1373990148 , +1.10888000E-04
7.46000003815 , 2 , -4.09937700E-05 , -21.7952610837 , -59.1322463054 , +1.10745000E-04
11.1849999428 , 3 , -4.10150100E-05 , -21.1150049261 , -59.1368866995 , +1.10329000E-04
14.9110000134 , 4 , -4.12569000E-05 , -20.0479408867 , -59.1358522167 , +1.10589000E-04
18.635999918 , 5 , -4.11865000E-05 , -20.9178817734 , -59.1375369458 , +1.10628000E-04
22.361000061 , 6 , -4.10358400E-05 , -21.7782955665 , -59.1417832512 , +1.11187000E-04
26.0859999657 , 7 , -4.10462700E-05 , -21.7835369458 , -59.1430738916 , +1.10680000E-04
29.8120000362 , 8 , -4.10365200E-05 , -21.8673990148 , -59.1423054187 , +1.10693000E-04
33.5369999409 , 9 , -4.08930500E-05 , -22.8602463054 , -59.1425615764 , +1.10706000E-04
37.2620000839 , 10 , -4.07834100E-05 , -23.524137931 , -59.1417832512 , +1.11174000E-04
40.9869999886 , 11 , -4.08085200E-05 , -23.5159605911 , -59.141270936 , +1.11057000E-04
44.7130000591 , 12 , -4.06712000E-05 , -24.4609655172 , -59.1474581281 , +1.10628000E-04
48.4370000362 , 13 , -4.05504700E-05 , -25.0549162562 , -59.1487487685 , +1.10810000E-04
52.1619999409 , 14 , -4.03530600E-05 , -26.7476650246 , -59.1469458128 , +1.10602000E-04
55.8880000114 , 15 , -4.02706500E-05 , -26.8299408867 , -59.1363743842 , +1.10810000E-04
59.6129999161 , 16 , -4.01393500E-05 , -27.8841871921 , -59.1332807882 , +1.10134000E-04
63.3389999866 , 17 , -4.01270600E-05 , -27.8481773399 , -59.1386896552 , +1.10602000E-04
67.0640001297 , 18 , -4.01086400E-05 , -28.1333103448 , -59.1325024631 , +1.10433000E-04
70.7890000343 , 19 , -3.99617100E-05 , -28.9937241379 , -59.1353399015 , +1.11070000E-04
74.5150001049 , 20 , -3.95232200E-05 , -32.046364532 , -59.1337931034 , +1.10810000E-04
78.239000082 , 21 , -3.95380500E-05 , -31.8430147783 , -59.1384334975 , +1.10602000E-04
81.9649999142 , 22 , -3.93407500E-05 , -33.4066206897 , -59.1373990148 , +1.10901000E-04
85.6909999847 , 23 , -3.91469500E-05 , -34.4954187192 , -59.1368866995 , +1.10901000E-04
89.4160001278 , 24 , -3.89136000E-05 , -36.5825517241 , -59.1340492611 , +1.10784000E-04
93.1410000324 , 25 , -3.89254900E-05 , -36.6408965517 , -59.1355960591 , +1.10667000E-04
96.867000103 , 26 , -3.84940700E-05 , -40.1610344828 , -59.1343054187 , +1.10784000E-04
100.592000008 , 27 , -3.84910100E-05 , -40.0658226601 , -59.1340492611 , +1.10966000E-04
104.316999912 , 28 , -3.79795800E-05 , -45.80591133 , -59.1314679803 , +1.10927000E-04
108.042000055 , 29 , -3.79982700E-05 , -45.8179901478 , -59.1314679803 , +1.10732000E-04
111.76699996 , 30 , -3.77743000E-05 , -51.5933399015 , -59.1332807882 , +1.10732000E-04
115.493999958 , 31 , -3.78063600E-05 , -51.6201970443 , -59.1322463054 , +1.10706000E-04
